PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,461535305,162657604,C[C@@H]1CC(NC2=C1C=CC=C2C(=O)NC/C=C/S(=O)(=O)C)(C)C,Unspecified,,,Potential missing data,Inhibition,%,Dose-dependent effect
2,461535401,162657674,C[C@@H]1CC(NC2=C1C=CC=C2C(=O)N[C@@H](C)/C=C/S(=O)(=O)C)(C)C,Unspecified,,,Potential missing data,Inhibition,%,Dose-dependent effect
3,461536678,162658581,CC1=CC(NC2=C1C=CC=C2C(=O)N[C@@H](C)/C=C/S(=O)(=O)C)(C)C,Unspecified,,,Potential missing data,Inhibition,%,Dose-dependent effect
