starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore,feasibilityScore_rule3
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)(C#N)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,3,0.625,,0.9677231
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(C)O)[C@@H](O)[C@H]1O,3,0.4603,,0.795389
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)NC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1CO,3,0.6102,,0.86126137
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)NC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,3,0.6102,,0.710623
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COC(O)CO[C@H]2[C@H]1O,3,0.3636,,0.9100821
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1nc(C)nc2c1ncn2[C@@H]1O[C@H](COC=O)[C@@H](O)[C@H]1O,3,0.3676,,0.91342354
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(C)=O)[C@@H](O)[C@H]1O,2,0.4833,,0.8970831
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)CCl)[C@@H](O)[C@H]1O,3,0.6604,,0.93913025
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1COC(C)=O,3,0.5593,,0.9302218
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC[C@H]1O[C@@H](n2cnc3c(NC(C)=O)ncnc32)[C@H](O)[C@@H]1OC,3,0.4219,,0.7708696
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCOC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OC(C)=O,3,0.5593,,0.90975225
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCOC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@@H]1O,3,0.5333,,0.9394442
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCOC[C@H]1O[C@@H](n2cnc3c(NC(C)=O)ncnc32)[C@H](O)[C@@H]1O,3,0.4754,,0.9566648
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](OC)[C@@H](COC(C)=O)O[C@H]1n1cnc2c(N)ncnc21,3,0.5172,,0.9460824
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCO[C@@H]1[C@H](O)[C@@H](COC(C)=O)O[C@H]1n1cnc2c(N)ncnc21,3,0.5333,,0.974512
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1C(=O)O,3,0.5345,,0.8729498
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)N(C)c1ncnc2c1ncn2[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H]1O,3,0.4167,,0.6865139
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC=O)[C@@H](O)[C@H]1O,3,0.4677,,0.86147
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(NC(C)=O)ncnc32)O[C@@H]1C(=O)O,3,0.3692,,0.9694921
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC(=O)[C@H]1O[C@@H](n2cnc3c(NC(C)=O)ncnc32)[C@H](O)[C@@H]1O,3,0.4098,,0.79413456
