ATC_code,Drug_Type,Canonical_SMILES,MACAW_1,MACAW_2,MACAW_3,MACAW_4,MACAW_5,MACAW_6,MACAW_7,MACAW_8,MACAW_9,MACAW_10,MACAW_11,MACAW_12,MACAW_13,MACAW_14,MACAW_15,MACAW_16,MACAW_17,MACAW_18,MACAW_19,MACAW_20,MACAW_21,MACAW_22,MACAW_23,MACAW_24,MACAW_25,MACAW_26,MACAW_27,MACAW_28,MACAW_29,MACAW_30,MACAW_31,MACAW_32,MACAW_33,MACAW_34,MACAW_35,MACAW_36,MACAW_37,MACAW_38,MACAW_39,MACAW_40,MACAW_41,MACAW_42,MACAW_43,MACAW_44,MACAW_45,MACAW_46,MACAW_47,MACAW_48,MACAW_49,MACAW_50,MACAW_51,MACAW_52,MACAW_53,MACAW_54,MACAW_55,MACAW_56,MACAW_57,MACAW_58,MACAW_59,MACAW_60
J05AF;J05AR,antiviral,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,-0.1545813193397198,0.05781683634286701,-0.11179086927834858,0.12272576019188525,-0.06638489876498435,0.011532212993906457,-0.02761400607302227,-0.054270372207996645,-0.06253615993664974,0.01914079712149022,-0.06120228621779465,0.030605882373506144,0.005884314015124167,-0.014763299330329629,-0.04565905325255201,0.0002861291525042865,-0.022498491255128445,0.023521450853406747,-0.04726560321402404,0.03506260517630145,-0.01675607638663621,-0.028280192458351592,-0.049967390644263594,0.04560021509233906,-0.017782949269334766,-0.0030779108975718355,-0.006459120637289536,-0.004132360914772502,0.010629028743393415,0.06429879909165465,-0.0011676192380920287,-0.028841018639633176,-0.001896185832149469,-0.0013827847106000699,0.006857723481728825,0.029848103028839834,0.0023235547094248143,0.03024741155581964,-0.012686474793756005,-0.01267534805240182,-0.007103904033943849,0.016689092534660006,-0.002622568377977655,-0.004678497725434692,-0.020121443354530366,-0.0033830482740632717,-0.004991273694990937,0.016660010273739256,0.007196554977511309,0.007220184283584494,-0.021035204516724512,0.03112459999903582,0.00602044161717229,-0.00048283281745156725,0.02470629273368314,-0.008426498835265639,-0.02061807522120774,0.03162982939297575,-0.006894025903976239,-0.008608634681157423
J05AB,antiviral,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-0.15079924220582083,0.07035940301383253,-0.12467582497959416,0.105465563457025,-0.11850013785229618,0.052182284704878894,-0.041103381723781335,-0.02892727181833807,-0.01044063852331249,0.026505538917822348,-0.04766656773268761,0.008885950966491085,0.023949924246840393,-0.006160850597312091,-0.00582756552040084,-0.016345787456822598,-0.01497953264330374,-0.02540417158949236,0.008094226005462904,0.030277685715045095,0.05879651008972256,-0.06309033288594314,-0.06742250856563053,0.02461730069243695,0.016224899071999244,0.016086991202117155,-0.05311285782252114,0.058056459319345055,0.04668067448860249,-0.003830978640323106,0.035780655892509214,-0.0481964724415377,0.026699620850435153,-0.017615970135381402,-0.0002364663166667131,-0.057553657648397434,-0.006269941170639278,-0.014037217669234697,-0.0062057056080953125,-0.009592338747566556,-0.02213805964851956,0.007980896090632184,-0.0008500945892820633,-0.026097673621119758,-0.013162544193691325,0.018047430283706513,-0.010685897156447847,-0.007456558469586143,0.020058830874315856,0.031634431280743266,-0.020220162895024724,-0.034662388156558026,-0.010487743002884414,0.029502154983068594,0.04108429991925019,0.010991529866176904,0.006628885040726444,0.008702872351262797,-0.008122162776169289,-0.01562075129792775
J05AF,antiviral,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,-0.006626372233198986,-0.0041718956689534405,-0.11803095598421412,0.0006479266467354044,0.020309216469507813,0.04213178681099341,-0.005271611891976622,-0.026773459284760888,-0.02208800289069615,-0.005622945767505421,-0.022061201907305004,0.033972338843635666,0.05943379113958997,-0.005805861719470805,0.040359058230841474,-0.014169271454663603,-0.008881237049302472,-0.01259186904803175,0.01857696530235039,0.018770351462654593,-0.002606328372576903,-0.044950607881297344,-0.015975524087862934,-0.004261564344673421,-0.006853863290724225,0.005327383433169658,-0.034572479157880524,0.03169018251787846,0.04323712568746514,-0.006496687706909289,-0.014132028544127118,-0.028230836929871238,0.0060331710446846695,0.007534772210697883,-0.014211421167182256,-0.03556521679705702,-0.03039200187368575,-0.007712902401792735,0.012493224761066018,0.002378926933054871,0.002111030917880022,0.02074801546746239,-0.020600164359119745,-0.024440143377605007,0.024274819317568492,0.00863282589359728,0.009131927427366762,-0.009034374645147286,0.015562503653038552,0.009595232688831432,-0.03686843587287177,-0.02479621574151195,-0.025638687283464925,0.012159155021255499,-0.009462448696370024,6.890015306947744e-05,0.02740123269425895,-0.036029223806494814,-0.01655482201364615,-0.0021216331499365956
J05AE,antiviral,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.028557228004219923,-0.03333062703948078,-0.04900828618151298,0.035660386793666086,0.06468292036803341,-0.10175501280960364,0.02368758613791108,-0.03213725627016311,-0.014222412524419744,-0.05040204022067937,0.015357045798139523,-0.012934935290353238,-0.04228552836952873,0.033760983982511525,0.022406927134423528,-0.02035748902333696,-0.0074059175834966535,0.052023446137863964,-0.024935660400472327,-0.021271710700364134,0.01862916500140355,-0.024410196756858783,-0.040626223458542304,0.02206809708190491,0.007190661377500601,-0.04114454094817876,0.038984450758297276,0.01701596103793889,-0.01437557635011286,-0.007397488589775049,0.020251653866720065,-0.018802483103497247,-0.017553663583487845,-0.037209828343565766,-0.009536027854543706,0.00696688994119923,0.058374244920072496,-0.01939853908543962,-0.022152269663194155,0.060180365873199075,-0.027377642149021747,-0.004080598501902705,0.0023058687745943483,-0.003166100227261494,0.004530918338511948,-0.02771298927247159,-0.02930101012574228,-0.030172514971670998,0.0030192513327094517,0.007684634125576989,0.016377209870942818,-0.001431479212651023,0.008500468040268647,-0.008177945576644254,0.0058194240509963045,-0.0012266365130490916,0.01731887329530195,-0.017943618776200605,-0.007595103473247982,0.017798781627388717
J05AP,antiviral,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.14763623931432257,-0.09642233646593211,-0.1176567035740928,0.06457276172172649,0.09434366077847825,0.03276764861818955,0.030076919137502458,-0.040527010813565134,0.032232191312058484,-0.028548223725357483,0.02057120420016441,-0.003918259552822334,0.0031498510713704863,0.010606040905252754,0.023568325031674227,-0.007852426093927903,-0.029420686926576102,0.014866854235889376,-0.07719653203350649,0.04399083570925385,0.0011621171985462062,0.021164597652100752,-0.022088610413959348,0.02136033396015473,-0.009874338840198504,-0.011653537440036093,0.016749110874659363,0.006431217648411092,0.021364217497400032,-0.01655512506837091,0.005863384781782808,-0.030879171200554716,0.013737790183994156,0.013860379014517974,-0.005967682465304814,-0.02591186155400712,-0.012322549200961246,-0.015711507615844403,0.025201161495162754,-0.03534662655689266,-0.05094403531326086,-0.018708133960654048,-0.013605725285467222,-0.006188550888535867,0.014163989175454687,0.0009595962707369954,0.0006949618028471959,0.007367080952706228,0.03596799255797894,0.00028923867383843366,-0.03532142648454342,0.014993001377293752,-0.004220736063557197,0.025058699668092627,0.004012366300659296,0.025031277382358795,0.022011897177355397,-0.011099084214461171,-0.012546740038105198,0.0009157190127228217
J05AE;J05AR,antiviral,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0.07809021744131525,-0.09476499999601234,-0.11954658982894123,0.07595944706440004,0.1052905335552904,-0.02638557896886389,0.023310056911147084,-0.050667968022549095,0.03834724388898556,-0.02952205528982609,-0.009978131157170281,-0.02500911666045317,-0.024336102816373904,0.01642638110888062,0.014572388635733435,-0.03683307039613136,-0.06811683387232444,-0.026124385237899665,-0.048469879674946814,0.02230312816041369,-0.016601073370804294,0.0073829937217004,-0.007693230804256632,0.016467364417414837,-0.009863848072192946,-0.020549952190325044,0.01843939993546728,0.000687709261495651,0.009473010532672608,-0.019714903801524755,-0.01290935228605492,-0.046041145367043984,0.0016631224715614665,0.016280028281533705,0.01736250114620646,-0.0024444155262264324,0.020538845655957653,0.015585110823432644,-0.005083394822829759,0.04511120749561843,-0.04023602311037989,-0.016262030375409027,0.026579313840934315,-0.027104856616826652,0.02383767979811528,-0.02107193216751779,-0.027604103512416968,-0.008792815319476304,-0.021503900758271154,-0.011420636619760682,-0.06319322154158322,-0.0017929554008285472,-0.004084286146593431,0.020832741140724143,-0.004432423765979315,0.013482885383017312,0.02061617435764904,0.012296544145643388,0.011742682313434194,0.01793852614310438
J05AX,antiviral,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,0.0432431392538586,-0.10184499946734032,-0.006256407786168253,-0.028566196063732847,0.025548650958247706,-0.01615946582690324,-0.03779470669220284,-0.00329606550306559,0.01793918231607626,0.006024931885744173,-0.012194904535211219,-0.018722636755188482,-0.03129393783912661,-0.008159266260652909,0.045720116071317124,-0.024186928550977812,-0.02667156587670495,0.04020237397475221,0.005930689968736441,0.010641268225943147,-0.014000542772914078,0.050416488907628856,-0.018657963827738253,-0.012578966860524725,0.028827917740356993,0.010885147976326219,-0.06998100190273021,0.0024710492951944413,0.03041676634262699,-0.022493631899828448,-0.060581827789228965,-0.03838407138474729,0.0336309083060936,0.023380508100707843,-0.0049849828074060056,0.036856721442357694,0.003241659494889203,0.0222137781016215,-0.033073384841543874,0.02007915599743294,-0.008681807670730297,-0.014797277742215155,-0.020943171527976055,0.0013383170901328958,0.011085040636005865,-0.0035428337629399686,0.038566298737154794,-0.03959636982546596,0.027745040316683213,0.017031936432724014,-0.03965593408275538,-0.027559661632716607,0.047461452613020295,-0.026956397130851302,0.015173775470092788,0.036837042704001725,0.014725621036348939,-0.02433589063780852,-0.003103100780262198,-0.04351398680351777
J05AR,antiviral,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,0.02032877629038914,-0.004899925602482943,0.012693870853422527,0.0072479912170357996,-0.026718803162693917,-0.030179760977752976,-0.06287636855650904,0.013721740186159204,0.00549375197004088,0.00043258243359220634,-0.026061661475383212,0.010883092366016247,-0.0037626940484781213,0.02170619491696667,0.03376331615797362,-0.012241100784478941,0.01930105184941767,0.05108096054628473,0.028514091269004026,-0.007134142241244157,0.010214798611910186,0.06651301714721965,0.0061933371563140955,0.014137005214819861,-0.01917237259441619,0.02039693286284885,-0.032348818595879666,0.007852729185482871,0.025284873371213334,-0.01916905220329196,-0.030132752341609496,-0.058979476167909786,0.06638134026734341,-0.02095810272249646,-0.01751014501427965,0.014412900356876202,0.014850752444446363,-0.013307051470901315,0.017560084338557297,0.016764014003176782,-0.0250993670503373,-0.0014722504691038322,0.015105459725647793,0.05131236232927871,0.0009090629834612738,-0.021701733052147194,-0.0013005916874717165,0.01613377688006104,0.012901303142312744,0.0004393227495887034,-0.036736778039940646,0.0071590552025849775,0.012925912732620327,0.01086460547544848,0.01486162429330206,0.008989676737578887,-0.004591579545679261,0.05462734422553657,-0.029127154811355176,-0.013219578239611883
J05AP,antiviral,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,0.04990247272159496,0.03057525905422967,-0.10790731968986467,0.02577559591123232,0.07999890344206097,-0.037332752294087626,0.008278448753882325,-0.002698600396615467,9.187547811543607e-05,-0.03903095372348579,0.005353739793497926,0.007500397490637423,0.00878695330772752,0.03827928096655434,0.02613424389032381,-0.019076586590490413,-0.04897166129670727,0.03429178530399905,-0.03589680504747518,-0.00318530873520019,-0.024602703074793987,-0.014603245944232525,0.033801197467143565,0.03564376877517196,-0.02497471529060541,-0.017805474202774,0.04349404712348151,-0.0025351309124395744,0.0463013217162989,0.003952780999254118,-0.014099027813428784,-0.0928365920972659,0.021304373169655555,-0.025970973730137716,0.020369067132993707,0.01337684207484302,-0.006948813328309825,-0.02102733582532493,0.008304255274168068,-0.013524257475337781,-0.04700516686628097,0.012158358169982971,-0.00048470824701189914,0.012259348502831273,0.03939016404515079,-0.012474678472534407,-0.0009221969137223898,0.0025022227836132734,0.025341484965776595,0.006963800701513971,-0.04632637653164889,0.008967305966033831,-0.008639204092163877,-0.022045662420135094,-0.007349735869717426,-0.0025774116674092927,-0.021486471168529888,-0.007192117433445606,0.00778369455155951,-0.021200797214925557
J05AB,antiviral,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,0.11612683413266212,0.019738871122426456,-0.09362165149330665,0.031452328413897584,-0.017004989580794362,0.02804084803052598,-0.0002657276255128571,-0.02246725677435077,0.025189316367714536,0.04376811023019282,-0.0023149923389609722,0.0568204383521132,0.03988016866067013,-0.02268655459402759,-0.004179937553616666,0.07570774589057246,0.05443540981333085,-0.012525041142773417,-0.04004889452579256,0.05541245078078273,0.0405704279153744,0.0001275952116525491,-0.04787526932975092,0.008189406348558283,0.02980625454719217,0.018466618544281506,0.029335524481442665,0.026957743665399388,0.0038893248449845623,-0.002202835531555777,0.03809994705488363,0.00576882083406061,0.023873072211476304,-0.02942580649218245,-0.032896385757551355,-0.008422513329221483,-0.022576945442068706,-0.02460283113294256,0.007917962464705854,-0.04181094061062063,0.0020518725532866697,0.004172756492635451,0.0008058066608061347,0.005925961394271084,-0.003914918902597375,0.005415087464849224,-0.001047582487325574,-0.014665496093404541,0.019740376179090517,0.01792532825305026,0.06663656231307058,0.025010155585030138,0.020966780287390317,0.012360662369843643,0.027155237160655144,0.01963068748220142,-0.01633244978821681,-0.07957985979158755,-0.021356838395099664,-0.025922562589807165
