Starter_Name,Canonical_SMILES,DORAnet_gen,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
Remdesivir,CCC(CC)CC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,2,5.767020549484987,0.4739374151933092,4.838103215706101,6.6959378832638725,1.7099344043162273e-06,2.014012291569034e-07,1.4517665454695015e-05,0.057863712,0.4791852,0.40803832,0.22625622,0.4502359,0.48890853,3.0321379,0.2291822,0.016970951,0.041093234,0.1116545,0.042367507,0.021124134,0.04805494,0.057671703,0.09166898,0.1015894,0.25342694,0.12431165,0.5846526,0.24468264,-5.707082,0.7003368,0.3107007,0.6428746,0.23451337,0.4341577,0.28318232,0.29104885,0.1191078,0.47963667,0.36509854,0.20468068
Adenosine,CC(=O)OP(=O)(O)OC(C)=O,3,5.757650283775594,0.47959085753439495,4.81765220300818,6.697648364543008,1.7472285447658378e-06,2.0060956465665793e-07,1.5217657208266263e-05,0.060833864,0.015266428,0.35869968,0.097664565,0.45094118,0.39421946,3.573548,0.04061333,0.0020146768,0.0061832233,0.0013688791,0.007793051,0.0059089,0.014864105,0.0024973438,0.0009609214,0.0062832483,0.07016659,0.0057954807,0.8725082,0.0021342747,-4.9754133,0.94917125,0.2428498,0.8251966,0.0046489974,0.0151690785,0.24400797,0.004741677,0.043947887,0.017385045,0.118104,0.00013104251
Remdesivir,O=C(O)c1ccccc1,2,5.748711311812894,0.4749967084525228,4.817717763245949,6.679704860379839,1.783563960383312e-06,2.0907164658271755e-07,1.5215360154154749e-05,0.027552858,0.020507375,0.5281258,0.073946565,0.38315767,0.36938235,1.9919182,0.030713683,0.0026001474,0.0046882266,0.006640248,0.0040452555,0.00325055,0.0147524895,0.011363918,0.0010490044,0.009661036,0.059895646,0.009704737,0.7397954,0.0031978798,-4.522954,0.98465216,0.3095259,0.8870443,0.019626055,0.013642469,0.29014635,0.0112809,0.04099046,0.0074132322,0.10980153,0.00024302276
Remdesivir,Oc1ccccc1,1,5.746977331127594,0.4747933836641972,4.816382299145768,6.67757236310942,1.7906993207421238e-06,2.1010076653248266e-07,1.526221969690218e-05,0.05648623,0.04784248,0.17205094,0.025708482,0.11006675,0.7841946,2.194898,0.10711163,0.004115359,0.026995972,0.094594404,0.009566899,0.0032749777,0.012041658,0.022547256,0.005983363,0.056686185,0.19581854,0.007436485,0.8335414,0.0049024397,-4.1979094,0.99995995,0.8405296,0.8831953,0.2845206,0.081998624,0.16179024,0.01947917,0.075756595,0.039555907,0.1619389,0.0015955132
Remdesivir,CC(C)=CCc1ccccc1O,2,5.723253856838531,0.47133886282756604,4.799429685696502,6.647078027980561,1.8912378159765164e-06,2.253834238245018e-07,1.5869758369474132e-05,0.06938491,0.38964835,0.13334367,0.046063595,0.11623025,0.8193885,2.0853736,0.23843774,0.009290842,0.09868379,0.5000232,0.03733366,0.0039739884,0.008769462,0.072338305,0.057649232,0.1294985,0.26492804,0.025915572,0.8819765,0.07107646,-4.4283533,0.999941,0.92642564,0.80995166,0.71650994,0.47833028,0.18145558,0.17268947,0.23949012,0.44487056,0.42105788,0.030330632
Remdesivir,CCN[P@@](=O)(Oc1cccc(C(=O)OCC(CC)CC)c1)OP(=O)(O)O,2,5.718721574996843,0.47712727226914897,4.783552121349311,6.6538910286443755,1.911078052824889e-06,2.2187530702049253e-07,1.6460684034801805e-05,0.023837399,0.39861408,0.51810426,0.19279113,0.43966666,0.37097993,2.9237573,0.19255443,0.01349097,0.02622028,0.16738048,0.035606842,0.010260417,0.04174783,0.08267581,0.078260064,0.09001491,0.2331845,0.120824695,0.5659088,0.20829873,-5.6179247,0.8093866,0.38052994,0.736008,0.38759995,0.47668418,0.34811848,0.37264088,0.13079756,0.41599798,0.36417508,0.111117676
Remdesivir,CCC(CC)COC(=O)O[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,2,5.717643005145291,0.4717828064611018,4.792948704481532,6.6423373058090505,1.915830111417741e-06,2.2785716741755301e-07,1.610835883467655e-05,0.03370558,0.4305726,0.47902888,0.20512733,0.45866007,0.4184162,2.912585,0.21381338,0.014053179,0.030531872,0.13278139,0.04124085,0.012162341,0.04033927,0.07101335,0.08774772,0.09017899,0.2504652,0.119434774,0.59445304,0.22615878,-5.626987,0.7356522,0.31979495,0.68783236,0.31789112,0.47271848,0.31565213,0.3182345,0.110650554,0.45961633,0.34252536,0.15469739
Remdesivir,Oc1cccc(O)c1,2,5.717270244422343,0.47333715669677817,4.789529417296658,6.645011071548028,1.9174751997516843e-06,2.264586575340708e-07,1.6235683730084807e-05,0.10499449,0.083967194,0.20722942,0.053395547,0.08289902,0.8100778,2.1760252,0.3630585,0.019558808,0.07680883,0.39081758,0.051198136,0.010270887,0.026617462,0.21694586,0.026242,0.19035383,0.2816977,0.010549339,0.41235566,0.010246831,-4.538662,0.99962837,0.5481332,0.7479905,0.42917222,0.11059113,0.09762405,0.057538547,0.045991227,0.11303592,0.14485213,0.020420793
Remdesivir,CCC(C)(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,2,5.715236686772116,0.473844157642616,4.7865021377925885,6.643971235751643,1.9264747148265513e-06,2.270015194845303e-07,1.6349251032740153e-05,0.049681604,0.44171652,0.26218626,0.19760923,0.38158196,0.5142239,2.9260828,0.23645088,0.010627583,0.033445425,0.1030831,0.031021405,0.013335286,0.03821797,0.03427557,0.07590141,0.121533275,0.26882452,0.07045839,0.5832397,0.17728761,-5.644557,0.63178635,0.30890042,0.6045804,0.22373375,0.33697274,0.18100369,0.17772213,0.12330972,0.4792034,0.33180434,0.119661175
Remdesivir,Oc1ccccc1O,2,5.714083875662363,0.47386750230919816,4.7853035711363345,6.642864180188391,1.9315952303624616e-06,2.275809048443232e-07,1.6394434043186727e-05,0.42239937,0.1011042,0.18150035,0.059172194,0.13150059,0.87946844,2.2902036,0.41242948,0.027448505,0.09667441,0.24455531,0.060530614,0.016940147,0.018759193,0.28039303,0.020817708,0.10209392,0.13850456,0.011517188,0.5424199,0.0061105518,-4.6031895,0.9989435,0.63585377,0.77062225,0.37928408,0.05270775,0.073594525,0.019490007,0.07906566,0.06753183,0.1784117,0.015485709
