Canonical_SMILES,Drug_Type,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,AMES,hERG,DILI,ClinTox,Carcinogens_Lagunin,Skin_Reaction,LD50_Zhu,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,BBB_Martins,Pgp_Broccatelli,Caco2_Wang,HIA_Hou,PAMPA_NCATS,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,antiviral,6.628575923389479,0.469759719218486,5.707846873721246,7.549304973057712,2.3519282931902937e-07,2.8228969659161543e-08,1.959535457049092e-06,0.47347897,0.7189122,0.8719183,0.48590222,0.0635114,0.1631917,3.7177937,0.32230666,0.117261395,0.046268858,0.20705836,0.27570242,0.036354233,0.06848799,0.06481177,0.18072638,0.033972416,0.0984094,0.06730424,0.16444518,0.54319173,-5.77371,0.90952146,0.27704448,0.7578443,0.0014643813,0.09150367,0.0892379,0.112458006,0.049566083,0.061975986,0.6305065,0.5942456
CC[C@@H]1[C@@H]2CN(C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]3C[C@H]3CCCCC(F)(F)c3nc4ccc(OC)cc4nc3O2)[C@@H]1C(=O)N[C@]1(C(=O)NS(=O)(=O)C2(C)CC2)C[C@H]1C(F)F,antiviral,6.4214591920590065,0.4736409994660878,5.493122833105474,7.349795551012539,3.789141362714132e-07,4.4689392295462274e-08,3.2127517357377377e-06,0.40278998,0.78047955,0.95990926,0.17074811,0.06798453,0.059379555,3.6013405,0.7974793,0.17833492,0.13148227,0.66928875,0.43834227,0.07817135,0.06409585,0.017139371,0.36343834,0.01304469,0.027469793,0.14738184,0.30072728,0.97993076,-5.2410407,0.9984357,0.8283104,0.7191911,0.00011659986,0.09587036,0.04987377,0.26165012,0.0252218,0.0066937194,0.87651503,0.9752967
CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,antiviral,6.360733291255917,0.474828052169282,5.430070309004124,7.29139627350771,4.357794121956898e-07,5.11215162614158e-08,3.7147508521172637e-06,0.4021926,0.64269745,0.9555069,0.14712837,0.114544585,0.10789367,3.7041054,0.7298714,0.12018633,0.115904726,0.44880432,0.44714087,0.06923667,0.05227507,0.007876373,0.29323047,0.017649543,0.04076163,0.1927797,0.21188602,0.93723804,-5.3320203,0.97011507,0.566219,0.69212425,0.00014645835,0.06288509,0.0678802,0.18133731,0.019857112,0.011509683,0.7718018,0.86872405
COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,antiviral,6.231433061900207,0.4745196631397611,5.301374522146275,7.161491601654139,5.869038225276344e-07,6.894589257338971e-08,4.996035065191033e-06,0.11002791,0.847118,0.97993326,0.15928647,0.08422676,0.0731,3.4844913,0.65457594,0.065378584,0.11387899,0.69196045,0.36030248,0.02472225,0.025801312,0.01670619,0.2942885,0.021815162,0.044443104,0.19882207,0.033023383,0.9844631,-5.5758605,0.99502945,0.4726123,0.74151015,9.404544e-05,0.2324191,0.103701904,0.51164675,0.014375101,0.013198763,0.8460981,0.93807924
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC,antiviral,6.1923633505828315,0.4729633402702566,5.265355203653129,7.119371497512534,6.421502403135456e-07,7.596761684117614e-08,5.428061959569565e-06,0.07832159,0.9829798,0.98861915,0.3723866,0.03816033,0.011379592,5.122617,0.80355614,0.087357596,0.08896816,0.52993715,0.3146743,0.03797044,0.024673186,0.048059333,0.30762485,0.006740833,0.0139463395,0.09929209,0.054844193,0.99825037,-5.394877,0.9996468,0.67789316,0.71619,4.5206576e-05,0.23480842,0.075198926,0.69076526,0.026800415,0.019639345,0.9372384,0.99722654
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)O[C@@H]1C[C@H]1CCCCCc1nc3ccc(OC)cc3nc1O2)C(=O)NS(=O)(=O)C1CC1,antiviral,6.158753270147868,0.4777158362358889,5.222430231125526,7.095076309170211,6.938198645692681e-07,8.033849483333255e-08,5.991971911716594e-06,0.52588356,0.7437166,0.9292134,0.27073866,0.06963406,0.10521825,3.389246,0.72038877,0.22954778,0.11914706,0.47098798,0.4847135,0.10773065,0.09464601,0.016638074,0.30058485,0.022203125,0.053118624,0.16067125,0.29309738,0.9184958,-5.3725753,0.9912774,0.6674489,0.6984139,0.00030354696,0.0503107,0.060045708,0.12642904,0.032241523,0.016038338,0.81389415,0.92437565
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,antiviral,6.099179786060651,0.47491689295456785,5.168342675869698,7.030016896251603,7.958298303897168e-07,9.332179931914374e-08,6.786679249209491e-06,0.6207124,0.8762804,0.9518266,0.4284932,0.06039232,0.12299701,3.6455433,0.7440286,0.28461242,0.112486824,0.6577824,0.48569256,0.16187054,0.119002596,0.16144389,0.38054088,0.02615673,0.062237013,0.10463436,0.44538885,0.971896,-5.054179,0.9990322,0.85047257,0.75310427,0.0048620664,0.13353123,0.101337075,0.26418072,0.101539515,0.03597681,0.87421495,0.9558096
COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,antiviral,6.065667102410185,0.4733254386892224,5.1379492425793085,6.993384962241061,8.596722292946009e-07,1.0153482807019258e-07,7.2786486752057305e-06,0.48323885,0.97945625,0.9605013,0.7338019,0.06101786,0.04989798,3.7522159,0.7682005,0.40340853,0.15681806,0.54993546,0.54979265,0.16910322,0.08638067,0.38205853,0.5099702,0.031276755,0.07028481,0.09554963,0.20287433,0.98761225,-5.6484404,0.9986373,0.64822495,0.6726327,0.010580985,0.16435568,0.11584301,0.58599675,0.07847899,0.094882764,0.8599221,0.9751746
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,antiviral,5.998334684450718,0.47392337990300754,5.069444859840823,6.927224509060613,1.0038418919779108e-06,1.182430139004031e-07,8.522267073965007e-06,0.18889311,0.635166,0.888134,0.13370669,0.0882603,0.09590407,4.1249485,0.5556904,0.049034785,0.057082392,0.21231921,0.20833023,0.03517873,0.04152767,0.00982223,0.17164639,0.016023435,0.028831702,0.053128086,0.24838395,0.78247994,-4.931712,0.99237555,0.72827065,0.70848364,0.00068221334,0.14955845,0.10118282,0.22824879,0.03233771,0.022286275,0.78003544,0.94604033
COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,antiviral,5.99436447743781,0.474356594863691,5.064625551504976,6.924103403370644,1.0130608273872476e-06,1.1909584129528577e-07,8.61736420705027e-06,0.40710193,0.98054045,0.9853403,0.6700808,0.11775522,0.03413935,3.261903,0.7033864,0.26094753,0.10723933,0.4051396,0.39227945,0.052060883,0.034362145,0.37543708,0.46600637,0.016814368,0.038370825,0.0790674,0.12559316,0.98876333,-5.845899,0.99800444,0.55018485,0.68168,0.0048541497,0.29636294,0.14435056,0.8128053,0.055139154,0.08942337,0.8494242,0.9926956
