compound_id,Canonical_SMILES,pPotency,Virus
145965881,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Br)ccc2F)CC1,5.920818753952375,Ebola
145965907,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(-c3ncco3)cc2)CC1,6.568636235841013,Ebola
137550812,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)cc(Cl)c2O)CC1,5.443697499232713,Ebola
145966015,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,6.459670525209126,Ebola
145966423,CC(=O)Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,6.022276394711152,Ebola
145966761,COC(=O)c1ccc(COc2ccc(C#N)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,7.301029995663981,Ebola
145966802,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,7.026872146400302,Ebola
145966802,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,7.292429823902063,Ebola
145966802,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,6.7447274948966935,Ebola
145966804,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(F)c(F)cc2Cl)CC1,5.838631997765025,Ebola
137550817,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)cc(F)c2O)CC1,5.552841968657781,Ebola
145967017,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC34CCCCC4)CC2)cc1,7.136677139879544,Ebola
145967063,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCC3)CC1,5.6020599913279625,Ebola
137550799,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,6.468521082957745,Ebola
145967454,COC(=O)c1ccc(COc2ccc(Br)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,8.045757490560675,Ebola
145967531,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3(F)CC3)CC2)cc1,5.537602002101044,Ebola
145968217,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Cl)ccc2C(F)(F)F)CC1,5.698970004336019,Ebola
145970278,NC(=O)c1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,5.721246399047171,Ebola
145970976,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2NC(=O)C2CC2)CC1,5.455931955649724,Ebola
145971310,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Br)ccc2Cl)CC1,5.657577319177793,Ebola
145971628,O=C(CC12CC3CC(CC(Cl)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,6.301029995663981,Ebola
145971904,COC(=O)c1ccc(COc2ccc(F)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,8.853871964321762,Ebola
145972264,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCCC3)CC1,6.619788758288394,Ebola
145972344,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2c(F)ccc(Cl)c2F)CC1,5.869666231504994,Ebola
137550823,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2O)CC1,6.327902142064283,Ebola
145973032,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Cl)cc(Cl)c2Cl)CC1,6.366531544420414,Ebola
145973424,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Cl)ccc2NS(=O)(=O)C2CC2)CC1,5.657577319177793,Ebola
145973565,COC(=O)c1ccc(COc2ccc(C)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,7.920818753952375,Ebola
145973778,Nc1ccc(Cl)cc1C(=O)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,5.301029995663981,Ebola
137550801,COC(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C(F)(F)C(F)F)CC2)cc1,6.795880017344075,Ebola
145974630,O=C(CC12CC3CC(C1)CC(c1ccccc1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,6.154901959985743,Ebola
145974644,COC(=O)c1ccc(CCc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,7.698970004336019,Ebola
145974694,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3(C)CCCCC3)CC2)cc1,7.096910013008056,Ebola
145974707,Nc1ccc(C2CC2)cc1CN1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,5.376750709602099,Ebola
137550809,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.301029995663981,Ebola
145975638,O=C(CC(F)(F)C1CCCCC1)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,5.698970004336019,Ebola
145975807,CCC1(CC)CC1C(=O)NCC(=O)N1CCN(Cc2cc(Cl)ccc2N)CC1,6.795880017344075,Ebola
145976362,O=C(NCC(=O)N1CCN(Cc2cc(Cl)ccc2O)CC1)C1CC12CCC(F)(F)CC2,6.7447274948966935,Ebola
137550813,Nc1ccc(Br)cc1CN1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,5.7594507517174005,Ebola
145976763,O=C(CC12CC3CC(CC(O)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,6.301029995663981,Ebola
145976808,COC(=O)c1ccc(/C=C/c2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,5.823908740944319,Ebola
145977004,CNS(=O)(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,6.522878745280337,Ebola
137550810,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC3CC(F)(F)C3)CC2)cc1,6.522878745280337,Ebola
145977119,CC1(CC(=O)NCC(=O)N2CCN(Cc3ccccc3OCc3ccc(Br)cc3)CC2)CCCCC1,6.2839966563652006,Ebola
145977569,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Cl)c(F)cc2F)CC1,6.431798275933005,Ebola
145977640,COS(=O)(=O)c1ccc(COc2ccc(F)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,8.301029995663981,Ebola
145978015,O=C(CC12CC3(F)CC(F)(CC(F)(C3)C1)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,6.698970004336019,Ebola
145978190,COC(=O)c1ccc(COc2ccc(OC)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,5.853871964321762,Ebola
145978194,Nc1ccc(Cl)cc1CN1CCN(C(=O)CNC(=O)CC23CC4CC(CC(C4)C2)C3)CC1,7.045757490560675,Ebola
145978239,COC(=O)c1ccc(Oc2cc(Cl)cc(CN3CCN(C(=O)CNC(=O)CC45CC6CC(CC(C6)C4)C5)CC3)c2)cc1,7.795880017344075,Ebola
145978416,O=C(CC12CC3CC(C1)CC(c1ccc(O)c([N+](=O)[O-])c1)(C3)C2)NCC(=O)N1CCN(Cc2ccccc2OCc2ccc(Br)cc2)CC1,6.221848749616356,Ebola
145978708,O=C(CC12CC3CC(CC(C3)C1)C2)NCC(=O)N1CCN(Cc2cc(Cl)cc(F)c2F)CC1,6.173925197299174,Ebola
137550804,O=C(CC1CCC(F)(F)CC1)NCC(=O)N1CCN(Cc2cc(Br)ccc2O)CC1,6.102372908709558,Ebola
145978766,COC(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,8.958607314841775,Ebola
145978846,NS(=O)(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,6.455931955649724,Ebola
145969173,[2H]C([2H])(c1cc(Cl)ccc1NCc1ccc(S(C)(=O)=O)cc1)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,6.962573502059376,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.031517051446065,Ebola
71254944,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,6.552841968657781,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,6.6777807052660805,Ebola
145976469,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.920818753952375,Ebola
145978230,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,8.045757490560675,Ebola
71254944,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,7.1938200260161125,Ebola
145964639,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.42021640338319,Ebola
145966015,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)CC2CCC(F)(F)CC2)CC1,5.922632094715843,Ebola
145966802,[2H]C([2H])(c1cc(Cl)ccc1N)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,6.787812395596042,Ebola
145969173,[2H]C([2H])(c1cc(Cl)ccc1NCc1ccc(S(C)(=O)=O)cc1)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,7.67778070526608,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.455931955649724,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.721246399047171,Ebola
145976469,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.552841968657781,Ebola
145978230,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.397940008672037,Ebola
71254944,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,6.795880017344075,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,6.853871964321762,Ebola
145976469,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,7.2839966563652,Ebola
145978230,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,7.769551078621726,Ebola
71254944,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,6.229147988357856,Ebola
145975877,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,6.376750709602099,Ebola
