Starter_Name,Canonical_SMILES
Guanosine,C[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Brincidofovir,CC([C@H](O)CO)n1ccc(N)nc1=O
Adenosine,C[C@@]1(C=O)O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Adenosine,Nc1nc(C(O)O)nc2c1nc1n2[C@@H]2OC[C@@H](O)[C@H]2O1
Adenosine,Cc1nc(NC=O)c2ncn([C@@H]3O[C@H](C)[C@@H](O)[C@H]3O)c2n1
Remdesivir,CCC(CC)COC(O)[C@H](C)N[P@@]1(=O)Oc2ccc(cc2)OP(=O)(O)O1
Guanosine,Cc1nc2c(=O)[nH]c(NC=O)nc2n1[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
Guanosine,CC(O)[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Brincidofovir,CCCCCCCCCCCOCCCOP(=O)(O)COCCn1c(CO)cc(N)nc1=O
Remdesivir,CCC(C)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O
Adenosine,C[C@]1(O)[C@H](O)[C@@H](C=O)O[C@H]1n1cnc2c(NC=O)ncnc21
Adenosine,CC(O)(O)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O
Guanosine,NC1=Nc2c3ncn2[C@@H]2O[C@H](C(=O)N=C3N1)[C@@H](O)[C@H]2O
Brincidofovir,CCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)c1cn(C)c(=O)nc1N
Guanosine,CC(O)Nc1nc2c(ncn2[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c(=O)[nH]1
Adenosine,Cc1nc2c(NC=O)ncnc2n1[C@@H]1O[C@H](C=O)[C@@H](O)[C@H]1O
Adenosine,CC(N)Nc1ncnc2c1ncn2[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
Guanosine,CC(O)Nc1nc2c(ncn2[C@@H]2O[C@H](C=O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Brincidofovir,Nc1ccn(C(CO)[C@H](O)CO)c(=O)n1
Adenosine,Nc1nc(C(O)O)nc2c1nc1n2[C@@H]2OC[C@@H](O1)[C@H]2O
Adenosine,C[C@H]1O[C@@H](n2cnc3c(NC(O)CO)ncnc32)[C@H](O)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)OP(=O)(O)O
Adenosine,CC(O)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@@](C)(O)[C@@H]1O
Remdesivir,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccccc1C(=O)O)OP(=O)(O)O
Adenosine,O[C@@H]1[C@H](O)[C@H]2C=Nc3ncnc4c3ncn4[C@@H]1O2
Brincidofovir,Nc1ccn(C(C(=O)O)[C@H](O)CO)c(=O)n1
Guanosine,CC1(C)O[C@@H](n2cnc3c(=O)[nH]c(NC=O)nc32)[C@H](O)[C@@H]1O
Brincidofovir,Nc1ccn(C[C@@H](CO)OCP(=O)(O)OCCCOCCCCCCCCCCO)c(=O)n1
