drugName,Canonical_SMILES,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
Xanthosine,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,5.329663431354469,0.4735417595745159,4.401521582588417,6.25780528012052,4.680977662012572e-06,5.523250237192561e-07,3.9671481340302645e-05,284.228,-2.9755999999999996,7,5,4.0,0.39414005568585614,4,153.46,0,0,0,0.5762336,0.44900784,0.55015075,0.00068242627,0.0042582657,0.023628261,0.0024329838,0.0025661536,0.0026835608,0.07108767,0.0002776385,0.105121635,0.24942446,0.9001158,0.24860568,0.021249037,0.032294586,0.010148413,0.0033037947,0.010199571,0.110745475,0.0018680744,0.0069967858,0.0013749192,0.065366074,0.017403763,0.003057609,0.0020939799,0.12434535,0.35695872,0.01902662,-6.3261175,-7.66326,-12.851031,8.481493,-27.786377,1.92014,-1.463396,42.849964,-2.431553,2.2669616,35.53602811950791,8.014059753954307,79.85940246045695,91.493848857645,63.44463971880493,32.37258347978911,81.28295254833041,86.32688927943762,47.59226713532514,25.869947275922673,37.188049209138846,84.53427065026362,29.173989455184536,19.718804920913886,12.126537785588754,7.451669595782074,13.954305799648507,15.184534270650264,6.71353251318102,8.541300527240773,11.70474516695958,9.84182776801406,31.915641476274168,74.97363796133568,82.84710017574693,11.036906854130054,67.55711775043937,59.472759226713535,39.71880492091389,24.60456942003515,36.37961335676626,61.82776801405976,26.713532513181022,7.065026362038665,16.660808435852374,33.145869947275926,61.93321616871705,19.929701230228474,18.875219683655537,76.48506151142355,28.26010544815466,12.161687170474519,10.087873462214413,10.263620386643234,13.005272407732866,37.22319859402461,6.994727592267136,19.75395430579965,12.72407732864675,22.601054481546576,62.7768014059754,57.50439367311073
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.309952124335454,0.47277554715900555,4.383312051903803,6.236592196767105,4.8983281447991356e-06,5.799730364540449e-07,4.137023121079614e-05,267.245,-1.9800000000000006,8,4,4.0,0.49051986767922323,4,139.54000000000002,0,0,0,0.8171123,0.56098294,0.6434332,0.0020131236,0.005246537,0.021377344,0.0023748016,0.007326434,0.003641927,0.14723602,0.0012080937,0.13144667,0.41014138,0.8895952,0.65410596,0.0247859,0.023824811,0.057798434,0.01696619,0.015138361,0.106482744,0.003006903,0.03660683,0.0019826482,0.18069196,0.04748916,0.011533485,0.013358896,0.30158988,0.32788217,0.09215058,-5.870338,2.3339157,-4.8691983,10.72566,-22.295828,2.3976436,-0.61173296,29.483326,-1.4240984,3.9820275,31.599297012302287,10.017574692442883,84.51669595782074,86.90685413005274,63.44463971880493,44.9560632688928,81.28295254833041,83.47978910369069,47.59226713532514,25.869947275922673,37.188049209138846,95.32513181019333,37.57469244288225,26.362038664323375,17.961335676625662,9.138840070298771,13.286467486818982,15.008787346221443,11.528998242530756,11.669595782073815,21.441124780316347,19.297012302284713,40.52724077328647,87.10017574692444,81.37082601054482,18.594024604569423,71.45869947275924,47.66256590509666,64.56942003514939,47.94376098418278,47.0298769771529,59.789103690685415,36.203866432337435,12.302284710017576,19.402460456942006,59.22671353251319,76.52021089630932,43.8664323374341,38.55887521968366,90.57996485061513,24.710017574692444,30.615114235500883,16.379613356766257,16.836555360281196,19.261862917398947,41.652021089630935,12.864674868189807,46.99472759226714,22.42530755711775,14.481546572934976,78.48857644991213,69.20913884007031
Guanosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,5.287852345187039,0.4743573773352795,4.358111885609891,6.217592804764187,5.154038458017517e-06,6.059087095348321e-07,4.384177353568225e-05,283.24399999999997,-2.6867000000000005,8,5,4.0,0.39813741611480424,4,159.51,0,0,0,0.7505764,0.5107051,0.6096962,0.001715344,0.0054147765,0.021085674,0.0032020498,0.005162449,0.00336191,0.11752437,0.00070667855,0.098501235,0.36304763,0.9182576,0.48682728,0.020730808,0.03101995,0.03806055,0.007617814,0.011056453,0.1145411,0.0018775414,0.01716255,0.002666415,0.09722848,0.029466638,0.0046752673,0.0073225806,0.20525816,0.33023497,0.05947297,-6.2998695,-4.3806944,-5.529994,3.8157754,-26.639246,2.171494,-1.1695955,33.531284,-2.1279693,3.1951256,35.465729349736385,8.681898066783832,84.51669595782074,91.493848857645,63.44463971880493,32.829525483304046,81.28295254833041,87.41652021089632,47.59226713532514,25.869947275922673,37.188049209138846,93.25131810193322,33.5676625659051,23.304042179261867,16.836555360281196,9.349736379613358,13.075571177504395,18.101933216168717,9.455184534270652,10.61511423550088,17.855887521968366,15.957820738137084,29.630931458699475,84.18277680140598,85.48330404217927,15.395430579964852,67.02987697715291,57.961335676625666,58.523725834797894,36.02811950790861,38.66432337434095,63.55008787346222,26.889279437609844,9.420035149384887,21.86291739894552,43.514938488576455,69.66608084358525,26.713532513181022,32.68892794376099,85.23725834797892,24.956063268892798,26.22144112478032,10.333919156414764,12.056239015817225,18.594024604569423,28.857644991212656,7.908611599297013,32.89982425307557,15.782073813708262,16.94200351493849,68.75219683655537,64.11247803163445
Inosine,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.2547744666389935,0.4734800589712035,4.326753551055434,6.182795382222553,5.561930187459009e-06,6.564544818805541e-07,4.712446675898638e-05,268.229,-2.2689,7,4,4.0,0.4822946675996651,4,133.49,0,0,0,0.716743,0.5495333,0.57404435,0.0023606643,0.009799773,0.03659372,0.005990088,0.006325338,0.004957033,0.13240501,0.0010137281,0.14377125,0.36976424,0.89445305,0.43392888,0.026252681,0.028408268,0.033253152,0.011799954,0.01647841,0.106847584,0.005541468,0.02003767,0.0033634217,0.14058813,0.037870236,0.012655146,0.008283259,0.23470402,0.3694465,0.06263839,-5.919366,4.063498,-13.182599,9.885608,-23.255133,2.0046284,-1.08076,28.105618,-1.3057772,3.4638257,31.880492091388405,9.314586994727593,79.85940246045695,86.90685413005274,63.44463971880493,43.58523725834798,81.28295254833041,82.35500878734622,47.59226713532514,25.869947275922673,37.188049209138846,91.77504393673111,36.520210896309315,20.667838312829527,19.05096660808436,15.465729349736382,18.207381370826013,24.74516695957821,10.54481546572935,15.500878734622145,19.68365553602812,18.207381370826013,44.18277680140598,84.49912126537787,82.10896309314587,14.657293497363797,72.40773286467487,54.09490333919157,56.695957820738144,42.601054481546576,49.244288224956065,59.964850615114244,47.17047451669596,10.087873462214413,23.83128295254833,52.61862917398946,73.42706502636204,45.659050966608085,34.27065026362039,86.88927943760984,30.193321616871707,26.889279437609844,15.500878734622145,18.629173989455186,12.65377855887522,39.71880492091389,11.423550087873464,23.83128295254833,16.590509666080845,13.954305799648507,80.0,65.65905096660809
