PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103168230,3767,C1=CN=CC=C1C(=O)NN,Active,,,Potential missing data,Activity,Active
2,103760931,135430293,C1=CC(=CC=C1/C=N/N=C(\N)/NO)O,Active,,,Potential missing data,Activity,Active
3,103760939,135486206,C1=CC=C(C(=C1)/C=N/N=C(/N)\NO)O,Active,,,Potential missing data,Activity,Active
4,103767285,135860584,C1CN(CCN1C(=O)NO)C(=S)N/N=C/C2=CC=CC=C2O,Inconclusive,,,Potential missing data,Activity,Not Determined
5,136922528,136196485,C1[C@H](NN=C1C2=CC=CC=C2O)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
6,136922529,136196486,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)NO)C3=CC=CC=C3O,Inconclusive,,,Potential missing data,Activity,Not Determined
7,136922530,136196487,C1=CC=C(C(=C1)/C=N/NC(=O)NO)O,Inconclusive,,,Potential missing data,Activity,Not Determined
8,136922531,136196488,C/C(=N\NC(=O)NO)/C1=CC=CC=C1O,Inconclusive,,,Potential missing data,Activity,Not Determined
9,136925763,136196518,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)C3=CC=NC=C3)C4=CC=C(C=C4)O,Inconclusive,,,Potential missing data,Activity,Not Determined
10,136925764,136196519,C1[C@H](N(N=C1C2=CC=CC=C2O)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)O,Inconclusive,,,Potential missing data,Activity,Not Determined
11,136925765,136196520,C/C(=N\NC(=O)NO)/C1=CC=C(C=C1)O,Inconclusive,,,Potential missing data,Activity,Not Determined
12,136928994,136196555,C1[C@H](N(N=C1C2=CC=CC=C2O)/C(=N/O)/N)C3=CC=C(C=C3)O,Active,,,Potential missing data,Activity,Active
13,136932228,136126519,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=N)N)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
14,136932229,136126520,C1[C@H](N(N=C1C2=CC=CC=C2O)/C(=N/O)/N)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
15,136932230,136126521,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)C3=CC=CC=C3)C4=CC=CC=C4O,Inconclusive,,,Potential missing data,Activity,Not Determined
16,136932231,136126522,CC1=CC=C(C=C1)S(=O)(=O)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)O,Inconclusive,,,Potential missing data,Activity,Not Determined
17,136935690,136126554,CC1=CC=CC=C1[C@@H]2CC(=NN2C(=S)N)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
18,136935691,136126555,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)C3=CC=NC=C3)C4=CC=CC=C4O,Active,,,Potential missing data,Activity,Active
19,136935692,136126556,CC1=CC=C(C=C1)S(=O)(=O)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=CC=C4O,Inconclusive,,,Potential missing data,Activity,Not Determined
20,136938816,136126598,CC(=O)N1[C@@H](CC(=N1)C2=CC=CC=C2O)C3=CC=CC=C3O,Inconclusive,,,Potential missing data,Activity,Not Determined
21,136938817,136126599,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=N)N)C3=CC=C(C=C3)O,Active,,,Potential missing data,Activity,Active
22,136938818,136126600,C1[C@H](N(N=C1C2=CC=CC=C2O)S(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C4O,Inconclusive,,,Potential missing data,Activity,Not Determined
23,136938819,136126601,C1=CC(=CC=C1/C=N/NC(=O)NO)O,Active,,,Potential missing data,Activity,Active
24,136942015,136202982,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)N)C3=CC=C(C=C3)O,Inconclusive,,,Potential missing data,Activity,Not Determined
25,136942016,136202983,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)C3=CC=CC=C3)C4=CC=C(C=C4)O,Inconclusive,,,Potential missing data,Activity,Not Determined
26,136942017,135583288,C/C(=N\NC(=S)SC)/C1=CC=CC=C1O,Active,,,Potential missing data,Activity,Active
27,136945185,136203025,CC(=O)N1[C@@H](CC(=N1)C2=CC=CC=C2O)C3=CC=C(C=C3)O,Inconclusive,,,Potential missing data,Activity,Not Determined
28,136945186,136203026,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=O)N)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
29,136945187,136203027,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=S)N)C3=CC=CC=C3O,Active,,,Potential missing data,Activity,Active
30,136945188,135400532,CSC(=S)N/N=C/C1=CC=C(C=C1)O,Active,,,Potential missing data,Activity,Active
