PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
75658,92145553,16272414,C=CCN1C(=NN=C1SC(CC2=CC=CC=C2)C#N)C3CCCCC3,Inactive,0,,,209.1,2.67382e+07,214.2,2.64715e+07,-4.28,-6.2,-5.24,100.19,99.6
75659,92145554,16270949,CC1=CC(=C(N1CC2COC3=CC=CC=C3O2)C)C(=O)CN4C=NC5=C(C4=O)C=CS5,Inactive,0,,,217,2.7215e+07,216.9,2.70172e+07,-9.44,-7.98,-8.71,101.98,101.65
75660,92145555,16294344,C1CC1NC(=O)C2=CC(=CC=C2)NC(=O)C3=CC(=CC=C3)N4C=CC=C4,Inactive,2,,,201.5,2.58218e+07,199.2,2.58884e+07,0.67,3.7,2.19,96.76,97.4
75661,92145556,16281593,CC1=CC2=NC(=CN2C=C1)C(=O)OC(C)C3=NN=C(O3)C4=CC=CS4,Inactive,4,,,198.5,2.77364e+07,197.6,2.72945e+07,2.63,4.76,3.7,103.93,102.69
75662,92145557,16294333,C1CN(CCN(C1)S(=O)(=O)C2=CC=C(C=C2)F)C(=O)CN3C(=O)C4=CC=CC=C4C(=N3)C(=O)N,Inactive,4,,,199,2.70584e+07,197.3,2.70276e+07,2.3,4.95,3.63,101.39,101.69
75663,92145558,16281330,CC(C(=O)N(C)CC1=CC(=CC=C1)F)OC(=O)CN2C3=CC=CC=C3OC2=O,Inactive,5,,,196.3,2.70876e+07,197.1,2.70051e+07,4.06,5.09,4.58,101.5,101.61
75664,92145559,9206823,CC(=O)NC1=NC(=CS1)CN2C(=O)C3=CC=CC=C3C(=N2)C(=O)O,Inactive,3,,,200.5,2.74288e+07,199.1,2.71393e+07,1.32,3.77,2.55,102.78,102.11
75665,92145560,135555640,CCC(C1=NN=C(N1CC2=CC=CC=C2)SC/C(=C(\C#N)/C3=NC4=CC=CC=C4N3)/O)N(C)C,Inactive,3,,,196.8,2.70731e+07,200.6,2.69683e+07,3.74,2.78,3.26,101.45,101.47
75666,92145561,16294590,CCC1(C(=O)N(C(=O)N1)/N=C/C2CCC=CC2)C,Inactive,1,,,201,2.73194e+07,202.3,2.71426e+07,1,1.65,1.33,102.37,102.12
75667,92145562,16281731,C1CC(OC1)CN(C2=NC3=CC=CC=C3S2)C(=O)CN4C(=O)COC5=CC=CC=C54,Inactive,4,,,197.5,2.73121e+07,198.7,2.72132e+07,3.28,4.03,3.66,102.34,102.39
