PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Fluorescence Polarization (mP)_A,Fluorescence Intensity_A,Fluorescence Polarization (mP)_B,Fluorescence Intensity_B,Normalized % Inhibition_A,Normalized % Inhibition_B,Normalized % Inhibition_Avg,Normalized Fluorescence Intensity_A,Normalized Fluorescence Intensity_B
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"Fluoresence polarization for replicate A, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate A.,"Fluoresence polarization for replicate B, calculated from parallel and perpendicular intensity channels (milli-polarization units).",Total fluorescence intensity for replicate B.,"Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate A.","Fluorescence polarization, normalized to plate average FP of positive and negative controls for replicate B.","Fluorescence polarization, normalized to plate average FP of positive and negative controls (average of A and B replicates)",Fluorescence intensity normalized to average intensity of all wells on plate.,Fluorescence intensity normalized to average intensity of all wells on plate.
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,RATIO,RATIO
1,92175710,62531,CC1=CC(=C(C(=C1)N2N=C3C=CC(=CC3=N2)Cl)O)C(C)(C)C,Inactive,0,,,189.6,2.56626e+07,194.8,2.64185e+07,0.64,-2.45,-0.91,94.33,95.7
2,92175711,39302,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3C(=O)O,Inactive,1,,,186.8,2.57633e+07,191.5,2.69365e+07,2.49,-0.27,1.11,94.7,97.58
3,92175712,824426,CC1=CC=C(C=C1)NC2=C3C4=C(C=C2)N=CN=C4C5=CC=CC=C5C3=O,Inactive,2,,,186.8,2.62509e+07,188.1,2.76992e+07,2.49,1.97,2.23,96.49,100.34
4,92175713,677839,C1=CC=C2C(=C1)C(=C(S2)C(=O)NC3=CC=C(C=C3)Cl)Cl,Inactive,1,,,188.4,2.62083e+07,188.8,2.77452e+07,1.43,1.51,1.47,96.34,100.51
5,92175714,2291144,CCOC(=O)C1=C(C2=C(C3=CC=CC=C3O2)NC1=O)C4=CC=CC=C4,Inactive,1,,,187.7,2.63576e+07,190.1,2.76414e+07,1.9,0.65,1.28,96.89,100.13
6,92175715,135516990,CN(C)C(=O)C[N+]1=CC=C(C=C1)/C=N/O,Inactive,0,,,190.2,2.63388e+07,192,2.76852e+07,0.24,-0.6,-0.18,96.82,100.29
7,92175716,759247,CCCC1CCC(CC1)C2=CC=C(C=C2)C(=O)N,Inactive,0,,,190.8,2.62248e+07,195.7,2.75084e+07,-0.16,-3.05,-1.61,96.4,99.65
8,92175717,759467,C1=CC=C(C=C1)C[N+]2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,Inactive,0,,,193.6,2.29085e+07,194.1,2.40975e+07,-2.01,-1.99,-2,84.21,87.29
9,92175718,3943124,CCCC1=CC=C(C=C1)OC(=O)C2=C(C=C(C=C2)O)Cl,Inactive,1,,,188.5,2.65625e+07,191.6,2.76559e+07,1.37,-0.34,0.52,97.64,100.18
10,92175719,2836058,CC1=C(N=C(S1)N)C23CC4CC(C2)CC(C4)C3,Inactive,0,,,190.4,2.6524e+07,193.6,2.76835e+07,0.11,-1.66,-0.78,97.5,100.28
11,92175720,6069272,CCN\1C2=CC=CC=C2S/C1=C/C=C\3/C(=O)N(C(=S)S3)CC,Inactive,0,,,193.1,2.67669e+07,196.9,2.80087e+07,-1.68,-3.84,-2.76,98.39,101.46
12,92175721,407308,CC(C)(C)C(=O)C[N+]1=CC=CC=C1,Inactive,0,,,193.9,2.64024e+07,195.5,2.77026e+07,-2.21,-2.92,-2.57,97.05,100.35
13,92175722,759334,CN1C2=CC=CC=C2[N+](=C1C3=CC=C(C=C3)N(C)C)C,Inactive,0,,,197.3,2.59973e+07,197.4,2.72022e+07,-4.47,-4.17,-4.32,95.56,98.54
14,92175723,135665735,C1=CC=C(C=C1)/C=C\C[N+]2=CC=C(C=C2)/C=N/O,Inactive,0,,,194.6,2.61642e+07,194.3,2.76167e+07,-2.68,-2.12,-2.4,96.17,100.04
15,92175724,2801718,CC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C3=CC=CC=C3,Inactive,0,,,194.2,2.68587e+07,194.7,2.81268e+07,-2.41,-2.39,-2.4,98.73,101.89
16,92175725,2054351,C1COCCN1CCOC2=CC3=CC=CC=C3C=C2,Inactive,0,,,195.6,2.64869e+07,195.6,2.77572e+07,-3.34,-2.98,-3.16,97.36,100.55
17,92175726,759369,C1CCN(C1)C2=CC=C(C=C2)C(=C3C=CC(=C(C#N)C#N)C=C3)C#N,Inactive,0,,,199.6,2.73451e+07,199.7,2.84936e+07,-5.99,-5.69,-5.84,100.52,103.22
18,92175727,4208592,CC(C)CN(CC(C)C)CN1C2=CC=CC=C2OC1=O,Inactive,0,,,192.9,2.67933e+07,196.1,2.79515e+07,-1.55,-3.31,-2.43,98.49,101.25
19,92175728,6858566,COC1=CC=C(C=C1)/C=N/N2C=NN=C2,Inactive,0,,,195.3,2.68107e+07,196.3,2.78051e+07,-3.14,-3.44,-3.29,98.55,100.72
20,92175729,5221400,CC1CCC(C(=O)C1C(C2=CC=C(C=C2)C3=CC=CC=C3)O)C(C)C,Inactive,0,,,196.5,2.63783e+07,199.3,2.75368e+07,-3.94,-5.43,-4.69,96.96,99.75
21,92175730,6376599,C[N+]1=CC=C(C=C1)/C=C/C=C/C2=CC=C(C=C2)N(C)C,Inactive,2,,,186.3,1.84236e+07,189.1,1.8939e+07,2.83,1.31,2.07,67.72,68.61
22,92175731,579431,C1=CC=C(C(=C1)C(=O)OC2=CC(=CC=C2)OC(=O)C3=CC=CC=C3F)F,Inactive,0,,,197.3,2.6824e+07,197.3,2.76743e+07,-4.47,-4.1,-4.29,98.6,100.25
23,92175732,5135376,CC1CCCC(N1CC(COC2=CC=C(C=C2)N=CC3=CC(=C(C=C3)OC)OC)O)C,Inactive,2,,,186.4,2.63829e+07,187.9,2.6905e+07,2.76,2.11,2.44,96.98,97.46
24,92175733,3597650,CC(C)(C)NC(=O)C12CC3CCC(C1)CC(C3)C2,Inactive,4,,,183.5,2.74268e+07,185.1,2.7987e+07,4.68,3.96,4.32,100.82,101.38
25,92175734,76911,C1=CC=C(C=C1)OC2=CC(=CC=C2)OC3=CC=CC=C3,Inactive,4,,,184.5,2.74482e+07,186,2.77122e+07,4.02,3.36,3.69,100.89,100.39
26,92175735,525667,C1CCC(CC1)N=CC2=CC=C(C=C2)Br,Inactive,4,,,184,2.79158e+07,186,2.80852e+07,4.35,3.36,3.86,102.61,101.74
27,92175736,640180,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,Inactive,2,,,187.7,2.7822e+07,186.7,2.83064e+07,1.9,2.9,2.4,102.27,102.54
28,92175737,3874521,CC12CC3(CC(C1)(CC(C2)(C3)CN=CC4=CC=C(C=C4)O)C)C,Inactive,2,,,187.9,2.77424e+07,187.8,2.80513e+07,1.77,2.17,1.97,101.98,101.62
29,92175738,2834550,COC(=O)NCC12CC3CC(C1)CC(C3)C2,Inactive,2,,,188.2,2.79366e+07,187.8,2.83509e+07,1.57,2.17,1.87,102.69,102.7
30,92175739,231897,C1CN(CCN1C2=CC=CC=N2)C3=CC=CC=N3,Inactive,2,,,186.4,2.71731e+07,189.5,2.73594e+07,2.76,1.05,1.91,99.88,99.11
31,92175740,288015,CC1=CC=C(C=C1)N=CC2=CC=C(C=C2)OC,Inactive,2,,,187.8,2.76517e+07,188.2,2.8242e+07,1.83,1.91,1.87,101.64,102.31
32,92175741,21924,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CC=CC=C3,Inactive,1,,,186.8,2.8144e+07,190.9,2.83952e+07,2.49,0.12,1.31,103.45,102.86
33,92175742,2827379,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NC(C)C,Inactive,2,,,186.3,2.81336e+07,188.1,2.86171e+07,2.83,1.97,2.4,103.41,103.66
34,92175743,1714200,CC1=CC=C(C=C1)/C=C/2\CC/C(=C\C3=CC=C(C=C3)OC)/C2=O,Inactive,2,,,188.3,2.77123e+07,188.5,2.81407e+07,1.5,1.71,1.61,101.87,101.94
35,92175744,3241238,CNC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NC,Inactive,0,,,191.3,2.72644e+07,193,2.76718e+07,-0.49,-1.26,-0.88,100.22,100.24
36,92175745,3485908,CC1=C(C=C(C=C1)OC2=CC=C(C=C2)N3C(=O)C4=C(C3=O)C=C(C=C4)OC5=CC=CC(=C5)NC(=O)C)C,Inactive,0,,,190.4,2.80501e+07,191.6,2.85225e+07,0.11,-0.34,-0.12,103.11,103.32
37,92175746,739445,C1=CC=C(C=C1)COC(=O)NC2=CC(=O)C3=CC=CC=C3O2,Inactive,1,,,187.5,2.83396e+07,190.1,2.87059e+07,2.03,0.65,1.34,104.17,103.99
38,92175747,3378611,CC[N+]1=C2C=CC(=CC2=C(C=C1)C)C(F)(F)F,Inactive,2,,,189,2.7047e+07,187.4,2.76051e+07,1.04,2.44,1.74,99.42,100
39,92175748,762709,C1C2CC3CC1CC(C2)(C3)NC(=S)NN,Inactive,2,,,186.8,2.79057e+07,189.5,2.83174e+07,2.49,1.05,1.77,102.58,102.58
40,92175749,746713,C1=CC=C2C(=C1)N=CN2S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,4,,,184.3,2.81939e+07,186.5,2.86381e+07,4.15,3.03,3.59,103.64,103.74
41,92175750,1398176,CC1=CC(=NC2=C1C3=CC=CC=C3C=C2)C4=NC5=CC=CC=C5C=C4,Inactive,2,,,189,2.77018e+07,186.4,2.82907e+07,1.04,3.1,2.07,101.83,102.48
42,92175751,4424047,CNC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)NC,Inactive,1,,,187.4,2.66069e+07,189.9,2.70503e+07,2.1,0.78,1.44,97.8,97.99
43,92175752,3841172,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3C2=O)C(=O)C4=CC=CC=C4,Inactive,0,,,191,2.68589e+07,190.6,2.73431e+07,-0.29,0.32,0.02,98.73,99.05
44,92175753,5183714,C1=CC(=CN=C1)C(=O)OC2=CC=C(C=C2)Br,Inactive,0,,,191,2.75243e+07,192,2.82064e+07,-0.29,-0.6,-0.45,101.17,102.18
45,92175754,2245195,CC1=NN(C=C1)CN2CCN(C2=S)CN3C=CC(=N3)C,Inactive,6,,,181.4,2.55782e+07,182.1,2.66875e+07,6.08,5.94,6.01,94.02,96.68
46,92175755,3423839,CC(=O)OC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)OC(=O)C,Inactive,5,,,181.6,2.58141e+07,183.7,2.69797e+07,5.94,4.88,5.41,94.89,97.73
47,92175756,2843932,C1CC(OC1=O)(C(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,Inactive,6,,,181.6,2.63281e+07,183.4,2.7269e+07,5.94,5.08,5.51,96.78,98.78
48,92175757,3034997,CC1=C(C=CC(=C1)NC(=S)C)OC,Inactive,4,,,184.3,2.62506e+07,186.6,2.71604e+07,4.15,2.96,3.56,96.49,98.39
49,92175758,759222,C1=CC(=CC=C1C(=O)OC2=C(C=C(C=C2)Cl)Cl)Br,Inactive,4,,,183.3,2.73671e+07,187.2,2.79966e+07,4.82,2.57,3.7,100.6,101.42
50,92175759,135516991,CC(C)N(C(C)C)C(=O)C[N+]1=CC=C(C=C1)/C=N/O,Inactive,3,,,186.1,2.68469e+07,187.7,2.75532e+07,2.96,2.24,2.6,98.68,99.81
51,92175760,346066,CC(=O)OC1=CC=C(C=C1)C2=CC=CC=C2,Inactive,3,,,184.5,2.72289e+07,189.5,2.78651e+07,4.02,1.05,2.54,100.09,100.94
52,92175761,763734,CC[N+]1=CC=CC(=C1)C2=NC3=CC=CC=C3S2,Inactive,2,,,183.5,2.60595e+07,192,2.66818e+07,4.68,-0.6,2.04,95.79,96.65
53,92175762,159481,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC=NC4=CC5=CC=CC=C5C=C34,Inactive,2,,,186.3,2.05795e+07,188.4,2.00658e+07,2.83,1.78,2.31,75.65,72.69
54,92175763,771524,C1CN(C2=CC=CC=C21)C(=O)N,Inactive,3,,,186.8,2.7235e+07,186.7,2.7766e+07,2.49,2.9,2.7,100.11,100.58
55,92175764,232446,C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,Inactive,4,,,183.5,2.74234e+07,186.8,2.80188e+07,4.68,2.83,3.76,100.8,101.5
56,92175765,5031056,CC(C)(C)OC(=O)C[N+]1=CC=CC(=C1)C(=O)N,Inactive,0,,,188,2.69589e+07,193.3,2.74148e+07,1.7,-1.46,0.12,99.1,99.31
57,92175766,570576,C1C(=O)NC(=O)N1C2=CC=CC=C2,Inactive,0,,,188.1,2.69856e+07,192.5,2.75205e+07,1.63,-0.93,0.35,99.19,99.69
58,92175767,135632067,C1CCN(CC1)C(=O)C[N+]2=CC=C(C=C2)/C=N/O,Inactive,1,,,188.9,2.73864e+07,190.3,2.78863e+07,1.1,0.52,0.81,100.67,101.02
59,92175768,1378975,COC(=O)CCS(=O)(=O)C1=CC=CC2=C1C=CC=C2S(=O)(=O)CCC(=O)OC,Inactive,1,,,187.4,2.76633e+07,190.6,2.81471e+07,2.1,0.32,1.21,101.69,101.96
60,92175769,28467,C1=CC=C2C(=C1)N(C(=C([N+]2=O)CO)CO)[O-],Inactive,0,,,188.9,2.72307e+07,193.7,2.76844e+07,1.1,-1.73,-0.32,100.1,100.29
61,92175770,5031415,CC1=CC=C(C=C1)C(=O)C2C(=O)C3=CC=CC=C3C2=O,Inactive,4,,,182.4,2.63268e+07,186.1,2.67267e+07,5.41,3.3,4.36,96.77,96.82
62,92175771,4208593,C1=CC=C2C(=C1)N(C(=O)O2)CNC3=CC(=CC=C3)Cl,Inactive,0,,,190.6,2.76627e+07,192.1,2.83004e+07,-0.02,-0.67,-0.35,101.68,102.52
63,92175772,759379,CCC1=CC=C(C=C1)N=CC2=CNC3=CC=CC=C32,Inactive,0,,,192.2,2.73922e+07,195.1,2.79435e+07,-1.09,-2.65,-1.87,100.69,101.22
64,92175773,988725,C1COCCN(CCOCCN1CC2=CC=CC=C2)CC3=CC=CC=C3,Inactive,0,,,191.2,2.73009e+07,193.1,2.75496e+07,-0.42,-1.33,-0.88,100.35,99.8
65,92175774,7050,CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,Inactive,0,,,191.4,2.65544e+07,192.3,2.68613e+07,-0.56,-0.8,-0.68,97.61,97.3
66,92175775,766011,C1=CC=C(C=C1)C2=CC=C(C=C2)OC(=O)C3=CC=CS3,Inactive,0,,,190.8,2.72977e+07,191.2,2.7811e+07,-0.16,-0.07,-0.12,100.34,100.74
67,92175776,684006,C1=CC=C(C=C1)CSC2=NN=NN2C3=CC=CC=C3,Inactive,2,,,186.4,2.57237e+07,188.3,2.60844e+07,2.76,1.84,2.3,94.56,94.49
68,92175777,5854446,CC(C)(C)C(/C=C/C1=C(C=C(C=C1)Cl)Cl)N2C(=NN=N2)C(C)(C)N3CCOCC3,Inactive,4,,,183.1,2.67892e+07,187.8,2.69096e+07,4.95,2.17,3.56,98.47,97.48
69,92175778,78213,C1=CC=C(C=C1)C2C(C(C2C(=O)O)C3=CC=CC=C3)C(=O)O,Inactive,3,,,186.8,2.72477e+07,186,2.72792e+07,2.49,3.36,2.93,100.16,98.82
70,92175779,5718354,C1=CC=C(C=C1)C(=O)/C=C/N2C(=O)C3=CC=CC=C3C2=O,Inactive,3,,,187.3,2.72778e+07,184.2,2.7399e+07,2.16,4.55,3.36,100.27,99.25
71,92175780,68487,C1=CC(=CN=C1)C2=CN=CC=C2,Inactive,3,,,187,2.75109e+07,185.4,2.75986e+07,2.36,3.76,3.06,101.12,99.98
72,92175781,2834338,CCN(C)CC12CC3CC(C1)CC(C3)C2,Inactive,2,,,188.5,2.75541e+07,188.5,2.76435e+07,1.37,1.71,1.54,101.28,100.14
73,92175782,2834549,COC(=O)NC12CC3CC(C1)CC(C3)C2,Inactive,2,,,186.4,2.76058e+07,188.5,2.77774e+07,2.76,1.71,2.24,101.47,100.62
74,92175783,667585,C1=CC=C2C(=C1)C=CC(=C2Cl)SC3=C(C=C(C=C3)N)Cl,Inactive,2,,,187.1,2.72008e+07,189.9,2.71599e+07,2.3,0.78,1.54,99.99,98.39
75,92175784,40474545,C1=CC=C(C=C1)C[NH+]=C(N)N=C(N)N,Inactive,3,,,186.2,2.76577e+07,186.5,2.78198e+07,2.89,3.03,2.96,101.66,100.78
76,92175785,765468,C1CC(CCC1C2=CC=CC=C2)C3=NN=C(O3)C4=CC=C(C=C4)Cl,Inactive,3,,,186.8,2.76693e+07,186.8,2.76804e+07,2.49,2.83,2.66,101.71,100.27
77,92175786,376585,C1CN(CCN1CC2=CC=CC=C2)CN3C4=CC=CC=C4SC3=S,Inactive,4,,,182.3,2.77148e+07,185.9,2.79548e+07,5.48,3.43,4.46,101.87,101.27
78,92175787,5399473,COC1=CC=C(C=C1)/C=C/2\CC/C(=C\C3=CC=C(C=C3)Cl)/C2=O,Inactive,2,,,185.5,2.76461e+07,189.7,2.76443e+07,3.36,0.92,2.14,101.62,100.14
79,92175788,67273,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O,Inactive,0,,,191.5,2.81762e+07,191.6,2.84187e+07,-0.62,-0.34,-0.48,103.57,102.95
80,92175789,765613,C1=CC=C(C=C1)S(=O)(=O)NC(=O)COC2=CC3=CC=CC=C3C=C2,Inactive,6,,,180,2.77122e+07,184.3,2.77703e+07,7,4.48,5.74,101.87,100.6
81,92175790,3071506,C1C(CN(C1=O)C(=O)C2=CN=CC=C2)C3=CC=CC=C3,Inactive,3,,,185.7,2.77755e+07,188.4,2.78847e+07,3.22,1.78,2.5,102.1,101.01
82,92175791,4262324,CCOC(=O)C1=CC=CC(=N1)C(=O)NC2=NC3=C(S2)C=C(C=C3)OC,Inactive,2,,,188.1,2.75353e+07,188,2.76677e+07,1.63,2.04,1.84,101.21,100.23
83,92175792,2829884,CC1=CC=C(C=C1)NC(=O)CC23CC4CC(C2)CC(C4)C3,Inactive,2,,,187.6,2.7382e+07,188.5,2.76624e+07,1.96,1.71,1.84,100.65,100.21
84,92175793,4173872,CC(C)OC(=O)N1C2=CC=CC=C2OC1=S,Inactive,3,,,186.5,2.79008e+07,186,2.78767e+07,2.69,3.36,3.03,102.56,100.98
85,92175794,569556,C1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)OC(=O)C3=CC=CC=C3,Inactive,1,,,186.9,2.77183e+07,190.7,2.78416e+07,2.43,0.26,1.35,101.89,100.86
86,92175795,5725470,C1=CC=C(C=C1)/C=C/S(=O)(=O)N2C=CC3=CC=CC=C3C2C4=CNC5=CC=CC=C54,Inactive,0,,,191.2,2.58825e+07,190.9,2.59197e+07,-0.42,0.12,-0.15,95.14,93.89
87,92175796,3236810,C1=CC=C(C(=C1)C(=O)C2=NN=C(S2)N)N,Inactive,1,,,189.1,2.63671e+07,190.3,2.6575e+07,0.97,0.52,0.75,96.92,96.27
88,92175797,3989860,CCCC1CCC(CC1)C2=CC=C(C=C2)OC(=O)C3=CN=CC=C3,Inactive,0,,,190.8,2.76482e+07,190.3,2.76526e+07,-0.16,0.52,0.18,101.63,100.17
89,92175798,2829040,C1C2C(COC(O1)C3=CC=CC=C3)OC(O2)C4=CC=CC=C4,Inactive,3,,,183,2.5903e+07,188.4,2.64623e+07,5.01,1.78,3.4,95.21,95.86
90,92175799,153693,CCCOC1=C(C=C(C=C1)N)N,Inactive,0,,,189.2,2.66262e+07,191.4,2.7246e+07,0.9,-0.21,0.35,97.87,98.7
91,92175800,909967,COC1=C(C=C(C=C1)C(=O)CN2CC3=CC=CC=C3C2=N)OC,Inactive,0,,,203.6,2.71275e+07,201.4,2.76664e+07,-8.64,-6.81,-7.73,99.72,100.22
92,92175801,4004288,CC1=C(C=CC(=C1)NC(=O)C)OC,Inactive,2,,,187.5,2.70249e+07,188.8,2.7665e+07,2.03,1.51,1.77,99.34,100.22
93,92175802,604485,C1=CC=C(C=C1)C2=NC(=N)N(C=C2)O,Inactive,2,,,185.7,2.74077e+07,190.6,2.77342e+07,3.22,0.32,1.77,100.75,100.47
94,92175803,135472715,C1CCC(CC1)NC(=O)C[N+]2=CC=C(C=C2)/C=N/O,Inactive,1,,,187.1,2.74471e+07,191.1,2.69623e+07,2.3,-0.01,1.15,100.89,97.67
95,92175804,583727,CCC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C#N,Inactive,0,,,187.6,2.73293e+07,193,2.81711e+07,1.96,-1.26,0.35,100.46,102.05
96,92175805,285717,COC(=O)N1C(C=CC2=CC=CC=C21)C#N,Inactive,1,,,188.4,2.72968e+07,190.2,2.77987e+07,1.43,0.59,1.01,100.34,100.7
97,92175806,5718146,C1=CC(=CC=C1/C=N/N)S(=O)(=O)C2=CC=C(C=C2)Cl,Inactive,2,,,185.8,2.71717e+07,189.1,2.77124e+07,3.16,1.31,2.24,99.88,100.39
98,92175807,739322,C/C(=C/C(=O)N1CCN(CC1)C)/C(=O)O,Inactive,2,,,186,2.74399e+07,190.6,2.78672e+07,3.03,0.32,1.68,100.86,100.95
99,92175808,235616,COC1=C(C2=CC=CC=C2C=C1)C3=C(C=CC4=CC=CC=C43)OC,Inactive,2,,,187,2.75164e+07,187.3,2.88327e+07,2.36,2.5,2.43,101.15,104.45
100,92175809,5031058,CC(C)(C)C(=O)C[N+]1=CC=CC(=C1)C(=O)N,Inactive,0,,,190.3,2.73541e+07,190.3,2.78687e+07,0.17,0.52,0.35,100.55,100.95
101,92175810,140901,CC(=O)N(C1=CC=CC=C1)NC2=CC=CC=C2,Inactive,1,,,188,2.74575e+07,191.5,2.78833e+07,1.7,-0.27,0.72,100.93,101.01
102,92175811,9691519,C1C2CC3CC1CC(C2)(C3)NC(=O)C[N+]4=CC=CC(=C4)/C=N/O,Inactive,0,,,189.3,2.75107e+07,193.7,2.79513e+07,0.84,-1.73,-0.45,101.12,101.25
103,92175812,618859,CSC1=CC=C(C=C1)C2=CC=C(C=C2)SC,Inactive,0,,,189.7,2.76246e+07,221.4,2.75039e+07,0.57,-20.03,-9.73,101.54,99.63
104,92175813,136315,C1=CC(=CC=C1N)S(=O)(=O)C(F)(F)F,Inactive,0,,,190,2.75667e+07,192.2,2.79848e+07,0.37,-0.73,-0.18,101.33,101.37
105,92175814,137930,CC(C)(C)OC(=O)NC1=CC=CC=C1,Inactive,0,,,187.8,2.76039e+07,193.4,2.79492e+07,1.83,-1.53,0.15,101.47,101.25
106,92175815,3477497,CC1=CC=C(C=C1)NCN2C3=CC=CC=C3OC2=O,Inactive,1,,,190.8,2.77665e+07,188.4,2.81178e+07,-0.16,1.78,0.81,102.06,101.86
107,92175816,1712396,C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)NCCO,Inactive,0,,,190.6,2.77291e+07,190.4,2.79712e+07,-0.02,0.45,0.22,101.93,101.33
108,92175817,362747,CC1=CC=C(C=C1)S(=O)(=O)NC(C)C(=O)O,Inactive,0,,,190.7,2.71848e+07,191.7,2.74916e+07,-0.09,-0.4,-0.25,99.93,99.59
109,92175818,4364489,C1=CC=C(C=C1)N2NS(=O)N(NS2=O)C3=CC=CC=C3,Inactive,0,,,193.2,2.71224e+07,192.2,2.71476e+07,-1.75,-0.73,-1.24,99.7,98.34
110,92175819,68928,CC(CCCNC1=C2C(=CC(=C1)OC)C=CC=N2)N,Inactive,0,,,192.1,2.4525e+07,192.7,2.45107e+07,-1.02,-1.07,-1.05,90.15,88.79
111,92175820,1712368,C1=CC=C(C=C1)CN2C(=O)/C(=C\C3=CC=CC=C3)/C(=O)NC2=O,Inactive,1,,,188.9,2.58369e+07,190.5,2.60388e+07,1.1,0.39,0.75,94.97,94.33
112,92175821,788107,CC(=C)CN1C2=CC=CC=C2SC3=CC=CC=C31,Inactive,2,,,189.3,2.67782e+07,186.6,2.69974e+07,0.84,2.96,1.9,98.43,97.8
113,92175822,776365,CC1=CC=C(C=C1)NC2=C3C4=C(C5=CC=CC=C5C3=O)ON=C4C=C2,Inactive,7,,,181.5,3.15457e+07,180.1,3.17451e+07,6.01,7.26,6.64,115.96,115
114,92175823,3341249,C1CCN(CC1)CC2=C(C3=CC=CC=C3OC2=O)NC4=CC=CC=C4,Inactive,0,,,191.8,2.72737e+07,190.8,2.74258e+07,-0.82,0.19,-0.32,100.25,99.35
115,92175824,39492,COC1=CC=C(C=C1)C=C2C(=O)NC(=O)NC2=O,Inactive,1,,,189.6,2.73555e+07,190.1,2.75278e+07,0.64,0.65,0.65,100.55,99.72
116,92175825,765166,CC1=CC(=CC=C1)N(CC(=O)O)CC(=O)O,Inactive,0,,,190.2,2.7612e+07,190.6,2.76578e+07,0.24,0.32,0.28,101.5,100.19
117,92175826,3552750,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)NC(=O)C5=CC=CS5,Inactive,0,,,190.6,2.75204e+07,190.1,2.76393e+07,-0.02,0.65,0.32,101.16,100.12
118,92175827,3947935,CCCC1CCC(CC1)C2=CC=C(C=C2)OC(=O)C3=CC=CO3,Inactive,2,,,187.7,2.76681e+07,187.5,2.78598e+07,1.9,2.37,2.14,101.7,100.92
119,92175828,3471422,CC1=C(C=CC(=C1)F)S(=O)(=O)NCC2CC3CCC2C3,Inactive,2,,,187.1,2.75456e+07,189.3,2.7666e+07,2.3,1.18,1.74,101.25,100.22
120,92175829,3894098,C1=CC(=CC=C1NC2C(C(C(O2)C(CO)O)O)O)Cl,Inactive,2,,,186.7,2.76947e+07,190,2.7904e+07,2.56,0.72,1.64,101.8,101.08
121,92175830,5111585,CC(C)(C1=CC=CC=C1)C2=CC(=C(C(=C2)CN3CCOCC3)O)CN4CCOCC4,Inactive,2,,,188,2.76777e+07,189.1,2.78385e+07,1.7,1.31,1.51,101.74,100.84
122,92175831,765556,CC1=NC=C(S1)C2=CC3=C(C=CC(=C3)OC)OC2=O,Inactive,0,,,189.5,2.78424e+07,191,2.79122e+07,0.7,0.06,0.38,102.34,101.11
123,92175832,6401249,C1=CC=C(C(=C1)C(=O)/C(=N\O)/N2C=NC=N2)Cl,Inactive,0,,,190.3,2.72625e+07,190.8,2.74265e+07,0.17,0.19,0.18,100.21,99.35
124,92175833,4463584,CC1(COP(=S)(OC1)C(C2=CC=C(C=C2)O)NC3=CC=C(C=C3)Cl)C,Inactive,0,,,191.2,2.78307e+07,192,2.80266e+07,-0.42,-0.6,-0.51,102.3,101.53
125,92175834,3124639,C1CCN(C1)C(=O)C2=NSN=C2C3=CC=CC=C3O,Inactive,0,,,191,2.75708e+07,189.6,2.77398e+07,-0.29,0.98,0.35,101.35,100.49
126,92175835,1619164,C1=CSC(=C1)C(=O)OC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)OC(=O)C4=CC=CS4,Inactive,1,,,189.4,2.78976e+07,189,2.81134e+07,0.77,1.38,1.08,102.55,101.84
127,92175836,762713,COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O,Inactive,1,,,188.4,2.77187e+07,189.4,2.78365e+07,1.43,1.11,1.27,101.89,100.84
