PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103163904,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,Active,,,Potential missing data,Inhibition,%,Active
2,103189004,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
3,103228261,14969,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,Active,,,Potential missing data,Inhibition,%,Active
4,103750200,439135,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC=C(C=C4)C5=CC6=C(N5)C=C(C=C6)C7=NCCN7,Active,,,Potential missing data,Inhibition,%,Active
5,103750201,5478796,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)/C=C/C4=CC5=C(N4)C=C(C=C5)C6=NCCN6,Active,,,Potential missing data,Inhibition,%,Active
6,103750238,439143,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC5=C(C=C4)C=C(N5)C6=NCCN6,Active,,,Potential missing data,Inhibition,%,Active
7,103750239,435425,C1CN=C(N1)C2=CC3=C(C=C2)C=C(N3)C4=CC5=C(C=C4)C=C(N5)C6=CC7=C(C=C6)OC(=C7)C8=NCCN8,Active,,,Potential missing data,Inhibition,%,Active
8,136926966,135398735,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,Active,,,Potential missing data,Inhibition,%,Active
