PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier_IC50_Run1,DR_IC50_Run1 ,Qualifier_IC50_Run2,DR_IC50_Run2,Qualifier_IC50_Run3,DR_IC50_Run3,DR_IC50_Hillslope_Run 1,DR_IC50_Hillslope_Run 2,DR_IC50_Hillslope_Run 3,DR_%inhibition at 50_Run1,DR_%inhibition at 50_Run2,DR_%inhibition at 50_Run3,DR_Plate Mean Max Signal_Run1 ,DR_Plate Mean Max Signal_Run 2,DR_Plate Mean Max Signal_Run 3,DR_Plate Mean Min Signal_Run1 ,DR_Plate Mean Min Signal_Run2,DR_Plate Mean Min Signal_Run3,DR_plate Z'-factor_Run_1,DR_plate Z'-factor_Run_2,DR_plate Z'-factor_Run_3,DR_Run date_run1,DR_Run date_run 2,DR_Run date_run 3
8,4245955,1886595,C1CC[C@@H]2[C@H](C1)N(C3=C([N+]2=O)C4=CC=CC=C4C3=O)[O-],Inconclusive,40,,,>,50,=,48.065,=,47.1588,1.88382,1.3941,2.02715,44.5467,44.3943,52.5129,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
9,14727870,991147,CC1=NN(C2=C1C(=C(CC2)C=NC3=CC=C(C=C3)OC)NC4=CC=C(C=C4)OC)C5=CC=CC=N5,Inconclusive,40,,,>,50,=,45.013,=,41.2728,1.52646,1.51642,1.31908,43.7921,53.1753,49.2671,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
10,22400883,998883,C1CC(=C2C(=O)N(CC(=O)N2C1)CCC3=CC=CC=C3)C4=CC(=O)C=CC4=O,Inconclusive,40,,,>,50,>,50,=,45.4162,2.37986,1.60009,1.51282,33.6762,38.3667,47.7366,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
11,17505963,1388836,COC1=CC=CC=C1NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCCCC4,Inconclusive,40,,,=,48.5684,>,50,>,50,2.41896,1.26794,1.10212,52.8045,46.0172,49.3802,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
12,7971411,3144898,CCCNC1=NC2=C(N1CC3=CC=C(C=C3)F)C(=O)NC(=O)N2C,Inactive,20,,,>,50,>,50,>,50,-5.07681,55.2377,-4.95466,-18.4812,-3.23015,-12.9809,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
13,7964754,4183437,CC1=NC2=C(C(=NN2C(=C1)N3CCCCCC3)C)C4=CC=CC=C4OC,Inactive,20,,,>,50,>,50,>,50,-13.0194,-9.13589,-18.5204,-4.22424,-0.214655,0.589356,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
14,7969179,5309818,CC1=C(N=C(O1)C2=CC(=CC=C2)OC)CS(=O)(=O)CC(=O)N3CCC4=CC=CC=C4C3,Inactive,20,,,>,50,>,50,>,50,-82.1799,-12.1398,-8.06455,8.76243,-11.033,1.38619,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
15,7976185,692256,C1CC(=O)N(C1=O)CC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,Inactive,20,,,>,50,>,50,>,50,-3.15153,-1.64629,-1.44207,-11.725,-12.7659,-12.9321,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
16,7974015,2837843,C1C(C(=O)N(C1=O)CC2=CC=CC=C2)N(C3=CC=CC=C3)O,Inactive,20,,,>,50,>,50,>,50,-0.246635,-0.378765,-1.62506,-3.11676,-6.24621,-4.05116,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
17,7972758,704700,CCOC(=O)OC1=CC2=C(C=C1)OC(=O)C=C2C,Inactive,20,,,>,50,>,50,>,50,-1.21009,-1.73692,-4.80879,-6.74799,-22.7671,-11.5193,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
18,7978215,2255208,CCO/C=C\1/C2=CC=CC=C2C(=O)N(C1=O)C3=CC=CC=C3,Inactive,20,,,>,50,>,50,>,50,2.04166,2.25018,3.03264,39.3349,38.4944,39.3247,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
19,7973332,2057670,CC1=CC(=CC=C1)OCCCCC2=C(NN=C2C)C,Inactive,20,,,>,50,>,50,>,50,0.557078,-8.76889,-0.785878,-5.12098,-5.9293,-20.5139,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
20,7973391,2294595,CN1C(=O)C(C(=O)N(C1=O)C)CC2=CC=CC3=CC=CC=C32,Inactive,20,,,>,50,>,50,>,50,-2.14354,4.1413,2.83017,14.1252,16.4849,30.9496,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
21,7976194,3136581,CC(C)C1C(C(ON1C2=CC=CC=C2)(C)O)C(=O)OC,Inactive,20,,,>,50,>,50,>,50,-1.71466,-1.05065,-0.125499,-13.4784,-5.28748,15.9375,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
22,7977107,2230655,CC(C)N(C(C)C)C(=O)COC1=C(C=C(C=C1)Br)Cl,Inactive,20,,,>,50,>,50,>,50,20.2205,-19.0443,3.21015,-13.8766,-12.5326,-11.3742,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
23,3715506,2999242,CC1=C(C(C2=C(N1)NC(=O)NC2=O)C3=CC(=C(C=C3)O)OC)C(=O)OC(C)C,Inactive,20,,,>,50,>,50,>,50,-16.5115,0.945384,15.9591,-2.67038,31.4772,-15.1578,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
24,4264374,696879,CC1=C(C2=CC=CC=C2O1)C3=CN4CCSC4=N3,Inactive,20,,,>,50,>,50,>,50,-2.63415,-2.04868,7.16192,-16.403,-0.158046,9.32757,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
25,4264402,2930983,COCCCNC(=O)CCCC(=O)NCCCOC,Inactive,20,,,>,50,>,50,>,50,29.6626,-2.85865,-1.83227,-12.1169,-26.0066,-13.8577,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
26,4260323,2930992,COC(=O)CC1=CN=C(S1)NC(=O)C2C3CCC(C3)C2C(=O)O,Inactive,20,,,>,50,>,50,>,50,-3.02411,-2.36265,-1.82045,-17.3489,-14.4908,-22.6759,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
27,4262598,1390051,C1CCC2=C(C1)C3=CC=CC=C3N2C(=O)CSC4=NN=C(O4)C5=CC=CC=C5,Inactive,20,,,>,50,>,50,>,50,0.541417,-15.1465,-0.573331,-8.51667,-23.8931,-0.339809,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
28,14725441,812277,CCOC1=C(C=C(C=C1)C(=S)N2CCOCC2)OC,Inactive,20,,,>,50,>,50,>,50,-0.805933,-1.68295,0.583242,-1.14859,-5.38166,2.41278,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
29,14722787,3214781,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCC(C2)C(=O)NCC3=CC=CO3)Cl,Inactive,20,,,>,50,>,50,>,50,13.4916,10.138,-11.972,24.586,7.83602,6.15016,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
30,14720574,1570060,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CCCOC3=C(C=C(C=C3)Cl)Cl,Inactive,20,,,>,50,>,50,>,50,-2.56216,-0.522261,-13.1075,-9.84468,-8.41141,-18.1429,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
31,14727821,1818715,C1=CC2=C3C(=C1)N=C4N(C3=CC=C2)C(=CS4)C5=CC=C(C=C5)Cl,Inactive,20,,,>,50,>,50,>,50,2.06694,0.524727,1.41486,21.2532,-2.87573,21.616,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
32,14725079,1567474,C1COCCN1CCCNC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4,Inactive,20,,,>,50,>,50,>,50,-0.559768,-0.563562,-19.2974,-0.0921408,-8.56063,3.10108,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
33,14728178,836825,CC(C)(C)C1=C(C=CC(=C1)OC(=O)C2=CC=NC=C2)O,Inactive,20,,,>,50,>,50,>,50,8.01541,3.43231,3.16781,20.567,34.2416,35.6457,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
34,14728405,826925,CC1=CC=C(C=C1)NC(=O)C2=CC(=NC=C2)C(C)(C)C,Inactive,20,,,>,50,>,50,>,50,5.07647,-13.0709,0.286812,-4.81634,-8.19211,9.33359,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
35,4263880,2941615,CC(C)(C)C1=CC=C(C=C1)OCC(=O)N(C)C2CCS(=O)(=O)C2,Inactive,20,,,>,50,>,50,>,50,-1.8688,-4.95131,-5.68435,-23.4876,-12.6723,-21.2732,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
36,3713432,2998406,C1CCC2=NN=C(N2CC1)C(CC3=CNC4=CC=CC=C43)NC(=O)C5=CC=CS5,Inactive,20,,,>,50,>,50,>,50,-9.15486,24.5825,11.1874,0.226251,-9.15021,11.3833,3315.3,3174.95,3159.55,74.8432,42.5739,41.6513,0.60725,0.744905,0.696057,3/31/2008,3/31/2008,3/31/2008
37,856437,657797,CCOC(=O)C(C(F)(F)F)(NC(=O)NC1=CC=CC=C1)OCC,Inactive,20,,,>,50,>,50,>,50,-1.32966,-2.16665,-4.39731,-7.787,9.22808,6.30428,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
38,848203,650630,COCCCNC(=O)C1CCCN(C1)C(=O)NC2=CC=C(C=C2)OC,Inactive,20,,,>,50,>,50,>,50,-9.84775,-10.5352,-2.05144,-16.6435,-29.4476,-12.7354,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
39,14735982,871656,C1=CC=C(C=C1)C(=O)NN=C2C(=O)C3=CC=CC=C3C2=O,Inactive,20,,,>,50,>,50,>,50,-1.23448,-17.2861,-0.969931,-15.0641,-17.9725,-10.3701,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
40,14729883,1486750,COC1=C(C=C(C=C1)CCN2C(=O)C3=C(C2=O)C=NC=C3)OC,Inactive,20,,,>,50,>,50,>,50,-2.17253,-1.02154,-8.07772,-0.14918,-0.185261,0.67334,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
41,17409596,1487021,CCOC(=O)C1=NN(C(=N1)C)C2=CC=C(C=C2)Cl,Inactive,20,,,>,50,>,50,>,50,-2.44794,1,23.8105,-15.6894,-1.95199,-0.112761,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
42,4243120,3237883,CC1=CC=C(C=C1)C(C2=C(N3C(=NC(=N3)C)S2)O)N4CCOCC4,Inactive,20,,,>,50,>,50,>,50,-2.15598,-12.638,-13.1015,-22.9638,-11.7808,3.71173,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
43,7966370,5308188,C1CC(N(C1)S(=O)(=O)C2=CC=CC3=C2N=CC=C3)C(=O)NCC4=CC=CC=C4,Inactive,20,,,>,50,>,50,>,50,10.43,25.5877,8.89969,6.75561,-17.6204,2.81564,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
44,17517027,2311328,CC1=CC(=C(C#N)C2=NC3=CC=CC=C3S2)C=C(N1C4=C(C=C(C=C4)F)F)C,Inactive,20,,,>,50,>,50,>,50,-22.9568,18.5324,17.8351,11.4275,-1.39439,-5.38674,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
45,17516587,2313246,CC1=CC(=C(C#N)C2=NC3=CC=CC=C3S2)C=C(N1C4=CC=C(C=C4)F)C,Inactive,20,,,>,50,>,50,>,50,1.82234,10.6684,10.9914,-0.62851,-8.13867,33.7935,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
46,17516545,2310015,CC1=CC(=C(C#N)C2=NC3=CC=CC=C3S2)C=C(N1C4=CC=CC=C4OC)C,Inactive,20,,,>,50,>,50,>,50,-49.4437,-3.25057,0.903674,-4.13475,-8.32431,5.39639,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
47,17514909,12005916,CCOC1=CC=C(C=C1)C2=NN=C3N2N=C(C=C3)SCC(=O)NC4=NC5=CC=CC=C5S4,Inactive,20,,,>,50,>,50,>,50,-2.59005,6.96739,12.0822,-8.40007,-16.9372,-10.0388,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
48,17510694,12005315,CC(=O)OCCCNC1=C(C2=NON=C2C(=C1)SCC3=CC=CO3)[N+](=O)[O-],Inactive,20,,,>,50,>,50,>,50,12.8039,-0.158802,-1.91118,8.54573,-0.211601,-16.1556,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
49,17432852,807202,C#CCN1C=C(C2=CC=CC=C21)C=C3C(=O)C4=CC=CC=C4C3=O,Inactive,20,,,>,50,>,50,>,50,10.3264,14.4001,-11.2384,11.9123,16.1871,5.2667,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
50,22407926,2401195,C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-],Inactive,20,,,>,50,>,50,>,50,-1.02583,-4.43089,15.8814,-34.1197,-13.9624,-23.4853,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
51,22408820,3991315,COC1=CC2=C(C=C1)C=C(C=C2)C3=NC4=CC=CC=C4C(=C3)C(=O)OCC(=O)NC5CCS(=O)(=O)C5,Inactive,20,,,>,50,>,50,>,50,-10.972,4.99009,-36.2563,2.23e-05,8.56912,3.37819,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
52,17514529,4426756,CC1=CC=C(C=C1)C(C[N+](=O)[O-])C2=C(NN(C2=O)C3=CC=CC=C3)C,Inactive,20,,,>,50,>,50,>,50,-20.0037,-8.97369,27.4006,-22.3535,-15.767,-24.3296,3837.48,3912.91,3746.78,41.3678,41.585,41.0926,0.720292,0.706884,0.718285,3/31/2008,3/31/2008,3/31/2008
53,17514300,4152246,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC=C(C=C3)Cl,Inactive,20,,,>,50,>,50,>,50,-8.0623,-8.62995,-2.854,-20.1393,-6.17333,5.73433,3774.32,4061.83,3832.53,47.1591,42.0847,50.0907,0.72537,0.738093,0.626085,3/31/2008,3/31/2008,3/31/2008
54,22402037,2385059,C1=CC=C(C(=C1)C(=O)O)SCC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,Inactive,20,,,>,50,>,50,>,50,-1.38868,-3.0554,-0.87513,-72.0075,-70.4807,-29.7984,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
55,22413631,979664,CCOC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)N3CCCC3)Cl)OC,Inactive,20,,,>,50,>,50,>,50,-0.68752,-1.27255,-2.22954,-4.82961,-9.68517,-5.10212,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
56,17510479,3432701,CC(C)CCC(CCC(C)C)(C(=O)NN(C1=CC=CC=C1)C(=O)OC)O,Inactive,20,,,>,50,>,50,>,50,12.2657,6.79216,0.714968,12.5098,-12.758,15.061,3416.15,3614.91,3614.07,45.5255,40.8898,67.8967,0.689295,0.773543,0.687969,3/31/2008,3/31/2008,3/31/2008
57,17412672,2850825,C1CCN(CC1)C2=C(C(=O)C3=CC=CC=C3C2=O)NC4=CC(=CC=C4)O,Inactive,20,,,>,50,>,50,>,50,2.09276,0.796244,1.18095,32.0097,39.5563,35.8968,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
58,17510945,5791769,CCC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,Inactive,20,,,>,50,>,50,>,50,-0.443882,-0.0396511,0.877513,14.3602,23.6124,13.5439,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
59,14727397,641174,CCN(CC)C1=CC(=C(C=C1)C=NC2=CC=CC=C2)O,Inactive,20,,,>,50,>,50,>,50,-0.104352,0.60643,12.9662,8.94391,10.5224,33.332,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
60,17513014,12005683,C1=CC=C(C=C1)C(=O)[C@@H]2[C@H](N3C=CC4=CC=CC=C4[C@@H]3[C@@]25C6=CC=CC=C6NC5=O)C(=O)C7=CC=C(C=C7)F,Inactive,20,,,>,50,>,50,>,50,-1.17546,-0.290276,0.685462,7.86631,15.1041,18.3274,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
61,14740559,2833933,CC1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)N4CCCCC4,Inactive,20,,,>,50,>,50,>,50,1.0535,1.5153,1.17846,31.6026,38.3467,36.3872,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
62,14743960,4335785,C1C=CCC2C1C(=O)N(C2=O)CC(=O)NC3=NN=C(S3)SCC4=CC=C(C=C4)Cl,Inactive,20,,,>,50,>,50,>,50,-0.0930016,-1.29794,-2.54359,13.4864,-11.2891,-14.9908,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
63,17515472,2151648,CC1=CC=C(C=C1)C(=O)N2C(=S)C(=NC23CCN(CC3)C)C4=CC=C(C=C4)F,Inactive,20,,,>,50,>,50,>,50,-0.140986,-0.377106,-1.96179,9.88827,-6.99248,-14.2621,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
64,22401079,2341172,CCCCN1C(=C(C(=O)NC1=O)NCCC(C)C)N,Inactive,20,,,>,50,>,50,>,50,1.9257,0.0982819,1.09949,37.5904,32.1247,29.1509,4109.71,3997.52,3917.39,42.7313,35.451,38.8495,0.563383,0.750536,0.812712,3/31/2008,3/31/2008,3/31/2008
