PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
28,103697776,45483057,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])C5=CN=CN5,Unspecified,,,Potential missing data,Activity,Non-toxic
29,103697777,11718624,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)[N+](=O)[O-])O,Unspecified,,,Potential missing data,Activity,Non-toxic
30,103697791,44254767,CC(=O)C1=CC2=C(C=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,Activity,Non-toxic
31,103697802,44254768,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,Activity,Non-toxic
32,103697816,25059539,CN(C)C1=C(C=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
33,103697824,25060843,CN(C)CCN(C)C1=C(C=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
34,103697825,25060842,CN1CCN(CC1)CCOC2=C(C=C3C(=C2)N=C(N3O)C4=CC=C(C=C4)NC(=O)/C=C/C5=CC=C(C=C5)F)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,Non-toxic
35,103697832,44254670,C1=CC=C2C(=C1)N=C(N2O)C3=CC=C(C=C3)NC(=O)/C=C/C4=CC=C(C=C4)F,Unspecified,,,Potential missing data,Activity,Non-toxic
36,103697845,25061356,C1=CN(N=C1)C2=CC3=C(C=C2)N=C(N3O)C4=CC=C(C=C4)NC(=O)/C=C/C5=CC=C(C=C5)F,Unspecified,,,Potential missing data,Activity,Non-toxic
37,103697858,25061606,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)N5C=CN=C5)F,Unspecified,,,Potential missing data,Activity,Non-toxic
38,103697859,44254764,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C(=O)O)F,Unspecified,,,Potential missing data,Activity,Non-toxic
39,103697926,25062406,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=NC=C4)F,Unspecified,,,Potential missing data,Activity,Non-toxic
40,103697927,44254763,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
41,103697934,25061863,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C#N)F,Unspecified,,,Potential missing data,Activity,Non-toxic
42,103697940,44254765,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)Cl)F,Unspecified,,,Potential missing data,Activity,Non-toxic
43,103697941,44254766,C1=CC(=CC=C1/C=C/C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3O)C=C(C=C4)C(F)(F)F)F,Unspecified,,,Potential missing data,Activity,Non-toxic
