reactants,products,reactionString,ruleName,rxn_str,feasibilityScore_rule1,feasibilityLabel_rule1,feasibilityScore_rule2,feasibilityLabel_rule2,feasibilityScore_rule3,feasibilityLabel_rule3,feasibilityScore_rule4,feasibilityLabel_rule4
C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1,C=Cc1cc[nH]c1C=C1OC(=O)[C@H](C)[C@@H]1O,C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1 >> C=Cc1cc[nH]c1C=C1OC(=O)[C@H](C)[C@@H]1O,rule0028_51,C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1>>C=Cc1cc[nH]c1C=C1OC(=O)[C@H](C)[C@@H]1O,0.0024420738,0,0.37365538,0,0.21534793,0,0.103080116,0
C=C(O)C[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O.O,C=C(O)C[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1,C=C(O)C[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O.O >> C=C(O)C[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1,rule0035_7,C=C(O)C[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O.O>>C=C(O)C[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1,0.44329637,0,0.946238,1,0.96181464,1,0.75391287,1
C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1,C=CCC(=C1OC(=O)C[C@@H]1O)c1ccc[nH]1,C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1 >> C=CCC(=C1OC(=O)C[C@@H]1O)c1ccc[nH]1,rule0028_51,C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1>>C=CCC(=C1OC(=O)C[C@@H]1O)c1ccc[nH]1,0.029323265,0,0.29998875,0,0.7980127,1,0.043923136,0
C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CC1(c2ccc[nH]2)OC12OC(=O)[C@H](C)[C@@H]2O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=CC1(c2ccc[nH]2)OC12OC(=O)[C@H](C)[C@@H]2O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0077_4,C=CC(=C1OC(=O)[C@H](C)[C@@H]1O)c1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>C=CC1(c2ccc[nH]2)OC12OC(=O)[C@H](C)[C@@H]2O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,0.49016103,0,0.81893927,1,0.60505956,1,0.039310597,0
C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1,C=CC[C@@H](C(O)O)[C@H](O)C1=C(c2ccc[nH]2)O1,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1 >> C=CC[C@@H](C(O)O)[C@H](O)C1=C(c2ccc[nH]2)O1,rule0169_1,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1>>C=CC[C@@H](C(O)O)[C@H](O)C1=C(c2ccc[nH]2)O1,0.0039479523,0,0.011709067,0,0.3033427,0,0.071246445,0
C=CC(O)[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O,C=C[C@]1(O)C(=Cc2ccc[nH]2)OC(=O)[C@@H]1CO,C=CC(O)[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O >> C=C[C@]1(O)C(=Cc2ccc[nH]2)OC(=O)[C@@H]1CO,rule0028_51,C=CC(O)[C@H]1C(=O)OC(=Cc2ccc[nH]2)[C@H]1O>>C=C[C@]1(O)C(=Cc2ccc[nH]2)OC(=O)[C@@H]1CO,0.003257781,0,0.040048413,0,0.15038916,0,0.08307399,0
C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=CC[C@@H](C(=O)O)[C@H](O)C=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O >> C=CC[C@@H](C(=O)O)[C@H](O)C=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,rule0005_60,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O>>C=CC[C@@H](C(=O)O)[C@H](O)C=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,7.4519194e-05,0,4.6632777e-06,0,0.0002525219,0,3.3355223e-05,0
C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C=CC[C@@H](C(O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> C=CC[C@@H](C(O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,rule0003_155,C=CC[C@@H](C(=O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>C=CC[C@@H](C(O)O)[C@H](O)C(O)=Cc1ccc[nH]1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.089433596,0,0.057703823,0,0.7701857,1,0.587739,0
C=CCc1cc[nH]c1C=C1OC(=O)C[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1C[C@H](O)C(=Cc2[nH]ccc2CC2CO2)O1,C=CCc1cc[nH]c1C=C1OC(=O)C[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1C[C@H](O)C(=Cc2[nH]ccc2CC2CO2)O1,rule0077_4,C=CCc1cc[nH]c1C=C1OC(=O)C[C@@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C1C[C@H](O)C(=Cc2[nH]ccc2CC2CO2)O1,0.814373,1,0.041431252,0,0.4556534,0,0.80150676,1
C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1,C=Cc1cc[nH]c1C=C1OC(=O)C[C@@]1(C)O,C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1 >> C=Cc1cc[nH]c1C=C1OC(=O)C[C@@]1(C)O,rule0028_51,C=CC[C@@]1(O)CC(=O)OC1=Cc1ccc[nH]1>>C=Cc1cc[nH]c1C=C1OC(=O)C[C@@]1(C)O,0.301328,0,0.06890599,0,0.71350825,1,0.5231568,0
