SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
C=CC1(O)C(=CCNC(N)=[NH2+])OC(=O)[C@H]1CO,False,C10H16N3O4+,242.1135,17
C=CC(O)[C@@H]1C(=O)OC(=C)C1(O)CNC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=C[C@]1(CO)C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C10H16N3O4+,242.1135,17
C=CC(CNC(N)=[NH2+])=C1OC(=O)[C@@H](CO)C1O,False,C10H16N3O4+,242.1135,17
C=CC(C=C1OC(=O)[C@@H](CO)C1O)NC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
NC(=[NH2+])NCC=C1OC(=O)[C@@H](C=O)C1O,False,C8H12N3O4+,214.0822,15
NC(=[NH2+])NCC=C1OC(=O)CC1O,False,C7H12N3O3+,186.0873,13
C=CC(=O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C10H14N3O4+,240.0979,17
C=CC(OC)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C11H18N3O4+,256.1292,18
C=CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1OC,False,C11H18N3O4+,256.1292,18
C=C(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C9H14N3O4+,228.0979,16
C=CC(OC(C)=O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C12H18N3O5+,284.1241,20
C=CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1OC(C)=O,False,C12H18N3O5+,284.1241,20
C=CC(Cl)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C10H15ClN3O3+,260.0796,17
NC(=[NH2+])NCC=C1OC(=O)[C@@H](C(O)C2CO2)C1O,False,C10H16N3O5+,258.1084,18
C=CC(O)[C@H](C(=O)O)C(O)C(O)=CCNC(N)=[NH2+],False,C10H18N3O5+,260.1241,18
C=CC(O)[C@@H]1C(=O)OC(=CCNC(N)=O)C1O,False,C10H14N2O5,242.0903,17
C=CC(O)[C@@H]1C(=O)OC(=CC=O)C1O,False,C9H10O5,198.0528,14
NC(=[NH2+])NCC=C1OC(=O)[C@@H](CO)C1O,False,C8H14N3O4+,216.0979,15
C=CC(O)(C=C)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1(O)C=C,False,C12H18N3O4+,268.1292,19
C=CC(=C)C(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC(O)[C@@]1(C=C)C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC=CC(O)[C@@H]1C(=O)OC(=CCNC(N)=[NH2+])C1O,False,C12H18N3O4+,268.1292,19
C=CC(CNC(N)=[NH2+])=C1OC(=O)[C@@H](C(O)C=C)C1O,False,C12H18N3O4+,268.1292,19
C=CC(C=C1OC(=O)[C@@H](C(O)C=C)C1O)NC(N)=[NH2+],False,C12H18N3O4+,268.1292,19
C=CC[C@H]1C(=O)C(=CO)OC1(O)CNC(N)=[NH2+],False,C10H16N3O4+,242.1135,17
C=CCC1(O)CC(=O)C(=C(O)CNC(N)=[NH2+])O1,False,C10H16N3O4+,242.1135,17
C=CC1(O)OC(=C(O)CNC(N)=[NH2+])C(=O)[C@@H]1C,False,C10H16N3O4+,242.1135,17
C=CC[C@]1(CNC(N)=[NH2+])C(=O)C(=CO)OC1O,False,C10H16N3O4+,242.1135,17
C=CC(CNC(N)=[NH2+])[C@H]1C(=O)C(=CO)OC1O,False,C10H16N3O4+,242.1135,17
C=C(CNC(N)=[NH2+])C[C@H]1C(=O)C(=CO)OC1O,False,C10H16N3O4+,242.1135,17
NC(=[NH2+])NCC=CC[C@H]1C(=O)C(=CO)OC1O,False,C10H16N3O4+,242.1135,17
C=CC[C@H]1C(=O)C(=C=O)OC1O,False,C8H8O4,168.0423,12
C=CC[C@H]1C2=NC(=[NH2+])NCC(O)=C2OC1O,False,C10H14N3O3+,224.103,16
C=CC[C@H]1C2=[N+]=C(N)NCC(O)=C2OC1O,False,C10H14N3O3+,224.103,16
C=CC[C@H]1C(=O)C(=C(CNC(N)=[NH2+])OC)OC1O,False,C11H18N3O4+,256.1292,18
C=CC[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1OC,False,C11H18N3O4+,256.1292,18
C=CC[C@H]1C(=O)C(=C(CNC(N)=[NH2+])OC(C)=O)OC1O,False,C12H18N3O5+,284.1241,20
C=CC[C@H]1C(=O)C(=C(O)CNC(N)=[NH2+])OC1OC(C)=O,False,C12H18N3O5+,284.1241,20
C=CC[C@H]1C(=O)C(=C(Cl)CNC(N)=[NH2+])OC1O,False,C10H15ClN3O3+,260.0796,17
C=CC[C@H]1C(=O)C2(OC1O)OC2(O)CNC(N)=[NH2+],False,C10H16N3O5+,258.1084,18
