reactants,products,reactionString,ruleName
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CO[C@@H](CC(O)=CC1CCCCC1)C(=O)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> CO[C@@H](CC(O)=CC1CCCCC1)C(=O)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0025_39
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CO[C@@H](CC(O)=CC1CCCCC1)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O >> CO[C@@H](CC(O)=CC1CCCCC1)C(=O)O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,rule0005_60
O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O,O=C1OC2=CC3CCC(CC3)O[C@H]2[C@@H]1OCO,O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O >> O=C1OC2=CC3CCC(CC3)O[C@H]2[C@@H]1OCO,rule0169_1
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,COC[C@H](O)C(O)=CC1CCCCC1.O=C=O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> COC[C@H](O)C(O)=CC1CCCCC1.O=C=O,rule0024_52
O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O,O=C1OC2=CC3(CCCCC3)O[C@H]2[C@@H]1OCO,O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O >> O=C1OC2=CC3(CCCCC3)O[C@H]2[C@@H]1OCO,rule0169_1
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,CO[C@H](C(N)=O)[C@H](O)C(O)=CC1CCCCC1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O=P(O)(O)OP(=O)(O)O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.N.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O >> CO[C@H](C(N)=O)[C@H](O)C(O)=CC1CCCCC1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O=P(O)(O)OP(=O)(O)O,rule0386_2
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(=CO)C1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@H](C(=O)O)[C@H](O)C(=CO)C1CCCCC1,rule0028_49
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O.O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O.O,rule0032_01
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@@H]1C(O)OC2(C=C(O)[C@H]1O)CCCCC2,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@@H]1C(O)OC2(C=C(O)[C@H]1O)CCCCC2,rule0169_1
CO[C@@H]1C(=O)OC(=CC2CCCCC2O)[C@H]1O.O,CO.O=C1OC(=CC2CCCCC2O)[C@@H](O)[C@@H]1O,CO[C@@H]1C(=O)OC(=CC2CCCCC2O)[C@H]1O.O >> CO.O=C1OC(=CC2CCCCC2O)[C@@H](O)[C@@H]1O,rule0007_203
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C(O)[C@@H](O)[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O.O=C(O)[C@@H](O)[C@H](O)C(O)=CC1CCCCC1,rule0491_2
CO[C@@H]1C(=O)OC(=CC2CCC(O)CC2)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,CO[C@@H]1C(=O)OC(=CC2CCC(=O)CC2)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CO[C@@H]1C(=O)OC(=CC2CCC(O)CC2)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1 >> CO[C@@H]1C(=O)OC(=CC2CCC(=O)CC2)[C@H]1O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,rule0002_106
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,O=C(O)COC[C@H](O)C(O)=CC1CCCCC1,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> O=C(O)COC[C@H](O)C(O)=CC1CCCCC1,rule0028_47
O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O,O=C1OC2=C(C3CCCCC3)O[C@H]2[C@@H]1OCO,O=CO[C@@H]1C(=O)OC(=CC2CCCCC2)[C@H]1O >> O=C1OC2=C(C3CCCCC3)O[C@H]2[C@@H]1OCO,rule0169_1
CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1,CO[C@@H]1C(=O)O[C@@H]1C(O)=CC1CCCCC1.O,CO[C@H](C(=O)O)[C@H](O)C(O)=CC1CCCCC1 >> CO[C@@H]1C(=O)O[C@@H]1C(O)=CC1CCCCC1.O,rule0032_01
