Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,0.6684799932059147,85.9015512582484,0.7675869067743587,1.0360551607680077,0.7164931894060793
Random Forest Regressor,0.4931888097970595,65.61994361151754,0.7144648969453593,0.7536952910761829,0.7937583284906663
Support Vector Regressor,0.621891236205918,60.929800722695695,0.961723335796454,1.3116604842851838,0.6410763687465117
Kernel Ridge Regressor,0.6556879835006088,68.26861261228326,0.7346376686575834,0.9696192359177438,0.7346727592556167
K-NN Regressor,0.6460056805491067,136.3825455452516,0.9492218671790803,1.318345492432654,0.6392470787526481
Gaussian Process Regressor,0.6307839106986156,85.69890646918006,0.7803568948685731,1.0068452253651605,0.7244862151997802
Gradient Boosting Regressor,0.7414823074617025,92.86231223125462,0.8044999512710159,1.1970161838737976,0.6724477099580259
TPOT Regressor 1,0.501884348637807,66.83933467558096,0.7312281810984695,0.7865825522401719,0.7847590368748991
TPOT Regressor 2,0.5505323563193656,71.20518897996907,0.7506220845928191,0.8665193892330221,0.7628850686124278
Ensemble Model (L1),0.5708826948343907,80.670598312872,0.7506234045430785,0.8893425467092182,0.7566397249002622
