starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)(COC(=O)O)C(=O)O,RemdesivirOnly_gen2,5.429033399260625,0.4729119462681396,4.502125984575072,6.355940813946178,3.723630687057913e-06,4.406149068222586e-07,3.1468353155815075e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(Oc1ccc(C)cc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.428977821741101,0.4764749239651285,4.4950869707694485,6.362868672712753,3.724107237896825e-06,4.3364198854149124e-07,3.1982545707813816e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)C(OC(=O)[C@H](C)N[P@](=O)(O)Oc1ccccc1)C(CC)CC,RemdesivirOnly_gen2,5.428958692839855,0.4800898224434889,4.487982640850616,6.369934744829093,3.7242712732494456e-06,4.266436195718435e-07,3.25100291683031e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)c1cccc(O[P@@](=O)(O)N[C@@H](C)C(=O)OCC(CC)CC)c1,RemdesivirOnly_gen2,5.428442900564804,0.4716337708449438,4.504040709708714,6.352845091420893,3.728697052527055e-06,4.437669030037674e-07,3.132992031495849e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(O)[C@](C)(O)N[P@](=O)(O)Oc1ccccc1,RemdesivirOnly_gen2,5.428344210621798,0.4717601849021132,4.503694248213656,6.35299417302994,3.7295444653515584e-06,4.436145959104123e-07,3.135492395260019e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CCO)COC(O)[C@H](C)N[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.428041569305137,0.4711937351780552,4.504501848356148,6.351581290254125,3.732144331715025e-06,4.450601497758026e-07,3.129667151680334e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C[C@H](N[P@](=O)(O)Oc1ccccc1)C(=O)O,RemdesivirOnly_gen2,5.4233907382545805,0.476507982277097,4.489435092991471,6.35734638351769,3.7723263894609377e-06,4.391911866899832e-07,3.2401484410178735e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)COC(=O)[C@H](C)N(C)[P@@](=O)(Oc1ccccc1)OP(=O)(O)O,RemdesivirOnly_gen2,5.422850134675562,0.4777072856812013,4.486543854740408,6.359156414610716,3.7770250513726855e-06,4.373645564662681e-07,3.261791114021627e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)(CC)COC(=O)O,RemdesivirOnly_gen2,5.421545265983251,0.4734627878201157,4.493558201855824,6.349532330110677,3.7883904575968656e-06,4.47164862331454e-07,3.209532650750376e-05
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,O=CO,RemdesivirOnly_gen2,5.419431843743015,0.4769529678830477,4.484604026692241,6.354259660793788,3.8068709626427903e-06,4.423238318168687e-07,3.2763928786484515e-05
