SMILES,isStarter,molFormula,molWeight,numHeavyAtoms
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(O)O)C1=O,False,C12H20N3O5+,286.1397,20
CCCC[C@H]1C(=O)OC(=CC(C=O)NC(N)=[NH2+])C1=O,False,C12H18N3O4+,268.1292,19
CCCC[C@H]1C(=O)OC(CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C12H20N3O5+,286.1397,20
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)OC)C1=O,False,C13H20N3O5+,298.1397,21
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(O)(O)C#N)C1=O,False,C13H19N4O5+,311.135,22
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)Cl)C1=O,False,C12H17ClN3O4+,302.0902,20
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O4+,283.1401,20
CCCC[C@H]1C(=O)OC(=CC(C#N)NC(N)=[NH2+])C1=O,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(N)O)C1=O,False,C12H21N4O4+,285.1557,20
CCCC[C@H]1C(=O)OC(=CC(=O)NC(N)=[NH2+])C1=O,False,C11H16N3O4+,254.1135,18
CCCC[C@H]1C(=O)OC(=CC(=NC(N)=[NH2+])C(=O)O)C1=O,False,C12H16N3O5+,282.1084,20
CCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)OC(N)=[NH2+])C1=O,False,C13H21N5O5+2,327.1532,23
CCCC[C@H]1C(=O)OC(=CC(N)C(=O)O)C1=O,False,C11H15NO5,241.095,17
C[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C9H12N3O5+,242.0771,17
CCCC[C@H]1C(=O)OC(=C(CCC)C(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C10H14N3O5+,256.0928,18
CCCC[C@H]1C(=O)OC(=C(CC)C(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C11H16N3O5+,270.1084,19
CCCC[C@H]1C(=O)OC(=CC(CCC)(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCCC[C@H]1C(=O)OC(=CC(CC)(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCCC[C@]1(CCC)C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCCC[C@]1(CC)C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCCC[C@]1(C)C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C13H20N3O5+,298.1397,21
CCCC(CCC)[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCCC(CC)[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCCC(CC)C[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCC(CC)C[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCCC(C)CC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCC(C)CC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
CCCCCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C15H24N3O5+,326.171,23
CCCCCC[C@H]1C(=O)OC(=CC(NC(N)=[NH2+])C(=O)O)C1=O,False,C14H22N3O5+,312.1554,22
C=C1OC(=O)[C@](CCCC)(CN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O4+,283.1401,20
CCCC[C@H]1C(=O)OC2=CCN(C(N)=[NH2+])C(=O)N=C21,False,C12H17N4O3+,265.1295,19
CCCC[C@@H]1C(=O)C2=CCN(C(N)=[NH2+])C(=O)N=C1O2,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC(=CCN2C(=[NH2+])N=C2N)C1=O,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC2=CCN(C(N)=O)C(=[NH2+])N=C21,False,C12H17N4O3+,265.1295,19
CCCC[C@@H]1C(=O)C2=CCN(C(N)=O)C(=[NH2+])N=C1O2,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC(=CCN2C(N)=[N+]=C2N)C1=O,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC2=CCN(C(N)=O)C(N)=[N+]=C21,False,C12H17N4O3+,265.1295,19
CCCC[C@@H]1C(=O)C2=CCN(C(N)=O)C(N)=[N+]=C1O2,False,C12H17N4O3+,265.1295,19
CCCC[C@H]1C(=O)OC(=CCN2C(=[NH2+])NC2=O)C1=O,False,C12H16N3O4+,266.1135,19
CCCC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(=O)NC)C1=O,False,C13H21N4O4+,297.1557,21
CCCC[C@H]1C(=O)OC(=CC[N+](C)(C(N)=[NH2+])C(N)=O)C1=O,False,C13H22N4O4+2,298.163,21
CCCC[C@H]1C(=O)OC(=CC(O)N(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
CCCC[C@H]1C(=O)OC(=C(O)CN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
CCCC(O)[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
CCC(O)C[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
CC(O)CC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
NC(=[NH2+])N(CC=C1OC(=O)[C@H](CCCCO)C1=O)C(N)=O,False,C12H19N4O5+,299.135,21
CCCC[C@H]1C(=O)OC2(OC2CN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H19N4O5+,299.135,21
CCCC[C@H]1C(=O)OC(=CC[N+](O)(C(N)=[NH2+])C(N)=O)C1=O,False,C12H20N4O5+2,300.1423,21
NC(=O)OP(=O)(O)O,False,CH4NO5P,140.9827,8
NC(=O)O,False,CH3NO2,61.0164,4
CCCC[C@H]1C(=O)OC(O)(CCN(C(N)=[NH2+])C(N)=O)C1=O,False,C12H21N4O5+,301.1506,21
CCCC[C@@H](C(=O)O)C(=O)C(O)=CCN(C(N)=[NH2+])C(N)=O,False,C12H21N4O5+,301.1506,21
CCCC[C@H]1C(=O)OC(=CCN(C(N)=[NH2+])C(=O)O)C1=O,False,C12H18N3O5+,284.1241,20
