starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@H]2O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,2,0.4531,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@]2(COS(=O)(=O)O)OC[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,3,0.2667,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@]2(CO)OC[C@@H](OS(=O)(=O)O)[C@H]2O)c2nc[nH]c(=O)c21,3,0.28,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@]2(COP(=O)(O)O)OC[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,3,0.2667,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,2,0.4531,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](OS(=O)(=O)O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]cnc21,2,0.6034,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1COS(=O)(=O)O,2,0.5932,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1OS(=O)(=O)O,2,0.5932,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](O)[C@@H](COS(=O)(=O)O)O[C@H]1n1cnc2c(=O)[nH]cnc21,2,0.5667,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OS(=O)(=O)O)[C@@H]1O,2,0.5667,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,2,0.6034,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](OP(=O)(O)O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]cnc21,2,0.6034,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1n1cnc2c(=O)[nH]cnc21,2,0.5667,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1COP(=O)(O)O,2,0.5932,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[n+]1cn([C@@H]2O[C@H](C=O)[C@@H](OS(=O)(=O)O)[C@H]2O)c2nc[nH]c(=O)c21,3,0.338,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@@H]1[C@H](OS(=O)(=O)O)[C@@H](C=O)O[C@H]1n1cnc2c(=O)[nH]cnc21,3,0.4531,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1C=O,3,0.4531,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)(C#N)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,3,0.6379,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,3,0.6441,
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](OC(C)O)[C@@H]1O,3,0.5397,
