PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
43,174006522,24905149,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC=C6)O)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346614-01/213244154,,Inhibitor,38.5375,65.6378,,10,Single point of activity,-4.4141,4.095,0.7939,-71.4591,-5.8214,-3,0 0 0 0 0 1 0 0 0 0 0,-60.9539,,,,,,-0.9846,1.699,,7.26,,-21.1152,-1.1729,,-41.1984,-19.9016,,-6.1381,-5.6251,,-9.2089,-60.9539,,,,QC'd by Selleck
44,26757024,5708351,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2/C=C/C3=CCOC3=O)(C)CO)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163645-01/213244221,,Inhibitor,43.2397,54.3631,,10,Single point of activity,-4.3641,4.9549,0.6358,-49.3631,5,-3,0 0 0 0 0 0 0 0 0 0 0,-38.9746,,,,,,11.3677,-21.0136,,11.3905,,12.1252,16.9608,,2.664,-0.0409,,3.854,4.1101,,8.1103,-38.9746,,,,QC'd by BIOMOL
45,385219833,7056470,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@H]2CC[C@]4([C@H]3CCC4=O)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00262565-01/213244088,,Inhibitor,24.6885,36.6856,,10,Single point of activity,-4.6075,4.095,0.7772,-40.9035,-4.2179,-3,0 0 0 0 0 0 0 0 0 0 0,-36.2905,,,,,-3.1525,,-6.5924,-5.7733,,-4.5288,,0.8688,5.8883,,-8.8959,-14.3034,,-2.9041,-7.3466,,-36.2905,,,,QC'd by Prestwick Chemical; Inc.
46,385219836,,,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263847-01/213244188,,Inhibitor,17.2141,49.9783,,10,Partial curve; partial efficacy; poor fit,-4.7641,0.8,0.6531,-54.7717,-4.7934,-2.4,0 0 0 0 0 0 0 0 0 0 0,-42.2513,,,,,,-0.5166,-19.1479,,-10.0172,,-19.3874,-5.6483,,-1.3515,-0.7697,,-19.4314,-21.3475,,-27.8238,-42.2513,,,,QC'd by Microsource
47,90340671,9951825,C1=CC=C(C(=C1)N)S/C(=C(\C(=C(/SC2=CC=CC=C2N)\N)\C#N)/C#N)/N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094462-03/213244149,,Inhibitor,43.2397,54.0696,,10,Single point of activity,-4.3641,4.9549,0.6881,-51.9208,2.1488,-3,0 0 0 0 0 0 0 0 0 0 0,-41.432,,,,,,6.4469,-9.9054,,-5.8228,,8.9656,15.5923,,-1.6809,-9.3343,,-3.499,11.4243,,8.6695,-41.432,,,,QC'd by SigmaAldrich
48,90341030,5282138,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162150-03/213244150,,Inhibitor,43.2397,69.9138,,10,Partial curve; partial efficacy; poor fit,-4.3641,1.1,0.6313,-75.0012,-5.0874,-2.4,0 0 0 0 0 0 0 0 0 0 0,-56.8191,,,,,,-0.3016,-23.8322,,-0.993,,5.4737,-8.1765,,9.0551,-14.8909,,-14.8871,-12.5387,,-11.5026,-56.8191,,,,QC'd by SigmaAldrich
49,90341221,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015688-09/213244107,,Inhibitor,24.3155,79.5969,,10,Partial curve; partial efficacy; poor fit,-4.6141,2.2526,0.7565,-71.5718,8.0251,-2.4,0 0 0 0 0 0 0 0 0 0 0,-68.0027,,,,,,14.6455,32.3116,,-3.0626,,13.0666,-10.0352,,8.9958,-5.4231,,21.7962,-7.9001,,-15.6582,-68.0027,,,,QC'd by SigmaAldrich
50,124894250,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183044-01/213244122,,Inactive,,,,0,,-8.4641,0.7,0.5898,-4,-29.6537,4,0 0 0 0 0 0 0 0 0 0 1,-28.636,,,,,,-23.0447,-15.684,,-14.5559,,-7.9134,-3.3294,,-10.2363,-7.22,,-3.8581,0.3358,,-14.6691,-28.636,,,,QC'd by Vitas
51,144206821,3035267,CCOC(=O)OCC/C(=C(\C)/N(CC1=CN=C(N=C1N)C)C=O)/SC(=O)OCC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183026-01/213244105,,Inactive,,,,0,,-5.8141,4.9549,0.6308,-14.4499,3.5,4,0 0 0 0 0 0 0 0 1 0 0,-11.8529,,,,,,-1.9339,2.5633,,-1.5587,,2.308,10.0179,,-2.9823,16.8427,,-14.9583,19.5405,,-13.9329,-11.8529,,,,QC'd by Pharmaron
52,144207074,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186050-01/213244190,,Inactive,,,,0,,-6.8141,4.9549,0.529,-14.3462,2.5,4,0 0 0 0 0 0 0 0 0 0 0,-14.1672,,,,,,6.1661,-8.9335,,4.8983,,-2.031,11.5067,,-15.6456,-18.9958,,-1.2792,-8.4065,,-26.1219,-14.1672,,,,QC'd by SigmaAldrich
53,144212140,520098,CCC(C)C1=NC=CN=C1OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00256160-01/213244173,,Inactive,,,,0,,,,,0,0,4,,6.8372,,,,,,,3.9566,9.4276,,20.6049,,8.5319,-1.1877,,10.4073,-0.3297,,-2.7628,17.9782,,-10.5434,6.8372,,,QC'd by SIGMA
54,170464864,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015802-18/213244118,,Inactive,,,,0,,-5.9641,4.9549,0.4397,21.3216,-2.3275,4,0 0 0 0 0 0 0 0 0 0 0,16.8919,,,,,,12.7423,-9.2291,,-19.2909,,-1.6106,12.7935,,-5.8234,-2.1557,,27.6281,39.9956,,0.0197,16.8919,,,,QC'd by NCGCChem
