PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000000311 uM,Activity at 0.0000000880 uM,Activity at 0.0000001756 uM,Activity at 0.0000004972 uM,Activity at 0.0000014063 uM,Activity at 0.0000028127 uM,Activity at 0.0000079555 uM,Activity at 0.0000225014 uM,Activity at 0.0000450029 uM,Activity at 0.0001299230 uM,Activity at 0.0003002708 uM,Activity at 0.0008965874 uM,Activity at 0.00268 uM,Activity at 0.00700 uM,Activity at 0.016 uM,Activity at 0.032 uM,Activity at 0.076 uM,Activity at 0.219 uM,Activity at 0.631 uM,Activity at 1.728 uM,Activity at 3.886 uM,Activity at 8.587 uM,Activity at 17.80 uM,Activity at 49.20 uM,Activity at 107.3 uM,Activity at 231.0 uM,Compound QC
11579,144206681,60196346,CC(=O)OCC(=O)[C@]1(C(=C)CC2[C@@]1(C[C@@H]([C@]3(C2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182066-02/122107490,,Inactive,,,,0,,,3.9295,0.5114,-1.381,3,4,0 0 0 0 0,-1.1508,,,,,,,,,,,,,,,,,,,,4.4257,0.0328,4.0683,1.3079,-1.1508,,,QC'd by Kemprotec
11580,144206682,9886081,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CO)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182969-01/122107347,,Inactive,,,,0,,,,,,,4,,-8.7567,,,,,,,,,,,,,,,,,,,,-7.4536,-6.9109,6.4248,-9.0708,-8.7567,,,QC'd by Kemprotec
11581,144206683,443928,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)C)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00185748-01/122108039,,Inactive,,,,0,,,,,,,4,,-1.2994,,,,,,,,,,,,,,,,,,,,1.3751,-3.0882,9.4218,-1.4736,-1.2994,,,QC'd by Kemprotec
11582,144206684,68549,CCN(CCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CC3=CC=CC=C3)CCO.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182061-02/122107985,,Inactive,,,,0,,,,,,,4,,-10.1329,,,,,,,,,,,,,,,,,,,,-8.4543,-8.4307,-13.486,-4.7668,-10.1329,,,QC'd by Kemprotec
11583,144206685,71113,CCCC(CCC)C(=O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182080-02/122108064,,Inactive,,,,0,,,4.4495,0.5636,-22.7827,-4,4,0 0 0 0 0,-16.849,,,,,,,,,,,,,,,,,,,,-13.4849,3.2844,-18.9397,-27.7356,-16.849,,,QC'd by Kemprotec
11584,144206686,5736,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182081-02/122107155,,Inhibitor,28.1838,44.5232,,10,Partial curve; partial efficacy; poor fit,-4.55,2.7202,0.7761,-48.8489,-4.3257,-2.4,0 0 0 0 0,-39.2795,,,,,,,,,,,,,,,,,,,,-17.031,3.9779,-1.918,-19.1316,-39.2795,,,QC'd by Kemprotec
11585,144206687,34081,C1CC(C(C(C1)(COC(=O)C2=CN=CC=C2)COC(=O)C3=CN=CC=C3)O)(COC(=O)C4=CN=CC=C4)COC(=O)C5=CN=CC=C5,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182074-02/122107245,,Inactive,,,,0,,,1.9673,0.9039,-11.9549,-23.1076,4,0 0 0 0 0,-13.8284,,,,,,,,,,,,,,,,,,,,-20.923,-17.6634,-14.1089,-10.7958,-13.8284,,,QC'd by Kemprotec
11586,144206688,4870,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182076-02/122107548,,Inactive,,,,0,,,,,,,4,,-12.8071,,,,,,,,,,,,,,,,,,,,-10.1115,-8.1884,-10.0407,-9.2474,-12.8071,,,QC'd by Kemprotec
11587,144206689,198165,CC1=CC2=C(C[C@H]3[C@@H]4[C@]2(CCCC4)CCN3C)C=C1.OP(=O)(O)O,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182065-02/122107471,,Inhibitor,14.1254,38.0466,,21,Partial curve; partial efficacy,-4.85,1.8079,0.9318,-34.5466,3.5,-2.2,0 0 0 0 0,-33.8692,,,,,,,,,,,,,,,,,,,,-0.0689,4.2225,-11.9683,-18.1112,-33.8692,,,QC'd by Kemprotec
11588,144206690,92965,CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/vsv-offlinelibs-lassa-v1/NCGC00182078-02/122107958,,Inactive,,,,0,,,1.8265,0.9523,-15.1648,-3.0788,4,0 0 0 0 0,-15.1373,,,,,,,,,,,,,,,,,,,,-5.0656,-6.0413,-12.794,-13.4551,-15.1373,,,QC'd by Kemprotec
