PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,440147586,155535281,C1=CN=C(C2=C1N(C=N2)[C@H]3C=C([C@@H]([C@@H]3O)O)CF)N,Inactive,,,Potential missing data,Activity,Not Active
2,440149436,155536467,C1=C([C@@H]([C@@H]([C@H]1N2C=NC3=C2C(=CN=C3N)Br)O)O)CO,Inactive,,,Potential missing data,Activity,Not Active
3,440215167,67062934,C1=CN=C(C2=C1N(C=N2)[C@H]3C=C([C@@H]([C@@H]3O)O)CO)N,Inactive,,,Potential missing data,Activity,Not Active
