PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
23,124882242,3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00016423-02/213243935,,Inhibitor,9.6802,105.0915,83,Complete curve; high efficacy,-5.0141,1.8265,0.9927,-105.5919,-0.5004,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.7703,,,,,,-0.0683,-7.8479,,-1.7887,,2.3086,0.5448,,0.9252,-1.5515,,-5.2202,-32.7422,,-85.4482,-97.7703,,,,QC'd by Tocris
24,170466326,71768,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253624-01/213243998,,Inhibitor,6.853,104.2785,83,Complete curve; high efficacy,-5.1641,2.7202,0.994,-92.6365,11.6419,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.7204,,,,,,16.1553,15.6059,,6.0851,,11.6223,7.6892,,11.7623,8.6653,,8.2565,-34.199,,-85.0428,-94.7204,,,,QC'd by GVK
25,170466887,135409453,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00095192-05/213243985,,Inhibitor,8.6275,103.3321,83,Complete curve; high efficacy,-5.0641,4.5045,0.9871,-103.3321,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.1616,,,,,,-5.3838,-1.1783,,0.5217,,1.2269,2.4164,,9.6621,0.7712,,-8.4623,-21.3611,,-100.7136,-100.1616,,,,QC'd by Bosche
26,174007069,9820008,COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,Active,83,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00345056-01/213243904,,Inhibitor,6.853,87.3016,83,Complete curve; high efficacy,-5.1641,2.2481,0.9784,-83.7003,3.6013,-1.1,0 0 0 0 0 0 0 0 0 0 0,-85.5831,,,,,,2.2621,12.3913,,5.0922,,6.1805,-4.6018,,0.5398,-1.2298,,3.3781,-40.2715,,-71.8043,-85.5831,,,,QC'd by NCGCChem
27,144207074,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186050-01/213243888,,Inhibitor,2.1671,75.5053,64,Complete curve; partial efficacy,-5.6641,1.5095,0.9811,-73.7717,1.7337,-1.2,0 0 0 0 0 0 0 0 0 0 0,-66.7145,,,,,,-1.0374,3.4569,,3.0268,,3.6876,-0.4627,,-3.6979,-10.0874,,-34.9083,-57.8033,,-81.6389,-66.7145,,,,QC'd by SigmaAldrich
28,170465342,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Active,64,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263539-01/213243932,,Inhibitor,3.4347,81.6975,64,Complete curve; partial efficacy,-5.4641,1.1,0.9863,-82.4867,-0.7892,-1.2,0 0 0 0 0 0 0 0 0 0 0,-74.8622,,,,,,1.3087,1.7659,,-2.9736,,-3.8213,0.7962,,-9.3166,-15.9273,,-25.307,-55.4277,,-76.1263,-74.8622,,,,QC'd by Prestwick Chemical; Inc.
29,26754607,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,Active,45,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00160337-02/213243953,,Inhibitor,2.4315,91.0668,45,Partial curve; high efficacy,-5.6141,0.8,0.9533,-89.6513,1.4156,-2.1,0 0 0 0 0 0 0 0 0 0 0,-91.668,,,,,,-6.2502,-4.3059,,3.1817,,2.3958,4.1762,,-4.0589,-29.0136,,-50.0567,-57.2881,,-64.2136,-91.668,,,,QC'd by BIOMOL
30,90341210,4564402,COC1=CC=C(C=C1)CCCOC2=C(C=CC(=C2)CCN3C=CN=C3)OC,Active,42,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015967-03/213243857,,Inhibitor,10.8613,98.0348,42,Partial curve; high efficacy,-4.9641,1.3443,0.9501,-97.1035,0.9313,-2.1,0 0 0 0 0 0 0 0 0 0 0,-89.4139,,,,,,-2.144,-1.6022,,-2.8454,,0.9111,6.2727,,0.4059,-2.0534,,5.4528,-45.4633,,-59.0652,-89.4139,,,,QC'd by SigmaAldrich
31,26757024,5708351,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2/C=C/C3=CCOC3=O)(C)CO)O,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163645-01/213243995,,Inhibitor,21.6712,96.3239,41,Partial curve; high efficacy,-4.6641,1.3723,0.9873,-101.0102,-4.6864,-2.1,0 0 0 0 0 0 0 0 0 0 0,-80.9605,,,,,,-1.2237,-6.5755,,-7.5794,,-5.1231,-4.2589,,0.9032,-4.634,,-13.0723,-18.633,,-49.2021,-80.9605,,,,QC'd by BIOMOL
32,90341036,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015053-09/213243883,,Inhibitor,24.3155,96.6296,41,Partial curve; high efficacy,-4.6141,1.9673,0.9603,-93.9526,2.677,-2.1,0 0 0 0 0 0 0 0 0 0 0,-86.9931,,,,,,3.2468,5.7158,,5.6404,,9.4663,4.3943,,4.2245,-0.4039,,-6.1577,-11.1224,,-27.6131,-86.9931,,,,QC'd by SigmaAldrich
