PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009681622 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
43,170464864,16362,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015802-18/213243968,,Inhibitor,7.6892,54.3038,22,Partial curve; partial efficacy,-5.1141,2.4064,0.9654,-57.2039,-2.9002,-2.2,0 0 0 0 0 0 0 0 0 0 1,-19.5903,,,,,,1.035,-0.501,,-0.8153,,-2.0536,-4.1874,,-6.99,-8.9408,,-2.8149,-25.1773,,-52.9666,-19.5903,,,,QC'd by NCGCChem
44,90341202,5289247,C1=CC2=NC=CN=C2C=C1/C=C\3/C(=O)NC(=O)S3,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186030-01/213243917,,Inhibitor,21.6712,68.1266,21,Partial curve; partial efficacy,-4.6641,2.4729,0.9779,-62.6266,5.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-57.9876,,,,,,1.3802,0.3254,,4.2605,,9.288,8.9154,,7.6165,8.8975,,4.5646,0.9567,,-24.8071,-57.9876,,,,QC'd by SigmaAldrich
45,170464928,5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015882-15/213243887,,Inhibitor,17.2141,82.2842,21,Partial curve; partial efficacy,-4.7641,0.8,0.9237,-80.4733,1.8109,-2.2,0 0 0 0 0 0 0 0 0 0 0,-60.9646,,,,,,6.9403,10.9266,,3.6854,,-1.0926,-7.5091,,-12.7386,-0.3185,,-9.1092,-24.1219,,-40.1399,-60.9646,,,,QC'd by Vitas
46,170466836,17693,C1CC1C(=O)NC2=CC(=C(C=C2)Cl)Cl,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00160647-02/213243903,,Inhibitor,21.6712,59.1623,21,Partial curve; partial efficacy,-4.6641,2.1211,0.9815,-61.9815,-2.8191,-2.2,0 0 0 0 0 0 0 0 0 0 0,-55.2469,,,,,,2.9446,-4.7874,,-2.3288,,-5.2814,-2.4842,,-3.1945,-5.5124,,-1.7022,-7.0117,,-28.4335,-55.2469,,,,QC'd by Vitas
47,104171134,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015254-12/213243902,,Inhibitor,27.2824,48.5338,20,Partial curve; partial efficacy,-4.5641,4.095,0.9152,-49.7703,-1.2365,-2.2,0 0 0 0 0 0 0 0 0 0 0,-45.6593,,,,,,2.0333,-2.5322,,1.6152,,-0.8512,6.7061,,-0.4331,-5.0373,,-5.1363,-8.2487,,-10.0092,-45.6593,,,,QC'd by BIOMOL
48,124894250,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183044-01/213243896,,Inhibitor,24.3155,48.9271,20,Partial curve; partial efficacy,-4.6141,1.8851,0.9289,-51.3548,-2.4277,-2.2,0 0 0 0 0 0 0 0 0 0 0,-45.0481,,,,,,2.2538,4.229,,-3.0768,,-1.4389,-7.1081,,-6.7004,-2.2089,,-5.7895,-8.4452,,-18.8492,-45.0481,,,,QC'd by Vitas
49,170465739,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091120-13/213243934,,Inhibitor,19.3145,56.6473,20,Partial curve; partial efficacy,-4.7141,3.99,0.9615,-45.9962,10.6511,-2.2,0 0 0 0 0 0 0 0 0 0 0,-46.208,,,,,,8.7965,7.48,,6.2287,,14.4334,14.3332,,10.9344,5.766,,9.8478,16.8146,,-18.8975,-46.208,,,,QC'd by Prestwick
50,174006522,24905149,CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=NC=NC(=C5C(=N4)C6=CC(=CC=C6)O)N,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346614-01/213243928,,Inhibitor,30.6114,64.7494,20,Partial curve; partial efficacy,-4.5141,4.095,0.8461,-67.163,-2.4135,-2.2,0 0 0 0 0 0 0 0 0 0 0,-61.8659,,,,,,-9.5473,-7.9038,,6.532,,-2.6494,-0.4752,,-0.7669,-16.2632,,-2.9696,12.2695,,-10.5597,-61.8659,,,,QC'd by Selleck
51,174006924,3606,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00094818-08/213243956,,Inhibitor,27.2824,37.9556,20,Partial curve; partial efficacy,-4.5641,1.1,0.9384,-42.0955,-4.1399,-2.2,0 0 0 0 0 0 0 0 0 0 0,-31.7462,,,,,,-5.4613,-0.5332,,-6.2423,,-0.8484,-5.7835,,-5.6716,-5.8615,,-5.3297,-13.1743,,-17.299,-31.7462,,,,QC'd by Microsource
52,90340630,4051,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)[O-].[Na+],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015671-04/213244003,,Inhibitor,21.6712,28.8081,10,Partial curve; partial efficacy; poor fit,-4.6641,3.132,0.8832,-24.3081,4.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-23.5901,,,,,,7.5025,-0.776,,1.3631,,5.0548,7.4283,,3.815,1.4425,,10.4842,3.0045,,-7.2031,-23.5901,,,,QC'd by SigmaAldrich
53,90341008,54676228,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015823-14/213243893,,Inhibitor,0.0153,23.0269,10,Complete curve; partial efficacy; poor fit,-7.8141,0.3,0.7657,-6.0269,17,-1.4,0 0 0 0 0 0 0 0 0 0 0,-6.2724,,,,,,13.2647,7.2347,,6.9451,,0.4508,-0.949,,4.5923,1.7956,,-0.0869,-0.2229,,-5.7304,-6.2724,,,,QC'd by SigmaAldrich
54,144204548,5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00090686-04/213243936,,Inhibitor,30.6114,77.4176,10,Single point of activity,-4.5141,4.095,0.9535,-75.1461,2.2716,-3,0 0 0 0 0 0 0 0 0 0 0,-69.4288,,,,,,7.8553,6.8248,,-0.4456,,6.5584,3.0727,,7.2471,1.3557,,-6.7591,-4.2334,,-8.5746,-69.4288,,,,QC'd by SigmaAldrich
55,174006944,5280569,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015349-06/213243878,,Inhibitor,24.3155,31.6369,10,Partial curve; partial efficacy; poor fit,-4.6141,4.9549,0.855,-25.1369,6.5,-2.4,0 0 0 0 0 0 0 0 0 0 0,-24.2808,,,,,,9.7405,11.638,,6.216,,5.5727,3.5376,,7.6787,-2.6789,,10.2985,7.0995,,-0.3691,-24.2808,,,,QC'd by Microsource
56,174007262,71729980,C1C[C@@H]([C@@H](C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346522-01/213243899,,Inhibitor,21.6712,29.3231,10,Partial curve; partial efficacy; poor fit,-4.6641,2.7202,0.8604,-22.3231,7,-2.4,0 0 0 0 0 0 0 0 0 0 0,-20.6859,,,,,,12.7594,8.768,,8.0124,,3.563,-0.5667,,5.9656,10.3425,,9.1635,5.3996,,-4.6044,-20.6859,,,,QC'd by Selleck
57,385219833,7056470,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@H]2CC[C@]4([C@H]3CCC4=O)C)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00262565-01/213243862,,Inhibitor,15.5774,42.6194,10,Single point of activity,-4.8075,1.8265,0.926,-37.471,5.1485,-3,0 0 0 0 0 0 0 0 0 0 0,-34.8066,,,,,3.283,,5.4587,7.6763,,8.1627,,5.8737,5.4378,,6.0328,-3.0868,,-0.5902,-8.7814,,-34.8066,,,,QC'd by Prestwick Chemical; Inc.
58,26754887,5283141,CCCCC[C@@H](/C=C/C=C/C/C=C\CCCC(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00161325-01/213243984,,Inactive,,,0,,-6.8152,4.9549,0.3967,4.5,-2.275,4,0 0 0 0 0 0 0 0 0 0 0,4.4604,-5.1138,-6.0625,4.5984,-3.3945,,-2.7289,0.9896,,-3.9004,-0.6793,,-3.8217,2.8712,,4.4604,,,,,,,,,,QC'd by BIOMOL
59,29215484,72941688,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@@H]2CCCC[C@H]2C[C@H]1C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00159509-02/213243869,,Inactive,,,0,,-8.2141,4.9549,0.465,8.5,2,4,0 0 0 0 0 0 0 0 0 0 0,10.1513,,,,,,2.8598,1.744,,7.6382,,7.2766,7.4411,,10.9602,11.8429,,2.5225,6.1729,,10.0807,10.1513,,,,QC'd by Enamine
60,50125937,3045381,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00181343-01/213243930,,Inactive,,,0,,-8.6141,1.1,0.4878,4.5,-4.6754,4,0 0 0 0 0 0 0 0 0 0 1,-2.1214,,,,,,-3.0629,2.3149,,0.6199,,4.577,4.6151,,5.7596,-0.3416,,8.3226,5.999,,2.9631,-2.1214,,,,QC'd by APAC
61,90341290,11401613,C1=CC=C2C(=C1)C=CC3=C2C=CN=C3Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00093606-05/213243867,,Inactive,,,0,,-4.6641,2.7868,0.5012,-10.4259,0,4,0 0 0 0 0 0 0 0 0 0 0,-9.9383,,,,,,-1.9151,-1.1027,,5.9096,,2.835,-0.8662,,-3.2729,-4.3212,,4.7166,-1.1887,,-4.1844,-9.9383,,,,QC'd by SigmaAldrich
62,90341836,135409384,CC(C([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162357-02/213243977,,Inactive,,,0,,-6.3641,0.2,0.5245,11.5,-2.6493,4,0 0 0 0 0 0 0 0 0 0 0,11.0576,,,,,,-0.5411,0.0046,,2.1025,,6.3982,1.239,,5.0087,4.9064,,7.0619,3.8276,,3.5119,11.0576,,,,QC'd by SigmaAldrich
63,124894552,60810,C1CN(CCN1CCCC(=O)NC2C3=CC=CC=C3CSC4=CC=CC=C24)C5=CC=C(C=C5)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183837-01/213243986,,Inactive,,,0,,-4.6641,4.4495,0.5058,-8.078,4.5,4,0 0 0 0 0 0 0 0 0 0 0,-7.565,,,,,,1.4427,0.0291,,4.7104,,4.4624,3.1625,,-1.5378,6.4091,,10.5377,9.695,,-0.4303,-7.565,,,,QC'd by Pharmaron
64,144206821,3035267,CCOC(=O)OCC/C(=C(\C)/N(CC1=CN=C(N=C1N)C)C=O)/SC(=O)OCC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183026-01/213243879,,Inactive,,,0,,-4.3141,4.9549,0.6846,-28.6992,-2,4,0 0 0 0 0 0 0 0 0 0 0,-20.5827,,,,,,-9.1512,2.3532,,-1.1377,,2.7125,0.9215,,-5.0511,-5.6123,,-2.0916,-4.4575,,1.5008,-20.5827,,,,QC'd by Pharmaron
65,144212140,520098,CCC(C)C1=NC=CN=C1OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00256160-01/213243947,,Inactive,,,0,,-8.2029,0.8,0.5186,-6.8085,-15.0626,4,0 0 0 0 0 0 0 0 0 0 1,-7.8775,,,,,,,-11.363,-14.2189,,-7.5079,,-8.215,-6.8825,,-4.0071,-7.947,,-7.8447,-4.9023,,-9.6461,-7.8775,,,QC'd by SIGMA
66,170465966,6321253,CCN(CC)C(=O)N[C@H]1CN([C@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179663-03/213243921,,Inactive,,,0,,-4.6141,2.2526,0.7173,-10.3215,3,4,0 0 0 0 0 0 0 0 0 0 0,-9.4346,,,,,,0.7626,1.6237,,6.6905,,5.9972,-0.9967,,4.534,4.5765,,2.7481,0.3139,,-0.6716,-9.4346,,,,QC'd by Tocris
67,170466202,65684,CC1=CC2=C(C=C1)NC3C2CN(CC3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263512-01/213243855,,Inactive,,,0,,-6.6753,4.9549,0.6057,-5.0854,2,4,0 0 0 0 0 0 0 0 0 0 0,-9.2378,,,,,4.0579,,5.3526,-1.5094,,0.9305,-1.386,,3.0965,-6.6859,,-3.609,-2.9708,,-2.2998,-9.2378,,,,,QC'd by Vitas
68,170466842,1623625,CCCCC/C(=C\C1=CC=CC=C1)/C=O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00274076-01/213243884,,Inactive,,,0,,-5.1141,0.2,0.3957,-9.566,6.5,4,0 0 0 0 0 0 0 0 0 0 0,-6.305,,,,,,2.9038,7.974,,-0.6554,,5.772,-0.6691,,-3.0132,2.1424,,2.9402,-1.715,,0.0283,-6.305,,,,QC'd by SIGMA
69,174007190,71815,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00095158-05/213243872,,Inactive,,,0,,-8.9141,4.9549,0.6388,7,-5.2193,4,0 0 0 0 0 0 0 0 0 0 0,5.7581,,,,,,-2.6828,8.5059,,8.5657,,9.2838,1.7397,,6.4829,5.2911,,6.6794,8.5067,,8.4708,5.7581,,,,QC'd by Microsource
70,174007450,73265409,CC1=N[C@@]2([C@@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263521-02/213243946,,Inactive,,,0,,-7.0641,2.4064,0.684,9,1.5,4,0 0 0 0 0 0 0 0 0 0 1,-10.9278,,,,,,1.7925,1.5099,,1.844,,0.8429,4.5137,,10.1267,9.0164,,7.8648,14.0132,,3.8623,-10.9278,,,,QC'd by Selleck
71,385219834,5282347,CC1=C(C2=C(CC[C@@](O2)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=C1O)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253538-02/213243950,,Inactive,,,0,,-8.014,4.9549,0.424,-6.4906,-1.5,4,0 0 0 0 0 0 0 0 0 0 0,-9.5627,,,-0.1876,-0.0717,,-3.4509,-1.6086,,-2.3682,-12.0755,,-4.5249,-7.9245,,0.0623,,-5.9432,-9.5627,,,,,,,QC'd by Cayman
72,385219835,5053503,CC(O)(P(=O)(O)[O-])P(=O)(O)[O-],Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00179380-03/213243868,,Inactive,,,0,,-8.2641,4.9549,0.7504,1.5,-7.2217,4,0 0 0 0 0 0 0 0 0 0 1,-2.6755,,,,,,-4.9864,-9.3514,,2.499,,0.1,2.0685,,0.9301,4.4482,,1.8976,1.8537,,-2.0753,-2.6755,,,,QC'd by Microsource
