PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,174006504,11978790,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC,Active,98,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346681-01/212310339,,Inhibitor,0.0022,85.3062,98,Complete curve; high efficacy,-8.6641,1,0.8616,-85.3062,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.8236,,,,,,-23.4478,-51.5692,,-69.2962,,-70.0935,,-89.2787,-84.3082,,-76.1315,,-71.7571,-85.9337,,-96.719,,-95.8236,,,,QC'd by Selleck
2,174007055,16678941,CC1=C(N=C(C=C1)NC(=O)C2(CC2)C3=CC4=C(C=C3)OC(O4)(F)F)C5=CC(=CC=C5)C(=O)O,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346550-01/212311717,,Inhibitor,0.0385,100,95,Complete curve; high efficacy,-7.4141,1,0.9366,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-103.8,,,,,,6.5945,-23.0255,,-14.1972,,-20.6337,,-84.1534,-94.7457,,-100.3242,,-105.7545,-97.5382,,-99.443,,-103.8,,,,QC'd by Selleck
3,174007105,148198,C1=CC(=CC=C1OCCCCCCN=C(NC#N)NC2=CC=NC=C2)Cl,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345782-01/212310480,,Inhibitor,0.0343,100,95,Complete curve; high efficacy,-7.4641,1,0.7689,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-86.8037,,,,,,-0.1311,0.1627,,4.4398,,-66.5252,,-79.2857,-72.1887,,-74.3716,,-76.1193,-75.2259,,-92.6332,,-86.8037,,,,QC'd by Cayman
4,137275909,25167777,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250408-01/212310383,,Inhibitor,0.0485,100,94,Complete curve; high efficacy,-7.3141,1,0.8825,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.2286,,,,,,6.9481,-12.2711,,-20.5868,,-45.9064,,-57.7066,-71.8789,,-85.5179,,-86.4035,-80.8501,,-83.4828,,-87.2286,,,,QC'd by Sequoia
5,174007002,73265328,C[C@@H]1C(=O)N([C@@H]2CS[C@@H]([C@@H](C(=O)N([C@@H](C(=O)OC[C@@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@H](COC(=O)[C@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00163548-02/212310819,,Inhibitor,0.0611,100,94,Complete curve; high efficacy,-7.2141,1,0.9313,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.0992,,,,,,-9.0316,4.9635,,-4.6946,,-8.0538,,-74.1998,-81.1383,,-99.9982,,-88.4891,-98.5483,,-93.4744,,-89.0992,,,,QC'd by Cayman
6,124882270,73265412,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@@H]4CC[C@@]5([C@@H](CC[C@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00016447-02/212311410,,Inhibitor,0.0685,100,93,Complete curve; high efficacy,-7.1641,1,0.9034,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.3281,,,,,,0.6518,-8.5685,,1.3725,,-8.0097,,-74.9254,-82.9047,,-85.7113,,-82.3841,-89.3078,,-84.5725,,-94.3281,,,,QC'd by SIGMA
7,174006500,25207689,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)S(=O)(=O)C,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345851-01/212310325,,Inhibitor,0.0863,100,93,Complete curve; high efficacy,-7.0641,1,0.8613,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.6067,,,,,,13.0357,8.7003,,-10.9766,,-43.4195,,-52.9746,-61.736,,-67.2651,,-93.3339,-83.9025,,-77.9449,,-94.6067,,,,QC'd by SynKinase
8,124882897,73265389,C[C@H]1CCCC=CC2C[C@@H](C[C@@H]2[C@@H](C=CC(=O)O1)O)O,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017254-02/212310145,,Inhibitor,0.0273,80.139,92,Complete curve; high efficacy,-7.5641,1,0.9741,-80.139,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-79.4054,,,,,,-0.3258,-7.4802,,-13.3425,,-37.2206,,-72.6495,-71.2082,,-72.2971,,-74.9954,-79.6926,,-83.4782,,-79.4054,,,,QC'd by Tocris
9,124950713,10126189,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242514-01/212310886,,Inhibitor,0.1086,100,92,Complete curve; high efficacy,-6.9641,1,0.9465,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.7918,,,,,,1.4478,2.7588,,1.5452,,7.0761,,-46.7566,-87.1239,,-90.3058,,-94.5863,-93.655,,-98.664,,-99.7918,,,,QC'd by Selleck
10,137276067,44599690,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5,Active,92,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263223-01/212310288,,Inhibitor,0.0485,82.6215,92,Complete curve; high efficacy,-7.3141,1,0.9751,-82.6215,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-83.3074,,,,,,-7.4986,-5.3719,,-11.4729,,-23.9922,,-56.3951,-65.1291,,-73.7327,,-90.5937,-82.9324,,-74.2589,,-83.3074,,,,QC'd by Cayman
