PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009682458 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
10,144214048,3034285,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,Active,41,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163818-04/213244434,,Inhibitor,49.7874,77.6276,,41,Partial curve; partial efficacy,-4.3029,3.5117,0.8139,-74.9649,2.6627,-2.2,0 0 0 0 0 0 0 0 0 0 0,-74.5641,,,,,,,-12.3593,10.2203,,13.8445,,-9.5251,-4.7587,,-10.7445,8.8026,,22.1823,2.4775,,-16.3121,-74.5641,,,QC'd by LightBiologicals
11,124882242,3503,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00016423-02/213244311,,Inhibitor,27.2824,106.4615,,40,Partial curve; high efficacy,-4.5641,1.1,0.9132,-113.7242,-7.2627,-2.1,0 0 0 0 0 0 0 0 0 0 0,-90.2573,,,,,,2.3698,1.6891,,-3.479,,-12.9704,-16.2004,,-8.8677,-12.7146,,-16.7208,-32.6651,,-38.4116,-90.2573,,,,QC'd by Tocris
12,137275978,51371303,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263134-01/213244422,,Inhibitor,35.2468,90.388,,40,Partial curve; high efficacy,-4.4529,3.9295,0.8281,-93.4086,-3.0206,-2.1,0 0 0 0 0 0 0 0 0 0 0,-93.9503,,,,,,,-20.9542,-9.7935,,-21.5399,,7.884,-9.7463,,4.4963,-4.884,,26.8738,-3.8321,,-53.1705,-93.9503,,,QC'd by ChemAxon
13,170465077,6603149,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015851-10/213244394,,Inhibitor,27.2824,108.8059,,40,Partial curve; high efficacy,-4.5641,4.095,0.926,-105.4033,3.4026,-2.1,0 0 0 0 0 0 0 0 0 0 0,-97.5956,,,,,,4.3726,-0.7893,,10.5004,,15.8244,0.7871,,-0.4774,15.808,,-14.501,-0.6111,,-18.9979,-97.5956,,,,QC'd by Microsource
14,174006264,11581936,CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346630-01/213244443,,Inhibitor,38.5375,96.2581,,40,Partial curve; high efficacy,-4.4141,4.095,0.8915,-104.2257,-7.9676,-2.1,0 0 0 0 0 0 0 0 0 0 0,-88.6273,,,,,,6.0484,-14.8689,,5.0943,,-19.2528,-13.1226,,-9.1287,0.6127,,-9.2379,-16.4353,,-13.7294,-88.6273,,,,QC'd by Selleck
15,385219832,16095342,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,Active,40,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00241982-02/213244444,,Inhibitor,24.3155,79.2528,,40,Partial curve; partial efficacy,-4.6141,4.095,0.9198,-74.091,5.1618,-2.2,0 0 0 0 0 0 0 0 0 0 0,-68.6789,,,,,,4.0146,-1.5569,,-0.7195,,2.27,0.7075,,-0.7246,8.2564,,15.2742,18.0843,,-16.5225,-68.6789,,,,QC'd by ChemAxon
16,26756900,5353422,CCC1C2(C(C(O1)(C(C(O2)/C=C/C=C/C=C/C3=C(C(=CC(=O)O3)OC)C)O)C)OC(=O)C)C,Inconclusive,25,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00163515-01/213244370,,Inhibitor,0.1219,40.671,,25,Complete curve; partial efficacy,-6.9141,4.9549,0.9301,-40.8704,-0.1994,-1.2,0 0 0 0 0 0 0 0 0 0 0,-36.0125,,,,,,-5.8586,4.2119,,-0.6048,,0.2539,-1.8716,,-42.3292,-43.6368,,-47.7817,-46.1566,,-28.5071,-36.0125,,,,QC'd by BIOMOL
17,124881348,5102,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015901-02/213244364,,Inhibitor,4.324,63.7491,,23,Partial curve; partial efficacy,-5.3641,1.2221,0.8459,-61.5528,2.1963,-2.2,0 0 0 0 0 0 0 0 0 0 0,-64.1289,,,,,,1.64,-10.5887,,-10.8962,,-0.8024,23.908,,8.7805,-3.6548,,-21.6402,-37.0488,,-45.1324,-64.1289,,,,QC'd by Microsource
18,90341210,4564402,COC1=CC=C(C=C1)CCCOC2=C(C=CC(=C2)CCN3C=CN=C3)OC,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015967-03/213244385,,Inhibitor,3.0611,41.5128,,23,Complete curve; partial efficacy,-5.5141,0.8,0.8419,-49.627,-8.1142,-1.2,0 0 0 0 0 0 0 0 0 0 0,-45.5508,,,,,,-21.8274,-6.3961,,-11.8889,,-3.2356,-16.3982,,-6.5528,-18.4064,,-28.564,-34.0973,,-40.1356,-45.5508,,,,QC'd by SigmaAldrich
19,174007069,9820008,COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,Inconclusive,22,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00345056-01/213244432,,Inhibitor,4.8516,51.6764,,22,Complete curve; partial efficacy,-5.3141,4.9549,0.8324,-58.7929,-7.1166,-1.2,0 0 0 0 0 0 0 0 0 0 0,-52.9395,,,,,,7.1529,2.1006,,-1.7828,,-22.8114,-19.6302,,-5.1011,-20.5852,,-3.9598,-48.472,,-64.0127,-52.9395,,,,QC'd by NCGCChem
20,104171134,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015254-12/213244430,,Inhibitor,17.2141,55.059,,21,Partial curve; partial efficacy,-4.7641,1.7529,0.8189,-54.5959,0.4631,-2.2,0 0 0 0 0 0 0 0 0 0 0,-49.262,,,,,,-10.4046,11.1074,,10.8919,,4.814,-8.7927,,-9.5786,0.3956,,5.1528,-10.2641,,-28.3011,-49.262,,,,QC'd by BIOMOL
21,26754607,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00160337-02/213244405,,Inhibitor,12.1866,60.5463,,21,Partial curve; partial efficacy,-4.9141,1.1,0.9241,-66.7387,-6.1924,-2.2,0 0 0 0 0 0 0 0 0 0 0,-58.5428,,,,,,-11.2131,-6.3039,,8.3816,,-7.0955,-8.7432,,-11.0506,-11.1953,,-13.9108,-24.0295,,-46.0694,-58.5428,,,,QC'd by BIOMOL
22,137276002,11282283,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263158-01/213244328,,Inhibitor,24.9528,70.5865,,20,Complete curve; partial efficacy,-4.6029,1.8851,0.8695,-72.7814,-2.1949,-1.2,0 0 0 0 0 0 0 0 0 0 0,-64.2283,,,,,,,1.7205,4.9009,,-4.8352,,5.8168,-14.393,,-11.7776,7.7207,,-16.1811,-7.9815,,-59.9302,-64.2283,,,QC'd by Selleck
23,124883112,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00017358-03/213244334,,Inhibitor,3.4347,33.0803,,10,Complete curve; partial efficacy; poor fit,-5.4641,4.095,0.7396,-34.5632,-1.4829,-1.4,1 0 0 0 0 0 0 0 0 0 0,-40.0384,,,,,,-27.7164,-7.9107,,-17.4273,,-4.9465,10.3594,,-1.8097,14.7906,,-6.2191,-32.1281,,-29.645,-40.0384,,,,QC'd by Timtec
24,144213997,4984721,C1=CC(=C(C=C1[N+](=O)[O-])O)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091650-03/213244349,,Inhibitor,88.5358,76.602,,10,Single point of activity,-4.0529,4.9549,0.7669,-84.3091,-7.7071,-3,0 0 0 0 0 0 0 0 0 0 0,-68.0372,,,,,,,-19.4651,2.1507,,-1.5765,,-15.9616,-7.2162,,9.0338,-13.2765,,-24.61,-4.5762,,-1.6357,-68.0372,,,QC'd by SIGMA
25,144214029,10800,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091775-03/213244418,,Inhibitor,49.7874,117.2792,,10,Partial curve; high efficacy; poor fit,-4.3029,1.1,0.7378,-127.2265,-9.9473,-2.3,0 0 0 0 0 0 0 0 0 1 0,-96.3837,,,,,,,-20.9201,-22.7723,,-36.8661,,-18.2154,-3.9755,,-19.5506,3.0893,,-32.7442,-24.3179,,34.9464,-96.3837,,,QC'd by LightBiologicals
26,170464928,5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015882-15/213244415,,Inhibitor,38.5375,57.799,,10,Single point of activity,-4.4141,4.9549,0.8119,-63.721,-5.9219,-3,0 0 0 0 0 0 0 0 0 0 0,-56.6068,,,,,,-13.3363,-14.5069,,-13.7996,,-8.2054,-5.8317,,-9.1476,-14.9654,,-13.8775,2.6126,,-7.7424,-56.6068,,,,QC'd by Vitas
27,170465739,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00091120-13/213244386,,Inhibitor,30.6114,51.1174,,10,Partial curve; partial efficacy; poor fit,-4.5141,4.095,0.6164,-57.1019,-5.9845,-2.4,0 0 0 0 0 0 0 0 0 0 0,-52.7287,,,,,,-19.2733,7.1167,,-2.3858,,-1.2564,-21.3462,,-21.2889,-16.6009,,-5.4346,3.1643,,-12.6511,-52.7287,,,,QC'd by Prestwick
28,170466326,71768,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00253624-01/213244374,,Inhibitor,,,,10,Single point of activity,,,,0,0,-3,,-42.5014,,,,,,-19.8272,-21.8435,,-19.8126,,-1.4706,-22.5946,,-6.5808,-7.0111,,-14.3591,9.3323,,-17.6491,-42.5014,,,,QC'd by GVK
29,174007450,73265409,CC1=N[C@@]2([C@@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263521-02/213244398,,Inhibitor,1.7214,23.8083,,10,Complete curve; partial efficacy; poor fit,-5.7641,4.9549,0.7892,-21.8083,2,-1.4,0 0 0 0 0 0 0 0 0 0 0,-17.9598,,,,,,5.3624,-2.5424,,-1.0278,,-5.6976,8.9341,,-3.728,11.5886,,-14.6291,-27.7569,,-19.8237,-17.9598,,,,QC'd by Selleck
30,385219836,,,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00263847-01/213244338,,Inhibitor,0.968,34.9791,,10,Complete curve; partial efficacy; poor fit,-6.0141,0.6,0.6406,-34.631,0.3481,-1.4,0 0 0 0 0 0 0 0 0 0 0,-38.5057,,,,,,0.3947,-2.1192,,-10.3791,,13.013,-12.3977,,-16.4425,-4.9222,,-28.1587,-30.4108,,-16.8503,-38.5057,,,,QC'd by Microsource
31,90340946,2993,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015339-05/213244417,,Inhibitor,43.2397,46.0282,,10,Single point of activity,-4.3641,4.9549,0.4593,-45.9119,0.1163,-3,0 0 0 0 0 0 0 0 0 0 0,-36.6901,,,,,,-11.5617,0.1571,,-9.7259,,22.1472,-8.9311,,-15.6967,15.8783,,10.5267,-4.2357,,-0.4073,-36.6901,,,,QC'd by SigmaAldrich
32,90341030,5282138,CC1=C(C(C(=C(N1)C)C(=O)OC/C=C/C2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00162150-03/213244376,,Inhibitor,43.2397,50.7118,,10,Single point of activity,-4.3641,4.9549,0.6524,-52.4836,-1.7718,-3,0 0 0 0 0 0 0 0 0 0 0,-42.6765,,,,,,-4.0376,-10.1721,,-10.7983,,3.5358,-4.5533,,3.8981,20.0418,,-6.9072,-10.1217,,-0.4785,-42.6765,,,,QC'd by SigmaAldrich
33,90341036,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015053-09/213244411,,Inhibitor,12.1866,69.1461,,10,Partial curve; partial efficacy; poor fit,-4.9141,0.4,0.7665,-58.6461,10.5,-2.4,0 0 1 0 0 0 0 0 0 0 0,-44.4142,,,,,,9.0765,8.8675,,-25.3264,,9.0439,-6.4107,,8.5974,-22.9503,,-5.7686,-12.5544,,-22.6195,-44.4142,,,,QC'd by SigmaAldrich
34,90341202,5289247,C1=CC2=NC=CN=C2C=C1/C=C\3/C(=O)NC(=O)S3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186030-01/213244369,,Inhibitor,43.2397,47.5183,,10,Single point of activity,-4.3641,4.9549,0.5699,-52.3468,-4.8285,-3,0 0 0 0 0 0 0 0 0 0 0,-43.0657,,,,,,-4.2582,-16.3321,,-0.0376,,-26.7084,-0.8063,,2.2909,-8.2273,,-13.306,5.2191,,-1.9995,-43.0657,,,,QC'd by SigmaAldrich
35,90341221,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015688-09/213244409,,Inhibitor,30.6114,50.4547,,10,Single point of activity,-4.5141,4.5045,0.6644,-43.9547,6.5,-3,0 0 0 0 0 0 0 0 0 0 0,-41.0609,,,,,,15.4189,30.7549,,-0.783,,-3.0765,0.7476,,-1.1941,-3.4466,,8.7978,10.3122,,1.4319,-41.0609,,,,QC'd by SigmaAldrich
36,124881022,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015785-04/213244441,,Inactive,,,,0,,-4.8641,4.9549,0.4763,29.3671,-5.6295,4,0 0 1 0 0 0 0 0 0 0 1,-24.7243,,,,,,1.908,9.9918,,38.7726,,-24.6391,-3.7046,,-15.2225,2.8621,,-7.1254,-6.668,,23.9545,-24.7243,,,,QC'd by Labotest
37,124894250,54675783,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183044-01/213244424,,Inactive,,,,0,,-4.9641,4.095,0.6879,12.6468,-20.0425,4,0 0 0 0 0 0 0 0 0 0 0,12.3899,,,,,,-14.793,1.5225,,-24.4503,,-24.4467,-28.2421,,-19.4782,-30.8439,,-20.0042,-16.3953,,10.0387,12.3899,,,,QC'd by Vitas
38,124894552,60810,C1CN(CCN1CCCC(=O)NC2C3=CC=CC=C3CSC4=CC=CC=C24)C5=CC=C(C=C5)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183837-01/213244362,,Inactive,,,,0,,-7.5141,0.2,0.349,-23.2942,12,4,0 0 0 0 0 0 0 0 0 0 0,-20.6947,,,,,,7.168,-7.5063,,-6.4724,,-3.1667,-4.1882,,-12.7583,-21.4819,,-7.4556,3.738,,-23.5785,-20.6947,,,,QC'd by Pharmaron
39,144204548,5447130,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00090686-04/213244388,,Inactive,,,,0,,-4.3141,4.9549,0.4836,38.6049,-2.821,4,0 0 0 0 0 0 0 0 0 0 0,28.5717,,,,,,-5.3631,3.1396,,-2.713,,7.2016,0.6322,,-1.5223,9.1937,,0.7983,-23.4371,,-16.4144,28.5717,,,,QC'd by SigmaAldrich
40,144206432,65494,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00247355-02/213244457,,Inactive,,,,0,,,,,0,0,4,,-51.4619,,,,,,,-5.9401,-18.9391,,-24.0709,,-18,-15.2063,,-33.3329,-23.0584,,-13.9744,-5.718,,-15.2553,-51.4619,,,QC'd by RTI
41,144206821,3035267,CCOC(=O)OCC/C(=C(\C)/N(CC1=CN=C(N=C1N)C)C=O)/SC(=O)OCC.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00183026-01/213244407,,Inactive,,,,0,,-8.9141,4.9549,0.4064,5.7189,-29.7739,4,0 0 0 0 0 0 0 0 0 0 0,0.2841,,,,,,-21.1134,6.0351,,11.9912,,0.4246,-14.964,,11.4796,23.2641,,10.1801,8.3809,,-1.4652,0.2841,,,,QC'd by Pharmaron
42,144207074,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00186050-01/213244340,,Inactive,,,,0,,-6.4641,0.7,0.4343,6,-13.2736,4,0 0 0 0 0 0 0 0 0 0 1,-6.4947,,,,,,-17.4142,-0.912,,-20.6447,,-12.5599,-5.7055,,-0.3893,-3.5849,,-7.1565,17.8849,,-1.3822,-6.4947,,,,QC'd by SigmaAldrich
43,144212140,520098,CCC(C)C1=NC=CN=C1OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00256160-01/213244399,,Inactive,,,,0,,,,,0,0,4,,-4.7251,,,,,,,-11.9637,18.949,,-9.9045,,3.4568,-15.6421,,-0.4562,13.7944,,-5.8023,-21.5047,,-10.482,-4.7251,,,QC'd by SIGMA
