PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
11,174006517,45375953,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346654-01/212314201,,Inhibitor,0.0031,125.2859,100,Complete curve; high efficacy,-8.5141,1,0.9567,-125.2859,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-124.1908,,,,,,-9.9489,-67.5166,,-101.8659,,-112.6372,,-120.209,-122.8803,,-125.0358,,-124.4311,-124.9208,,-120.7108,,-124.1908,,,,QC'd by Selleck
12,174007002,73265328,C[C@@H]1C(=O)N([C@@H]2CS[C@@H]([C@@H](C(=O)N([C@@H](C(=O)OC[C@@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@H](COC(=O)[C@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00163548-02/212314643,,Inhibitor,0.0061,132.1782,100,Complete curve; high efficacy,-8.2141,1,0.9389,-132.1782,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-128.332,,,,,,-7.9945,-21.4351,,-86.9264,,-129.6905,,-125.4957,-128.7139,,-126.2194,,-125.9005,-134.3275,,-124.8347,,-128.332,,,,QC'd by Cayman
13,174007092,3003931,CC(=NNC(=S)N1CCC1)C2=CC=CC=N2,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00347952-01/212314286,,Inhibitor,0.0385,150.5507,100,Complete curve; high efficacy,-7.4141,1,0.9072,-150.5507,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-170.1153,,,,,,-15.229,0.5001,,-0.6376,,-56.5528,,-130.8448,-118.5368,,-139.3016,,-130.2011,-121.8701,,-173.0468,,-170.1153,,,,QC'd by XcessBio
14,174007160,73265348,C[C@H]1CC(=CC=C[C@@H]([C@@H](OC(=O)C(=CC(=C[C@H]([C@H]1O)C)C)OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)C,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00162409-03/212315355,,Inhibitor,0.0343,156.8426,100,Complete curve; high efficacy,-7.4641,1,0.9575,-156.8426,0,-1.1,0 0 0 1 0 0 0 0 0 0 0,-140.6873,,,,,,-4.1467,0.1464,,-2.0163,,1.1542,,-123.4429,-154.295,,-156.5295,,-153.1756,-152.8475,,-149.4593,,-140.6873,,,,QC'd by AG Scientific
15,174007194,3054,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00090749-11/212315359,,Inhibitor,0.0137,120.1351,100,Complete curve; high efficacy,-7.8641,1,0.9582,-120.1351,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-115.5218,,,,,,-38.2754,-8.4594,,-59.6038,,-67.9554,,-111.0055,-114.5724,,-118.9834,,-119.4204,-121.3486,,-120.0822,,-115.5218,,,,QC'd by Microsource
16,124882270,73265412,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@@H]4CC[C@@]5([C@@H](CC[C@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00016447-02/212315234,,Inhibitor,0.0544,134.5714,99,Complete curve; high efficacy,-7.2641,1,0.9753,-134.5714,0,-1.1,0 0 0 1 0 0 0 0 0 0 0,-130.5175,,,,,,2.0681,5.2865,,2.5981,,19.5504,,-91.4647,-113.9166,,-128.568,,-133.5034,-130.5702,,-128.3728,,-130.5175,,,,QC'd by SIGMA
17,124892475,5978,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00163700-04/212313874,,Inhibitor,0.0061,100,99,Complete curve; high efficacy,-8.2141,1,0.8517,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-108.3926,,,,,,2.9056,-3.1346,,-87.5736,,-88.1345,,-91.4226,-112.0974,,-105.515,,-112.8739,-106.0922,,-112.381,,-108.3926,,,,QC'd by BIOMOL
18,124893212,220401,CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00166035-02/212313882,,Inhibitor,0.0054,100,99,Complete curve; high efficacy,-8.2641,1,0.8091,-100,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-98.6176,,,,,,15.6132,-5.8025,,-82.8736,,-83.5205,,-97.2774,-109.6703,,-106.7643,,-102.8691,-107.9993,,-110.3768,,-98.6176,,,,QC'd by FLUKA
19,137275931,24882589,CC1=NC2=CN=C3C=CC(=CC3=C2N1C4=CC=C(C=C4)C(C)(C)C#N)C#CC5=CN=CC=C5,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263088-01/212314202,,Inhibitor,0.1086,154.08,99,Complete curve; high efficacy,-6.9641,1,0.925,-154.08,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-142.8258,,,,,,23.1519,5.6386,,0.5233,,-1.3833,,-55.8046,-144.6843,,-120.1028,,-141.3642,-175.8904,,-141.5532,,-142.8258,,,,QC'd by ChemAxon
20,174006500,25207689,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)S(=O)(=O)C,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00345851-01/212314149,,Inhibitor,0.1219,155.8722,99,Complete curve; high efficacy,-6.9141,1,0.9862,-155.8722,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-150.4137,,,,,,10.7047,0.9044,,1.0528,,-18.6686,,-67.7267,-107.2661,,-120.3716,,-153.5716,-156.9016,,-158.4067,,-150.4137,,,,QC'd by SynKinase
