PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000097126 uM,Activity at 0.0000291954 uM,Activity at 0.0000923421 uM,Activity at 0.0002769992 uM,Activity at 0.0005418107 uM,Activity at 0.0009682458 uM,Activity at 0.00270 uM,Activity at 0.00558 uM,Activity at 0.00871 uM,Activity at 0.017 uM,Activity at 0.027 uM,Activity at 0.074 uM,Activity at 0.157 uM,Activity at 0.240 uM,Activity at 0.666 uM,Activity at 1.337 uM,Activity at 2.154 uM,Activity at 5.995 uM,Activity at 11.92 uM,Activity at 19.39 uM,Activity at 53.90 uM,Activity at 109.7 uM,Activity at 143.7 uM,Activity at 406.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,124881348,5102,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015901-02/213244666,,Inhibitor,0.0153,86.985,96,Complete curve; high efficacy,-7.8141,1.1,0.997,-95.0606,-8.0756,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.0215,,,,,,-12.1463,-19.8654,,-37.6534,,-65.3528,-82.5925,,-87.8011,-92.8832,,-93.5993,-94.8098,,-96.3366,-99.0215,,,,QC'd by Microsource
2,174006556,204100,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F,Active,95,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00346582-01/213244539,,Inhibitor,0.0153,100.5037,95,Complete curve; high efficacy,-7.8141,0.91,0.9976,-91.3167,9.187,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.6835,,,,,,1.4468,-5.0508,,-31.2561,,-53.086,-72.2478,,-85.8042,-87.8132,,-90.2153,-89.9539,,-90.1465,-91.6835,,,,QC'd by Selleck
3,174007463,14957,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00017338-05/213244654,,Inhibitor,0.0343,87.4818,94,Complete curve; high efficacy,-7.4641,3.0654,0.9934,-94.166,-6.6842,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.5442,,,,,,-14.6114,-4.7509,,-2.4816,,-33.4546,-90.9681,,-93.3762,-93.0382,,-93.6415,-93.3783,,-93.2644,-94.5442,,,,QC'd by SantaCruz Bio
4,385219838,65452,CC[C@H]([C@H]1[C@H](C[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C)C(=O)O,Active,94,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00167550-06/213244576,,Inhibitor,0.0627,125.115,94,Complete curve; high efficacy,-7.2029,0.6,0.9928,-102.5736,22.5414,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9743,,,,,,,12.7325,-3.1323,,-21.8678,,-33.3256,-50.2029,,-76.9863,-89.8242,,-93.8296,-96.2077,,-99.1574,-99.9743,,,QC'd by SIGMA
5,124883112,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Active,93,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00017358-03/213244560,,Inhibitor,0.0544,84.2539,93,Complete curve; high efficacy,-7.2641,1,0.9307,-93.9334,-9.6795,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.8823,,,,,,-18.71,1.9132,,-41.0299,,-24.1741,-61.6727,,-80.001,-87.404,,-89.9493,-93.0127,,-93.9144,-94.8823,,,,QC'd by Timtec
6,385219837,16667711,CC1C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)OC(C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C,Active,91,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00178679-02/213244645,,Inhibitor,0.1534,88.5031,91,Complete curve; high efficacy,-6.8141,4.045,0.9966,-98.1514,-9.6484,-1.1,0 0 0 0 0 0 1 0 0 0 0,-100.3593,,,,,,-14.7842,-5.1022,,-9.0832,,-11.5298,-13.2301,,-84.6338,-55.5977,,-96.9109,-97.8236,,-98.4463,-100.3593,,,,QC'd by Microsource
7,90341111,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015735-08/213244668,,Inhibitor,0.8627,102.5997,88,Complete curve; high efficacy,-6.0641,1.9673,0.9926,-101.5374,1.0624,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.5465,,,,,,6.6892,-6.2432,,4.7019,,1.3876,-1.4131,,-9.0336,-38.718,,-93.7386,-98.5367,,-99.5318,-99.5465,,,,QC'd by SigmaAldrich
8,26754607,73549,C1=CC=C2C(=C1)C(=O)N3C4=CC=CC=C4C(=O)C3=N2,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00160337-02/213244631,,Inhibitor,1.2187,86.592,87,Complete curve; high efficacy,-5.9141,1.4641,0.9737,-92.6201,-6.0281,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.7035,,,,,,-9.0416,-12.5419,,0.5774,,-5.9113,-15.6282,,-0.8761,-33.2547,,-73.2536,-82.5198,,-87.9355,-94.7035,,,,QC'd by BIOMOL
9,90340946,2993,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-lasv-f1/NCGC00015339-05/213244643,,Inhibitor,1.0861,94.0146,87,Complete curve; high efficacy,-5.9641,1,0.9795,-98.7444,-4.7298,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.8082,,,,,,-2.6307,-1.4082,,-3.2569,,-6.4269,-22.4467,,-21.6344,-31.8447,,-74.5627,-85.305,,-91.9051,-96.8082,,,,QC'd by SigmaAldrich
