PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,174007360,6167,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00025125-20/212315874,,Inhibitor,0.0007,100,100,Complete curve; high efficacy,-9.1641,1,0.8525,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-101.4811,,,,,,-59.6532,-81.6202,,-90.5262,,-89.9418,,-100.7869,-105.467,,-95.1524,,-90.5516,-105.8153,,-105.5572,,-101.4811,,,,QC'd by Microsource
2,137275909,25167777,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,Active,99,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250408-01/212316119,,Inhibitor,0.0343,125.4439,99,Complete curve; high efficacy,-7.4641,1,0.9869,-125.4439,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-127.6778,,,,,,-6.3062,-3.1106,,-22.0052,,-63.6659,,-83.0701,-105.8671,,-120.2725,,-133.1676,-119.5036,,-120.5221,,-127.6778,,,,QC'd by Sequoia
3,124882897,73265389,C[C@H]1CCCC=CC2C[C@@H](C[C@@H]2[C@@H](C=CC(=O)O1)O)O,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017254-02/212315881,,Inhibitor,0.0109,100,97,Complete curve; high efficacy,-7.9641,1,0.9625,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.0782,,,,,,-12.7064,-21.103,,-31.3681,,-79.8712,,-95.2751,-95.7827,,-94.7113,,-92.1289,-97.9316,,-100.064,,-94.0782,,,,QC'd by Tocris
4,124892475,5978,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00163700-04/212315786,,Inhibitor,0.0153,100,97,Complete curve; high efficacy,-7.8141,1,0.8948,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.7198,,,,,,0.4926,-4.2975,,-61.2526,,-57.3682,,-69.0279,-95.67,,-86.0522,,-92.8979,-91.2071,,-102.8055,,-92.7198,,,,QC'd by BIOMOL
5,174007006,73265330,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@@H]4CCO,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346656-01/212316139,,Inhibitor,0.0485,160.6463,97,Complete curve; high efficacy,-7.3141,1,0.9531,-122.8935,37.7528,-1.1,0 0 0 0 0 0 0 0 0 0 0,-120.8785,,,,,,18.2749,35.2293,,13.3606,,13.2758,,-85.2996,-107.916,,-110.1683,,-115.3311,-122.0742,,-115.8174,,-120.8785,,,,QC'd by Selleck
6,174007436,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Active,97,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00022001-14/212315819,,Inhibitor,0.0153,100,97,Complete curve; high efficacy,-7.8141,1,0.8415,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.5382,,,,,,4.906,4.2661,,-59.3427,,-62.391,,-79.666,-85.8149,,-82.4011,,-93.4654,-85.2393,,-84.2423,,-87.5382,,,,QC'd by Microsource
7,124893212,220401,CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00166035-02/212315794,,Inhibitor,0.0172,100,96,Complete curve; high efficacy,-7.7641,1,0.9184,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-100.3718,,,,,,2.0946,1.774,,-56.4062,,-44.4722,,-89.2527,-108.217,,-97.1356,,-98.878,-109.3289,,-104.8115,,-100.3718,,,,QC'd by FLUKA
8,174006464,51358113,C1=CC(=CC(=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CN=C(C=C5)N)C(F)(F)F,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263216-02/212316118,,Inhibitor,0.0054,85.2488,96,Complete curve; high efficacy,-8.2641,1,0.9654,-85.2488,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-85.8045,,,,,,-14.4682,-28.9817,,-47.3069,,-74.6402,,-87.2193,-88.2493,,-78.3313,,-87.6021,-79.2945,,-80.2556,,-85.8045,,,,QC'd by Tocris
9,174006556,204100,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346582-01/212315888,,Inhibitor,0.0217,100,96,Complete curve; high efficacy,-7.6641,1,0.9244,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-114.1742,,,,,,-3.8583,-5.2106,,-17.1284,,-56.9281,,-86.2267,-121.268,,-92.452,,-92.7231,-93.3667,,-103.2459,,-114.1742,,,,QC'd by Selleck
10,174007002,73265328,C[C@@H]1C(=O)N([C@@H]2CS[C@@H]([C@@H](C(=O)N([C@@H](C(=O)OC[C@@H](C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)[C@H](NC(=O)[C@H](COC(=O)[C@H](N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,Active,96,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00163548-02/212316555,,Inhibitor,0.0172,100,96,Complete curve; high efficacy,-7.7641,1,0.9562,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.2504,,,,,,2.7804,4.5033,,-41.852,,-58.8573,,-90.3166,-90.7243,,-109.8694,,-98.7579,-107.9339,,-104.4596,,-99.2504,,,,QC'd by Cayman
