PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000389080 uM,Activity at 0.0001066275 uM,Activity at 0.0001907270 uM,Activity at 0.0004536066 uM,Activity at 0.0008842259 uM,Activity at 0.0009786459 uM,Activity at 0.00290 uM,Activity at 0.00495 uM,Activity at 0.00878 uM,Activity at 0.016 uM,Activity at 0.026 uM,Activity at 0.048 uM,Activity at 0.088 uM,Activity at 0.221 uM,Activity at 0.459 uM,Activity at 0.757 uM,Activity at 1.175 uM,Activity at 2.248 uM,Activity at 5.820 uM,Activity at 11.46 uM,Activity at 19.13 uM,Activity at 24.67 uM,Activity at 57.49 uM,Activity at 115.4 uM,Activity at 221.8 uM,Activity at 288.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,124882897,73265389,C[C@H]1CCCC=CC2C[C@@H](C[C@@H]2[C@@H](C=CC(=O)O1)O)O,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00017254-02/212313201,,Inhibitor,0.0243,134.0183,100,Complete curve; high efficacy,-7.6141,1,0.971,-134.0183,0,-1.1,1 0 0 0 0 0 0 0 0 0 0,-134.8851,,,,,,34.3214,3.8472,,-28.147,,-72.8118,,-114.7124,-126.6029,,-124.1299,,-125.9086,-135.3721,,-133.2273,,-134.8851,,,,QC'd by Tocris
2,124886756,73265225,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=CC=C[C@H](C[C@H](C(=O)[C@@H]([C@@H](C(=C[C@H](C(=O)C[C@H](OC(=O)[C@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@@H](C)C[C@@H]4CC[C@@H]([C@@H](C4)OC)O)C)C)O)OC)C)C)C)OC,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00021305-08/212313428,,Inhibitor,0.0027,100,100,Complete curve; high efficacy,-8.5641,1,0.8448,-100,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.3963,,,,,,-34.8518,-55.7118,,-61.7699,,-90.9931,,-91.349,-94.2426,,-90.7397,,-89.7779,-91.5952,,-92.4809,,-98.3963,,,,QC'd by Selleck
3,124950713,10126189,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00242514-01/212312542,,Inhibitor,0.1086,183.7537,100,Complete curve; high efficacy,-6.9641,1,0.9843,-183.7537,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-180.0314,,,,,,9.1986,-1.3716,,-2.7358,,-13.5137,,-72.9055,-142.9983,,-162.892,,-172.8618,-177.4006,,-182.2953,,-180.0314,,,,QC'd by Selleck
4,137275830,53396328,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00182868-02/212312341,,Inhibitor,0.0611,177.1943,100,Complete curve; high efficacy,-7.2141,1,0.9589,-150.9832,26.2111,-1.1,0 0 0 0 1 0 0 0 0 0 0,-142.5102,,,,,,7.1055,17.5177,,7.4378,,0.7918,,-142.9725,-146.3016,,-144.8564,,-142.4788,-144.7193,,-142.6013,,-142.5102,,,,QC'd by ChemAxon
5,137275906,57441923,C[C@@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@H]5C,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250405-01/212313423,,Inhibitor,0.0153,142.7021,100,Complete curve; high efficacy,-7.8141,1,0.956,-142.7021,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-150.5296,,,,,,-25.6675,-33.6992,,-63.7435,,-76.2556,,-106.4154,-134.6218,,-142.8952,,-142.3064,-142.1373,,-145.9432,,-150.5296,,,,QC'd by Selleck
6,137275909,25167777,COC1=C(C=C(C=N1)C2=CC3=C(C=CN=C3C=C2)C4=CN=NC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00250408-01/212313439,,Inhibitor,0.0097,122.8044,100,Complete curve; high efficacy,-8.0141,1,0.9853,-122.8044,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-124.8012,,,,,,1.4469,-30.7872,,-60.1123,,-97.6048,,-103.9636,-118.63,,-119.0054,,-119.8731,-123.8518,,-121.7755,,-124.8012,,,,QC'd by Sequoia
7,137275931,24882589,CC1=NC2=CN=C3C=CC(=CC3=C2N1C4=CC=C(C=C4)C(C)(C)C#N)C#CC5=CN=CC=C5,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263088-01/212313434,,Inhibitor,0.0432,137.412,100,Complete curve; high efficacy,-7.3641,1,0.9865,-137.412,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-137.2202,,,,,,-17.9865,-4.7271,,-21.8898,,-46.7024,,-88.3081,-125.4083,,-129.7423,,-134.8521,-137.9639,,-130.1657,,-137.2202,,,,QC'd by ChemAxon
8,137276067,44599690,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00263223-01/212313344,,Inhibitor,0.0485,156.5967,100,Complete curve; high efficacy,-7.3141,1,0.9882,-156.5967,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-159.143,,,,,,-2.8522,-14.3406,,-29.7687,,-38.2188,,-102.4573,-134.6887,,-146.9585,,-152.3685,-157.7768,,-147.9614,,-159.143,,,,QC'd by Cayman
9,174006442,25260757,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346635-01/212313369,,Inhibitor,0.0049,125.9672,100,Complete curve; high efficacy,-8.3141,1,0.9237,-125.9672,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-130.1068,,,,,,-35.5139,-58.6845,,-74.6098,,-89.3018,,-113.217,-119.9904,,-135.4486,,-130.1905,-131.2011,,-123.76,,-130.1068,,,,QC'd by Selleck
10,174006456,44187953,CCN1C2=C(C(=NC(=N2)C3=CC=C(C=C3)NC(=O)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C)N6CCOCC6)N=N1,Active,100,http://assay.nih.gov/htsws/rest/display/TRND-lasv-o1/NCGC00346649-01/212313393,,Inhibitor,0.0243,155.8091,100,Complete curve; high efficacy,-7.6141,1,0.9931,-126.8924,28.9167,-1.1,0 0 0 0 0 0 0 0 0 0 0,-130.5478,,,,,,21.6453,6.3723,,-1.2883,,-55.2812,,-93.2533,-110.9401,,-119.3715,,-125.314,-119.8557,,-128.7954,,-130.5478,,,,QC'd by Selleck
