"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1024585";"F";"Inhibition of Nipah virus-mediated cell fusion infected in african green monkey Vero cells assessed as reduction in virus-induced syncytium formation after 24 hrs relative to control";"Henipavirus nipahense";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"Vero";"";"CHEMBL1158450";"19499921";"10.1021/jm900411s";"2009";"J Med Chem";"52";"4257";"4265";"";"";"";"";"";""
"CHEMBL3757549";"F";"Antiviral activity against Nipah virus";"Henipavirus nipahense";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL3751697";"26750250";"10.1016/j.bmcl.2015.12.061";"2016";"Bioorg Med Chem Lett";"26";"928";"930";"";"";"";"";"";""
"CHEMBL5108811";"F";"Antiviral activity against Nipah virus infected in African green monkey assessed as animal survival at 10 mg/kg, iv qd relative to control";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5107958";"35291757";"10.1021/acsmedchemlett.1c00624";"2022";"ACS Med Chem Lett";"13";"338";"347";"";"";"";"";"";""
"CHEMBL5108754";"F";"Antiviral activity against Nipah B2004 infected in human NCI-H358 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"Henipavirus nipahense";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"B2004";"Scientific Literature";"3052225";"";"";"NCI-H358";"";"CHEMBL5107958";"35291757";"10.1021/acsmedchemlett.1c00624";"2022";"ACS Med Chem Lett";"13";"338";"347";"";"";"";"";"";""
"CHEMBL5230484";"F";"Antiviral activity against NiV by virus titre reduction assay";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5230088";"32563812";"10.1016/j.ejmech.2020.112527";"2020";"Eur J Med Chem";"201";"112527";"112527";"";"";"";"";"";""
"CHEMBL5616952";"F";"Antiviral activity against Nipah virus upto 100 uM";"Henipavirus nipahense";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5614423";"39216384";"10.1016/j.bmc.2024.117898";"2024";"Bioorg Med Chem";"112";"117898";"117898";"";"";"";"";"";""
"CHEMBL5230485";"F";"Antiviral activity against NiV by antigen reduction assay";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5230088";"32563812";"10.1016/j.ejmech.2020.112527";"2020";"Eur J Med Chem";"201";"112527";"112527";"";"";"";"";"";""
"CHEMBL5108755";"F";"Potency index, ratio of EC50 of GS-441524 to EC50 of test compound for antiviral activity against Nipah B2004 infected in human NCI-H358 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"B2004";"Scientific Literature";"3052225";"";"";"NCI-H358";"";"CHEMBL5107958";"35291757";"10.1021/acsmedchemlett.1c00624";"2022";"ACS Med Chem Lett";"13";"338";"347";"";"";"";"";"";""
"CHEMBL5230487";"F";"Antiviral activity against NiV by cytopathic effect assay";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5230088";"32563812";"10.1016/j.ejmech.2020.112527";"2020";"Eur J Med Chem";"201";"112527";"112527";"";"";"";"";"";""
"CHEMBL5230486";"F";"Antiviral activity against NiV by reporter assay";"Henipavirus nipahense";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"3052225";"";"";"";"";"CHEMBL5230088";"32563812";"10.1016/j.ejmech.2020.112527";"2020";"Eur J Med Chem";"201";"112527";"112527";"";"";"";"";"";""
