"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4065616";"REMDESIVIR";"4.0";"602.59";"2";"2.31";"GS-5734; 8b";"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5230487";"Antiviral activity against NiV by cytopathic effect assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5230088";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"0.029"
"CHEMBL5205032";"";"None";"588.56";"2";"2.06";"1; GS-5734";"CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"Ratio";"'='";"32.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5108753";"Potency index, ratio of EC50 of GS-441524 to EC50 of test compound for antiviral activity against Nipah M1999 infected in human HeLa cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"HeLa";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"32.0"
"CHEMBL5205032";"";"None";"588.56";"2";"2.06";"1; GS-5734";"CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"Ratio";"'='";"77.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL5108755";"Potency index, ratio of EC50 of GS-441524 to EC50 of test compound for antiviral activity against Nipah B2004 infected in human NCI-H358 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"77.0"
"CHEMBL2016757";"GS-441524";"1.0";"291.27";"0";"-1.86";"2";"N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O";"EC50";"'='";"2460.0";"nM";"5.61";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5108754";"Antiviral activity against Nipah B2004 infected in human NCI-H358 cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"NCI-H358";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"2.46"
"CHEMBL4065616";"REMDESIVIR";"4.0";"602.59";"2";"2.31";"GS-5734; 8b";"CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5230486";"Antiviral activity against NiV by reporter assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5230088";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"";"";"0.029"
"CHEMBL1650595";"AR-12";"1.0";"460.46";"1";"5.76";"63; OSU-03012, AR-12";"NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1";"EC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5131693";"Antiviral activity against Luc-tagged NiV infected in HEK293T cells assessed as inhibition of viral replication";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"HEK293T";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5131375";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"";"";"0.3"
"CHEMBL5205032";"";"None";"588.56";"2";"2.06";"1; GS-5734";"CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"Survival";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5108811";"Antiviral activity against Nipah virus infected in African green monkey assessed as animal survival at 10 mg/kg, iv qd relative to control";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"DOSE = 10.0 mg.kg-1 | Route: IV";"";"";"100.0"
"CHEMBL4449833";"";"None";"232.24";"0";"-0.02";"7b";"Nc1nccc2c1ncn2C1=CC[C@H](O)[C@@H]1O";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4336408";"Antiviral activity against Nipah virus Malaysia";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL4334462";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";"";"";"";""
"CHEMBL5205032";"";"None";"588.56";"2";"2.06";"1; GS-5734";"CCC(CC)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1";"EC50";"'='";"66.0";"nM";"7.18";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5108752";"Antiviral activity against Nipah M1999 infected in human HeLa cells assessed as reduction in viral replication incubated for 48 to 144 hrs by reporter virus assay";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"HeLa";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5107958";"1";"Scientific Literature";"ACS Med Chem Lett";"2022";"None";"Time_Lower = 48.0 hrs | Time_Upper = 144.0 hrs";"";"";"0.066"
"CHEMBL1650595";"AR-12";"1.0";"460.46";"1";"5.76";"63; OSU-03012, AR-12";"NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1";"EC50";"'='";"300.0";"nM";"6.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5131851";"Antiviral activity against Luc-tagged NiV";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5131375";"1";"Scientific Literature";"J Med Chem";"2022";"None";"";"";"";"0.3"
"CHEMBL5618812";"";"None";"607.58";"2";"3.08";"12";"CNc1nc(N)ncc1-c1cn([C@@H]2O[C@H](CO[P@@](=O)(N[C@@H](C)C(=O)OC(C)C)Oc3ccccc3)[C@@H](O)[C@@]2(C)F)cn1";"Activity";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL5616952";"Antiviral activity against Nipah virus upto 100 uM";"F";"BAO_0000218";"organism-based format";"Henipavirus nipahense";"None";"None";"None";"None";"";"";"";"CHEMBL615055";"Nipah virus";"Henipavirus nipahense";"ORGANISM";"CHEMBL5614423";"1";"Scientific Literature";"Bioorg Med Chem";"2024";"None";"DOSE <= 100.0 microM";"";"";""
