starter_Canonical_SMILES,Canonical_SMILES,source_DataBase,pPotency_prediction,pPotency_std,pPotency_lower_95CI,pPotency_upper_95CI,IC50(M)_prediction,IC50(M)_lower_95CI,IC50(M)_upper_95CI
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@]12Oc3nc4c(=O)[nH]c(N)nc4n3[C@H](O[C@@H]1COCO)[C@@H]2O,GuanosineOnly_gen3,5.290041150090145,0.4758649677689116,4.357345813263079,6.222736486917212,5.128127918649124e-06,5.987747982330927e-07,4.391917633746394e-05
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,COC(C)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,XanthosineOnly_gen3,5.2900350830139375,0.4748501637987261,4.359328761968435,6.22074140405944,5.128199558887497e-06,6.015318064608072e-07,4.371910252012152e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)O[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(=O)[nH]c(N)nc21,GuanosineOnly_gen3,5.2900284567339,0.4761317602774642,4.356810206590071,6.223246706877729,5.128277803366799e-06,5.980717557622181e-07,4.397337439048145e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,COC(=O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@]1(C)O,InosineOnly_gen3,5.2900280917141975,0.4758034650453402,4.35745330022533,6.222602883203065,5.128282113629311e-06,5.989590300083266e-07,4.390830777959004e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C[C@]12OC(O)COC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,InosineOnly_gen3,5.29002735006928,0.4763083792114048,4.356462926814926,6.2235917733236334,5.128290871206884e-06,5.97596749657914e-07,4.400855137642327e-05
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@]2(CO2)[C@@H]1O,GuanosineOnly_gen3,5.290021587360481,0.4754683303567501,4.35810365986125,6.221939514859711,5.128358919603145e-06,5.998746162849356e-07,4.384260392805289e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(O)[C@@]12OC[C@H]1O[C@@H](n1cnc3c(N)ncnc31)[C@@H]2O,AdenosineOnly_gen3,5.290019269182319,0.4752710597374719,4.358487992096874,6.221550546267764,5.12838629384315e-06,6.004121246252324e-07,4.380382224175525e-05
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CO[C@H]1[C@@H](OC(C)O)[C@]2(n3cnc4c(=O)[nH]cnc43)OC[C@H]1O2,InosineOnly_gen3,5.29001326686352,0.4760026818293477,4.357048010477998,6.222978523249042,5.128457172989591e-06,5.984411884701273e-07,4.394930275843015e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)O[C@@H]1[C@H](O)[C@H]2COc3nc4c(N)ncnc4n3[C@@H]1O2,AdenosineOnly_gen3,5.289996948408811,0.4746012148500693,4.359778567302675,6.220215329514947,5.128649876493527e-06,6.022609023276583e-07,4.367384542811809e-05
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC(O)OC[C@H]1O[C@@H]2[C@H](Oc3nc(N)c4ncn2c4n3)[C@@H]1O,AdenosineOnly_gen3,5.2899908654387024,0.4732381568325712,4.362444078046863,6.217537652830542,5.128721711719816e-06,6.05985659991893e-07,4.340661525986957e-05
