PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103169732,2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,Active,,,Potential missing data,Activity,Active
2,103255258,65663,CCOC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,Active,,,Potential missing data,Activity,Active
3,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Active,,,Potential missing data,Activity,Active
4,381838043,121304016,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,Active,,,Potential missing data,Activity,Active
5,475989504,163322265,C=CC[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
6,520004691,177382547,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CCC(=O)N)C(=O)OC)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
7,520010507,177382537,C1=CC=C(C=C1)C[C@@H](C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
8,520020168,170453202,C1=CC=C(C=C1)CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)CNC(=O)CCl,Active,,,Potential missing data,Activity,Active
9,520020226,177382539,C1=CC=C(C=C1)CNC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)CCl,Inactive,,,Potential missing data,Activity,Not Active
10,520041540,177382546,C=CC[C@@H](C(=O)N[C@@H](CC=C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)CNCC3=CC=CC=C3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
11,520041738,177382543,C=CC[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NCCN3CCOCC3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
12,520042724,177382542,CC(C)C[C@@H](C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
13,520044514,177382548,CC(C)C[C@@H](C(=O)NCC12CC3CC(C1)CC(C3)C2)N(CC4=CC=CC=C4)C(=O)CCl,Active,,,Potential missing data,Activity,Active
14,520044830,177382540,C=CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4,Active,,,Potential missing data,Activity,Active
15,520045578,177382538,C1=CC=C(C=C1)C[C@@H](C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4)NC(=O)CS,Active,,,Potential missing data,Activity,Active
16,520047465,177382535,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3)NC(=O)C=C,Active,,,Potential missing data,Activity,Active
17,520048299,177382534,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
18,520049197,177382541,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)NCC4=CC=CC=C4)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
19,520051923,177382545,CC(C)C[C@@H](C(=O)OC)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
20,520052540,177382536,CC(C)C[C@H](C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NCC3=CC=CC=C3)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
21,520052945,177382544,CC(C)C[C@@H](C(=O)NCC1=CC=CC=C1)NC(=O)[C@H](CC2=CNC3=CC=CC=C32)NC(=O)CCl,Active,,,Potential missing data,Activity,Active
