PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,312394094,118737647,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2.[Na+],Inactive,,,Potential missing data,Inhibition,%,Not Active
2,461563615,155903259,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,504796596,171843242,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](CCSC)C#N)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,504800670,171843250,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#CC(F)(F)F)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,504801708,171534254,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,504801988,171843245,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#CC4=CC=CC=C4)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,504803637,171843235,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C#C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,504809780,171843229,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#CC4=CC=C(C=C4)[N+](=O)[O-])C,Inactive,,,Potential missing data,Inhibition,%,Not Active
9,504811592,171534304,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#C)NC(=O)OCC2=CC=CC=C2,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,504816203,171843237,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COC3=CC=C(C=C3)C(F)(F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C#C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,504831631,166840714,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COC3=CC=C(C=C3)OC(F)(F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C#N)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
12,504832448,171534237,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](CCSC)C#C)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
13,504836143,171843264,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)COC3=CC=C(C=C3)C(F)(F)F)C(=O)N[C@@H](C[C@@H]4CCNC4=O)C#N)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
