PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103304672,9851116,CN1CCN(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC3=CC=CC=C3)/C=C/S(=O)(=O)C4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Toxic
2,103361822,455772,C1=CC=C(C=C1)C[C@@H](C=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,Unspecified,,,Potential missing data,Activity,Toxic
3,475980556,166626565,CC(C)OC1[C@H](CC2=CC=CC=C2O1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)N4CCN(CC4)C,Unspecified,,,Potential missing data,Activity,Non-Toxic
4,475981095,166626831,C1[C@@H](C(OC2=CC=CC=C21)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Non-Toxic
5,475982253,166627397,C1[C@@H](C(OC2=C1C=C(C=C2)F)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Non-Toxic
6,475983734,166628151,COC(=O)C1=CC2=C(C=C1)OC([C@H](C2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Activity,Non-Toxic
7,475983838,166628200,C1[C@@H](C(OC2=C1C=C(C=C2)Cl)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,Potential missing data,Activity,Non-Toxic
8,475984299,166628431,CCOC1[C@H](CC2=CC=CC=C2O1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)N4CCN(CC4)C,Unspecified,,,Potential missing data,Activity,Non-Toxic
9,475984427,166628494,CC(C)C(=O)OC1[C@H](CC2=CC=CC=C2O1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)N4CCN(CC4)C,Unspecified,,,Potential missing data,Activity,Non-Toxic
10,475985328,166628973,COC1=CC2=C(C=C1)OC([C@H](C2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Activity,Non-Toxic
11,475992514,166632525,CN1CCN(CC1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H]3CC4=CC=CC=C4OC3O,Unspecified,,,Potential missing data,Activity,Non-Toxic
12,475992834,166632684,CC1=CC2=C(C=C1)OC([C@H](C2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)O,Unspecified,,,Potential missing data,Activity,Non-Toxic
13,475995670,166634099,CCC(=O)OC1[C@H](CC2=CC=CC=C2O1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)N4CCN(CC4)C,Unspecified,,,Potential missing data,Activity,Non-Toxic
14,475998409,166635462,CC(=O)OC1[C@H](CC2=CC=CC=C2O1)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)N4CCN(CC4)C,Unspecified,,,Potential missing data,Activity,Non-Toxic
