PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6,
326,17504153,3640363,C1=CC=C2C(=C1)C(=C(N2CC(=O)O)C(=O)O)C=O,Inactive,0,,,-0.91,0.146883
327,49715986,24789769,CC(C)CS(=O)(=O)C1=NSC2=NC(=O)/C(=C\C3=CC=C(C=C3)OC(=O)C4=CC=CO4)/C(=N)N21,Inactive,0,,,-1.02,0.124438
328,51086478,16825531,COC1=CC=CC=C1CCNC(=O)C(=O)NCC2N(CCO2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,-1.05,1.8268
329,14727509,900806,CCOC1=C(C(=CC(=C1)C(=O)N)Br)OC,Inactive,0,,,-1.09,0.662767
330,14732355,9550250,COC1=C(C=C(C=C1)/C(=N/OC(=O)CSC2=CC=CC=C2)/N)OC,Inactive,0,,,-1.18,0.378443
331,17516410,4447969,CC1=NN(C(=C1C(C2=CC=CC=C2)C3=C(N(N=C3C)C4=CC=CC=C4)N)N)C5=CC=CC=C5,Inactive,0,,,-1.2,1.44353
332,49826994,1295575,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CO3,Inactive,0,,,-1.2,1.90654
333,24806899,2870407,C1COCCN1CC2=NC3=C(C=C(C=C3)Br)C(N2CC(=O)NN)C4=CC=CC=C4,Inactive,0,,,-1.22,1.40516
334,49665966,5928454,COC(=O)CC1COC2=CC=CC=C2N1C(=O)/C=C/C3=CC=CC=C3,Inactive,0,,,-1.27,1.67895
335,17406684,3962842,CNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)P(=O)(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,-1.41,2.92911
336,847588,649992,C1COCCN1C(=O)OC2=CC3=C(C=CC=C3OC(=O)N4CCOCC4)C=C2,Inactive,0,,,-1.43,1.34009
337,24793373,1214257,CC(=O)N(C)C1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl,Inactive,0,,,-1.52,1.83779
338,49671558,4794522,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C3=CC=CC=C3OC(F)F,Inactive,0,,,-1.54,0.981402
339,47202232,9585555,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)/C=N/NC(=S)N,Inactive,0,,,-1.63,0.538909
340,17510666,12005302,CC1=CC(=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)N4CCC5=CC=CC=C54)C,Inactive,0,,,-1.67,2.62723
341,863849,665102,CCN1C(=NN=C1SCC(=O)C(C)(C)C)COC2=CC=CC=C2,Inactive,0,,,-1.77,1.82665
342,17413872,2974727,CN(C1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)F)OC)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,-1.8,1.408
343,24823588,6246323,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)/C=C/C3=CC=C(C=C3)F,Inactive,0,,,-1.82,1.66117
344,50086550,2814665,COC(=O)C1=CC=CC=C1NC(=O)C2=CC3=C(C=C2)OCCCO3,Inactive,0,,,-1.82,0.621353
345,17515261,3257857,CCC1C(=O)N(C(=O)C(S1)CC)CC(=O)NC2=CC=C(C=C2)C(=O)OCC,Inactive,0,,,-1.86,0.634638
346,17403492,826461,C1=CC=C(C=C1)CN2C=C(C3=CC=CC=C32)/C=C/[N+](=O)[O-],Inactive,0,,,-1.9,0.916459
347,47203174,2898168,CC1=CC2=C(C=C1C)NC(=O)CC2C3=CC=CC=C3F,Inactive,0,,,-1.92,0.848448
348,49714295,20862125,CCC1=CC=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)OCC)S(=O)(=O)C3=C(NC(=O)NC3=O)C,Inactive,0,,,-2.02,0.263654
349,49647116,1831132,C1=CC=C(C(=C1)C(=O)NN2C(=O)/C(=C/C3=CC=C(C=C3)O)/SC2=S)O,Inactive,0,,,-2.09,1.78141
350,49826923,17379494,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)NC3=CC=CC=C3OC,Inactive,0,,,-2.19,2.60344
351,4258588,5741945,C1CN(CCN1C/C=C/C2=CC=CC=C2)C3CC(=O)N(C3=O)CC4=CC=CS4,Inactive,0,,,-2.24,2.133
352,17504819,738894,C1CC2=C(C1)SC(=C2C#N)NC(=S)NC(=O)C3=CC=CC=C3,Inactive,0,,,-2.58,1.24171
353,14745741,1189783,CCOC(=O)C1=C(OC2=C1C3=C(C4=CC=CC=C42)OCN(C3)CC5=CC=CC=N5)C,Inactive,0,,,-2.62,0.319967
354,51090130,16807543,CN(C)CCNC(=O)C(=O)NCC1N(CCO1)S(=O)(=O)C2=CC=C(C=C2)OC,Inactive,0,,,-2.75,1.05623
355,24782859,4182036,C1CC(OC1)CNC(=O)CCNC(=O)CN2C=NC3=CC=CC=C3C2=O,Inactive,0,,,-3.04,1.26658
356,50085563,2814640,CC(C)(C)C1=CC=C(C=C1)NC(=O)CSC2=NNC(=O)N2C3=CN=CC=C3,Inactive,0,,,-3.2,0.880019
357,842393,644661,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,Inactive,0,,,-3.21,0.539316
358,24802454,2870396,C1=CC=C(C=C1)C2C3=C(C=CC(=C3)Br)N=C(N2CC(=O)NN)C4=CC=CC=C4,Inactive,0,,,-3.37,0.860175
359,14746567,4181547,CC1=CC=C(C=C1)C2C3=C(NC4=C2C(=O)CC(C4)(C)C)ON=C3C,Inactive,0,,,-3.49,1.38508
360,17514671,3774350,CC1=C(C=C(C=C1)NC2=NC(=C(C(=N2)N3CCOCC3)[N+](=O)[O-])N)C,Inactive,0,,,-3.6,0.399501
361,24821556,16195219,COC1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)C(=O)N(C(=S)N3)C4=C(C=C(C=C4)OC)OC,Inactive,0,,,-3.66,1.10325
362,49679664,710241,CC1=CC=C(O1)/C=C/2\C(=O)NC(=S)N(C2=O)C3=CC(=CC=C3)OC,Inactive,0,,,-3.72,1.66424
363,4251951,3245569,COC1=C(C(=C(C=C1)NC(=O)CN2C3=C(C=C2C(=O)OC)SC=C3)OC)OC,Inactive,0,,,-3.74,1.88171
364,24786931,736374,C1=CC=C(C=C1)N2N=C3C=C(C(=CC3=N2)Cl)N,Inactive,0,,,-3.96,0.915234
365,22406679,4175307,CC1=CC=CC=C1NC2=NN=C(S2)SCC(=O)NC3=C(C=C(C=N3)C(F)(F)F)Cl,Inactive,0,,,-4.3,1.74492
366,14730808,2966450,CC(C1=NN=C(N1C)SCCOC2=CC=C(C=C2)OC)NC(=O)CC3=CC=C(C=C3)OC,Inactive,0,,,-4.4,1.80927
367,49822005,4220289,CCN1C=C(C=N1)C(=O)NC(=S)NC2=CC=CC=C2[N+](=O)[O-],Inactive,0,,,-4.69,0.815861
368,22416830,5349620,C1C2C=CC1C3C2C(=O)N(C3=O)/N=C/C4=CC=C(O4)C5=CC=CC=C5[N+](=O)[O-],Inactive,0,,,-4.74,0.54364
369,4261360,1299520,CC1(CC2=C(CO1)SC3=C2C(=O)N(C(=N3)C4=CC5=CC=CC=C5O4)N)C,Inactive,0,,,-4.84,0.695468
370,24827279,3992501,CC1=C(C(NC(=S)N1)C2=CC=C(O2)C3=CC=CC=C3C(=O)OC)C(=O)OC,Inactive,0,,,-5.03,0.327224
371,22413123,215090,CC1=NC2=CC=CC3=C2C(=CC=C3)N1C,Inactive,0,,,-5.09,0.333174
372,17413735,2963113,C1=CC(=C(C(=C1)Cl)CC(=O)NCCCN2C=CN=C2)F,Inactive,0,,,-5.28,1.04005
373,49679728,24762071,COC1=CC(=CC(=C1)CNCCC2=CNC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Inactive,0,,,-5.37,0.608961
374,4261064,1249482,CN(C)C1=NC(=NC(=N1)N)C2=NC3=CC=CC=C3S2,Inactive,0,,,-5.54,2.37927
375,49825630,6465235,C1=CC2=NON=C2C(=C1)S(=O)(=O)NC3=C(C=CC(=C3)F)F,Inactive,0,,,-5.56,0.844791
376,49825353,2229132,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)OCC(=O)NC3=CC=CC=C3F,Inactive,0,,,-6.06,1.12347
377,17408025,9563422,CC1=CC=C(C=C1)OCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Inactive,0,,,-6.4,0.148531
378,14740088,2057165,CC(C)CN(CCC(=O)O)CC(C)C,Inactive,0,,,-6.42,2.20738
379,17513585,722579,C1CCN(CC1)C(=S)C2=CC=C(O2)C3=CC=CC=C3Cl,Inactive,0,,,-6.96,0.235939
380,49826445,2951459,CC1=CC=C(O1)C(=O)C2=C(C(=O)N(C2C3=CC=C(C=C3)OC(C)C)CC4=CN=CC=C4)O,Inactive,0,,,-7.23,1.34042
