PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103510943,16204324,COC1=CC=CC(=C1)C(=O)OC2=CC(=CN=C2)Cl,Unspecified,,,Potential missing data,Stability,%,Unstable
2,103626913,25110701,C1=CC(=C2C=CNC2=C1)C(=O)OC3=CC(=CN=C3)Cl,Active,,,Potential missing data,Stability,%,Stable
3,461563615,155903259,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,Active,,,Potential missing data,Stability,%,Stable
4,482082314,155925842,C1=CC2=C(C=C1Cl)C=C(N2)C(=O)OC3=CC(=CN=C3)Cl,Unspecified,,,Potential missing data,Stability,%,Unstable
5,520003812,177378859,C1=CC(=CC=C1C(=O)OC2=CC(=CN=C2)Cl)I,Unspecified,,,Potential missing data,Stability,%,Unstable
6,520005031,177378873,C1=CC=C(C=C1)COC2=CC(=C(C=C2)C(=O)OC3=CC(=CN=C3)Cl)F,Unspecified,,,Potential missing data,Stability,%,Unstable
7,520006116,177378894,CCOC1=CC(=C(C=C1)C(=O)OC2=CC(=CN=C2)Br)F,Unspecified,,,Potential missing data,Stability,%,Unstable
8,520007958,177378877,COC1=C(C=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl)Cl,Unspecified,,,Potential missing data,Stability,%,Unstable
9,520010864,177378858,C1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC3=CC(=CN=C3)Cl,Unspecified,,,Potential missing data,Stability,%,Unstable
10,520011954,177378856,C1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC3=CC(=CN=C3)Cl,Unspecified,,,Potential missing data,Stability,%,Unstable
