PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103163858,130313,CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,103204039,6234,C1[C@H](C(=O)NO1)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,103692894,65894,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)[C@H]3CCCO3)C(=O)O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,103735730,5282372,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.O,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,104252881,11082,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N)C(=O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,124970871,9835049,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,504795263,57231819,CCC1C(CN(C1=O)S(=O)(=O)C)C(=O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,504795263,57231819,CCC1C(CN(C1=O)S(=O)(=O)C)C(=O)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
9,504811509,133361,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
10,504819784,172457033,C1[C@@H](C(=O)N2N1CC(=C2C(=O)O)C(=O)N(CC3=CC=CC=C3)CC4=CC=CC=C4)N.C(=O)(C(F)(F)F)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,504834606,6998927,C1C(=C(N2[C@H](S1)[C@@H](C2=O)N)C(=O)O)Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
