PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,374265357,134130778,CC(C)[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)/C=C/C2=CC=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
2,374266034,134131203,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)/C=C/C2=CC=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
3,461540148,146672237,C1CNC(=O)[C@@H]1C[C@@H](C=O)NC(=O)[C@H](CC2=CC(=CC=C2)F)NC(=O)C3=CC4=CC=CC=C4N3,Unspecified,,,Potential missing data,Activity,Non-Toxic
4,482049183,162515885,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2=CC3=CC=CC=C3N2,Unspecified,,,Potential missing data,Activity,Non-Toxic
5,482049588,168270957,CCC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)/C=C/C2=CC=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
6,482051081,168271977,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2CCOCC2,Unspecified,,,Potential missing data,Activity,Non-Toxic
7,482051876,162515877,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2=CC=CO2,Unspecified,,,Potential missing data,Activity,Non-Toxic
8,482053807,162515907,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)CCC2=CC=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
9,482054267,162515909,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2CCCCC2,Unspecified,,,Potential missing data,Activity,Non-Toxic
10,482054853,162515872,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)/C=C/C2=CC=C(C=C2)C3=CC=CC=C3,Unspecified,,,Potential missing data,Activity,Non-Toxic
11,482055391,162515888,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](C(C)C)NC(=O)C2=CN=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
12,482056532,157049313,C#CC[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)/C=C/C2=CC=CC=C2,Unspecified,,,Potential missing data,Activity,Non-Toxic
13,482057799,168276860,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCCNC1=O)C=O)NC(=O)[C@H](CC2CCCCC2)NC(=O)/C=C/C3=CC=CC=C3,Unspecified,,,Potential missing data,Activity,Non-Toxic
