PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103493686,403788,B1(C2=CC=CC=C2CO1)O,Unspecified,,,Potential missing data,Inhibition,%,NA
2,174499310,46193904,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(F)(F)F)O,Unspecified,,,Potential missing data,Inhibition,%,NA
3,404655478,3813634,B1(C2=C(CO1)C=CC(=C2)[N+](=O)[O-])O,Unspecified,,,Potential missing data,Inhibition,%,NA
4,404658921,3770187,B1(C2=C(CO1)C=CC(=C2)N)O,Unspecified,,,Potential missing data,Inhibition,%,NA
5,404667481,24966977,B1(C2=C(CO1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)O,Unspecified,,,Potential missing data,Inhibition,%,NA
6,482046749,168269009,B(C1=CC=C(C=C1)CNC(=O)C2=CC(=CC=C2)OCC3=CC=CC=C3)(O)O,Unspecified,,,Potential missing data,Inhibition,%,NA
7,482048335,168270095,B1(C2=C(CO1)C=CC(=C2)NC(=O)C3=CC(=CC=C3)OCC4=CC=C(C=C4)Cl)O,Unspecified,,,Potential missing data,Inhibition,%,NA
8,482056426,168275879,B1(C2=C(CO1)C=CC(=C2)N(C)S(=O)(=O)C3=CC=C(C=C3)Cl)O,Unspecified,,,Potential missing data,Inhibition,%,NA
9,482056766,68636706,B1(C2=C(CO1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O,Unspecified,,,Potential missing data,Inhibition,%,NA
