PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,520005392,177374144,CC1=C(C=C(C=C1)C2=NOC(=N2)C(C3=CC=CC=C3)C4=CC=CC=C4)NCC5=CC=C(S5)C(=O)O,Active,,,Potential missing data,Activity,Active
2,520013063,176655316,CC1=C(C=C(C=C1)C2=NOC(=N2)C(C)C3=CC=CC(=C3)C4=CC=CS4)NCC5=CC=C(S5)C(=O)O,Active,,,Potential missing data,Activity,Active
3,520014787,176209821,CC(C1=CC=CC2=CC=CC=C21)C3=NC(=NO3)C4=CC=C(C=C4)NCC5=CC=C(S5)C(=O)O,Active,,,Potential missing data,Activity,Active
4,520015253,177374133,CC(C1=CC=CC2=CC=CC=C21)C3=NC(=NO3)C4=CC=C(C=C4)C5=CC=C(S5)C(=O)O,Active,,,Potential missing data,Activity,Active
