PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Hill Slope,Hill S0,Hill Sinf,Hill dS,Chi Square,Rsquare,Number of DataPoints,Inhibition at 3.0 nM,Inhibition at 9.1 nM,Inhibition at 27.3 nM,Inhibition at 81.8 nM,Inhibition at 245.4 nM,Inhibition at 736.3 nM,Inhibition at 2.2 uM,Inhibition at 6.6 uM,Inhibition at 19.9 uM,Inhibition at 59.6 uM
16,24834438,2449860,C1CN(CCN1C2=CC=CC(=C2)C(F)(F)F)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,91,,,=,5.098,-5.29,1.09505,2.02835,94.1716,92.1433,19.6353,0.998752,30,2.9,1.1,3.4,2.7,5,12.2,29.6,57.5,78.2,91.1
17,49818189,24817257,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC=C(C=C3)Cl,Active,91,,,=,4.877,-5.31,1.13933,-0.936921,96.4384,97.3753,71.3592,0.998183,30,0.3,-0.1,-1.3,-1.4,2.5,10.2,29,58.9,79.7,91.4
18,14744406,2417657,CC1=CC(=C(C(=C1C)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C)C,Active,91,,,=,4.834,-5.32,1.15219,0.558645,95.8605,95.3019,22.6504,0.999393,30,0.8,0.4,0.7,1.4,4.3,10.4,29.6,58.8,81,91.9
19,49726948,2939288,CC1CCC2C(C1)C(=O)N(C2=O)C3=C(C=CC(=C3)Cl)OC(=O)C4=CC=CO4,Active,90,,,=,5.395,-5.27,1.11984,3.00193,93.5434,90.5415,13.5339,0.998811,30,3.3,1.4,3,4.3,7.4,12.6,27,56.3,78.7,90.7
20,24836082,1177253,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)/C=C/C3=CC=CS3,Active,90,,,=,5.219,-5.28,1.44399,-2.03941,93.4929,95.5323,-17.5697,0.998763,30,-0.1,-1.1,-2.2,-3.2,-0.8,2.3,24.5,56.9,81.9,89.4
21,49674413,4961646,CC1=CC=C(O1)C2=NN(C(C2)C3=CC=CO3)C(=O)CCl,Active,90,,,=,5.195,-5.28,1.1577,1.06351,103.166,102.103,46.9108,0.997465,30,2.6,-0.1,0.1,1.6,2.9,13.4,25.4,56.6,86.5,96.8
22,17414134,5509654,COC1=CC(=CC(=C1OC)OC)/C=N\NC(=O)CN2C3=CC=CC=C3N=N2,Active,90,,,=,5.179,-5.29,1.09448,-1.5057,98.7617,100.267,-20.6313,0.999119,30,-2.1,-1.1,-0.4,-1.5,2.9,10,27.9,56.5,80.4,91.2
23,49733419,3196509,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,Active,89,,,=,5.926,-5.23,1.02009,0.964013,95.8348,94.8708,27.0997,0.998892,30,1,1.8,0.1,2.1,5.7,11.4,27.4,52.7,76.1,88.7
24,859300,6602830,C1=CC(=CN=C1)OC(=O)C2=CC=C(C=C2)Cl.Cl,Active,88,,,=,6.31,-5.2,1.4,1.66131,96.5132,94.8519,70.3266,0.993616,30,0.4,1.7,2.8,0.1,2.8,8.2,20.3,49.7,84.8,92.7
25,24808289,3198732,CCC(C)(C)NC(=O)C(C1=CC=CN1C)N(C2=CC=C(C=C2)NC(=O)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,88,,,=,6.288,-5.2,1.06931,-3.17701,96.344,99.521,31.0567,0.998211,30,-3.6,-2.6,-2.8,-1.9,-0.5,8.3,24.5,50.6,75.7,86.1
26,24838050,2443805,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43)C,Active,87,,,=,6.66,-5.18,1.19554,2.18098,92.531,90.35,87.8092,0.995089,30,-0.5,2.8,4.9,2.3,3.7,9.2,22.6,49.8,76.2,88.7
27,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Active,87,,,=,6.563,-5.18,1.28712,1.27052,90.7778,89.5072,27.5903,0.998777,30,0.7,1.3,2.7,0.5,3.6,6.8,21.1,50.9,75.7,88.1
28,24826363,2497380,C1=CC=C(C=C1)CN2C=C(C(=N2)C3=CN=CC=C3)C=O,Active,86,,,=,7.214,-5.14,1.08055,-1.98981,98.0914,100.081,4.33,0.998409,30,-2.3,-2.5,-2.6,-0.4,1.9,7.6,19.9,48.5,73.6,87.9
29,17413361,5734448,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3)F,Active,86,,,=,7.121,-5.15,1.41636,-0.363442,97.3822,97.7457,-84.4075,0.998942,30,-2,-1.2,-0.4,0.2,1.9,5,15.9,46.9,80.6,92.1
30,49717003,4917203,C1=CC=NC(=C1)SCC(=O)NC2=NON=C2[N+](=O)[O-],Active,86,,,=,7.068,-5.15,0.989909,-0.869549,99.1773,100.047,18.652,0.99873,30,0.8,-2.2,-1.6,2,2.6,8.4,24,49.1,72.2,88.5
31,14725513,3206295,COC1=CC=CC(=C1)C(C(=O)NCC2=CC=CO2)N(CC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,85,,,=,7.755,-5.11,1.18676,2.2858,89.1881,86.9023,116.141,0.992314,30,0.7,2.5,3.7,2.2,5.8,6.7,20.5,46.7,70.8,85.5
32,49646259,24747455,CC(=O)NC1C2=C(C=CC(=C2)Br)N(C1=O)CCN3CCOCC3.Cl,Active,85,,,=,7.582,-5.12,1.58329,-1.35275,92.1366,93.4894,-44.8066,0.998334,30,-0.6,-0.4,-2.5,-2.5,-0.9,2.6,12.1,45.3,77.1,88.1
33,17408805,1083882,COC1=CC=C(C=C1)N(C(=O)CN2C3=CC=CC=C3N=N2)C4(CCCCC4)C(=O)NC5CCCC5,Active,84,,,=,7.887,-5.1,1.0622,3.90467,93.6014,89.6968,5.27448,0.999275,30,3.2,4.5,4.5,4.4,5.6,11.8,21.9,45.9,71.4,87.4
34,49667379,24761173,CC(=O)NC1C2=C(C=CC(=C2)F)N(C1=O)CCN3CCOCC3.Cl,Active,82,,,=,9.097,-5.04,1.26667,1.43271,94.2271,92.7944,35.6301,0.997729,30,2.7,1.5,-0.8,0.9,3,6.3,17,38.4,73.3,87.2
35,17412961,5734490,COC1=CC=CC=C1/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,Active,82,,,=,8.939,-5.05,1.38905,-2.60859,79.7323,82.3409,-18.4653,0.996866,30,-3,-3.8,-1.8,-2.3,-1.4,2.8,14.9,41.2,67,73.4
36,49670811,135451179,C1=CC=C2C(=C1)/C(=C/C3=C(N(C(=O)NC3=O)C4=CC=CC=C4F)O)/C=N2,Active,81,,,=,9.466,-5.02,1.25781,1.137,96.0037,94.8667,22.7862,0.998527,30,-0.7,1.7,1.1,1.8,2.6,6.3,13.4,40.1,70.4,88.9
37,49818186,24817254,CC1=CC=C(C=C1)C(=O)C2=C3C=CC=CC3=[N+](N2CCC(=O)N)[O-],Active,81,,,=,9.357,-5.03,1.14869,-0.931259,96.9272,97.8585,-32.4221,0.998456,30,-1,-0.4,-2,-1.1,1.7,5.2,16,39.6,70.2,86.2
38,49733661,3191469,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC=C(C=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Active,81,,,=,9.352,-5.03,1.22267,-2.08226,93.9779,96.0602,-19.2035,0.998399,30,-0.9,-1.6,-2.6,-2.9,-1.3,3.9,14.1,40.1,69.2,84.6
39,26669765,2083510,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)NC4=CC=CC=C43,Active,80,,,=,9.945,-5,0.994559,2.55371,96.3482,93.7945,23.3677,0.997642,30,3.3,0.4,2.8,3.9,5.2,10.6,18.7,40.1,66.8,84.3
40,24801258,677475,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl,Active,80,,,=,9.908,-5,1.16181,4.47499,86.5955,82.1205,10.1078,0.99802,30,2.7,4.9,4.8,5.8,6.4,9.1,17.1,41.4,65.3,82.7
41,49669969,3912197,COC1=C(C=C2C(N(CCC2=C1)C(=O)CCl)C3=C(C=CC(=C3)Br)F)OC,Active,80,,,=,9.879,-5.01,1.11419,2.96201,97.1167,94.1547,25.7613,0.997376,30,1.3,2.3,4,4.3,4.8,8.2,17.3,39.2,68.6,87.7
42,49818187,24817255,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC(=C(C(=C3)Cl)N)Cl,Active,80,,,=,9.811,-5.01,1.08988,-1.73057,98.3107,100.041,34.3538,0.998035,30,-1.8,-2.1,-1.1,-1,-0.8,6.2,14.8,39.9,67.6,85.6
43,49646101,17583883,COC1=CC2=C(C=C1)N(C(=O)C2=O)CC3COC4=CC=CC=C4O3,Active,80,,,=,9.737,-5.01,1.01536,-0.647036,101.551,102.198,-18.0884,0.99926,30,0.2,-1.9,-0.7,0.3,2.2,7.1,16.5,40.8,67.5,87
44,49676971,4868361,C1=CC=C(C=C1)NC(=O)NN(C2=CC=CC=C2)C(=O)CCl,Active,80,,,=,9.636,-5.02,1.33792,-1.34271,102.117,103.459,-28.614,0.998125,30,-0.9,-1.5,-2.1,-2.2,-0.2,2.7,12.5,35.8,74.3,92
45,7975174,1160939,CC1=NN=C(S1)SC(=O)N2C3=CC=CC=C3SC4=CC=CC=C42,Inactive,79,,,=,10.447,-4.98,0.986802,1.40206,78.4096,77.0075,40.2242,0.996315,30,1.1,3.6,1.8,0.2,4.7,9.6,23,40,61.6,71.7
46,26660230,3473830,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=C(C=C3)[N+](=O)[O-])C(=O)CCl,Inactive,78,,,=,10.822,-4.97,1.45133,-2.40426,85.4846,87.8888,22.5171,0.996555,30,-0.7,-3.4,-2.9,-5,-1,2.3,9.1,34.3,66.3,78.3
47,17409268,3202425,COC1=CC=CC(=C1)C(C(=O)NC2=CC=C(C=C2)F)N(C3CC3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,78,,,=,10.526,-4.98,1.15802,-1.87287,91.194,93.0669,-73.8612,0.997701,30,-1.6,-2.9,-2,-1.6,0.7,3.7,14.4,37.2,65.8,80.6
48,17412497,5735038,CC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=CC(=C2)Br)OC(=O)C3=CC=CO3,Inactive,77,,,=,11.197,-4.95,1.31783,2.23518,70.8023,68.5671,25.472,0.994751,30,1.1,2.2,1.4,2.3,3.7,8,17.2,35.2,63.9,67.4
49,49733660,3191728,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,77,,,=,11.192,-4.95,1.2162,-1.9017,93.7496,95.6513,-12.3043,0.998978,30,-1.3,-1.9,-2.6,-1.1,-1.2,2.2,11.8,35.3,65,82.9
50,49671052,2057118,C1=CC=C(C=C1)/C=C/CN2C3=CC=CC=C3C(=O)C2=O,Inactive,77,,,=,11.19,-4.95,0.95791,-1.28044,101.002,102.282,-26.7979,0.998658,30,-0.4,-0.7,-2.1,-0.3,1.3,5.2,17.6,37.2,63.6,83.2
51,26666406,1420934,CC(C)C12CN(CC(C1=O)(CN(C2)C(=O)C3=CC=CC=C3[N+](=O)[O-])C(C)C)C(=O)C4=CC=CC=C4[N+](=O)[O-],Inactive,77,,,=,11.108,-4.95,1.04754,2.72401,87.6642,84.9402,21.797,0.997295,30,2.5,1.9,3.2,2.6,6.2,8.4,18.6,37.1,63.7,78.7
52,17408483,615593,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)NC(=O)CCl)C,Inactive,76,,,=,11.647,-4.93,1.33252,-0.56605,87.0194,87.5855,92.4207,0.996277,30,-2.5,-1,-1.2,0.9,0.7,3.6,11.4,32.6,65,79.3
53,7966556,948801,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,Inactive,76,,,=,11.374,-4.94,1.05002,2.47855,90.5247,88.0461,22.2953,0.997664,30,5.1,1,1.9,1.6,4.6,8.6,18.1,35.8,63.9,80.1
54,26670673,601670,C1=CC2=C(C=C1C(=O)O)SC=N2,Inactive,75,,,=,12.145,-4.92,1.34542,-0.691426,90.6559,91.3473,-88.3444,0.998549,30,0.7,-1,-1.5,-1.6,0.3,2.6,9.4,31.8,63.9,82.2
55,49675892,3475954,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3,Inactive,75,,,=,12.044,-4.92,1.45287,1.96897,84.5953,82.6263,21.5233,0.997804,30,1.1,1.8,1,2.2,3.6,4,11.5,31,64.7,80.3
56,24802059,3198832,CCC(C)(C)NC(=O)C(C1=CC=C(C=C1)O)N(C2=CC=C(C=C2)NC(=O)C)C(=O)CN3C4=CC=CC=C4N=N3,Inactive,75,,,=,11.819,-4.93,1.07984,1.32896,94.8794,93.5504,43.6173,0.997213,30,0.6,1.9,2,0.9,3.7,5.5,15.4,35.6,62.8,82.8
57,3717392,2999977,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C,Inactive,73,,,=,12.752,-4.89,1.07656,0.204153,96.3509,96.1468,258.855,0.996427,30,-1,1,-1.2,0,4.2,5.2,13.8,32.3,62.3,81.6
58,24830836,2515806,CC1=C(C=CC(=C1)NC(=O)CON2C3=C(C=CC(=C3)S(=O)(=O)C)N=N2)Br,Inactive,72,,,=,13.369,-4.87,1.23054,-0.522271,89.3126,89.8349,-64.0753,0.998072,30,1,0,-1.5,-0.1,-1.1,2.7,11.1,30.9,60.3,79.1
59,47202119,135472652,C1=CC=C2C(=C1)C=CC(=C2/C=N\NC(=O)C3=CC(=CN=C3)Br)O,Inactive,70,,,=,14.422,-4.84,1.44191,-1.0813,73.1169,74.1982,-54.8365,0.997539,30,0.5,-2.1,-0.3,-1.1,-2.8,1.8,9.7,29.4,57.3,67.8
60,24801895,3178307,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=C(C=C2)O)O)C(=O)NC3CCCC3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,70,,,=,14.149,-4.85,1.06299,-1.9028,95.9727,97.8755,-30.9851,0.997991,30,-1.4,-2.3,-2.4,-1.2,-0.1,2.5,12.3,30.3,59,79
61,49640940,1154427,COC1=CC=C(C=C1)N(CC2=CC(=O)NC3=CC=CC=C32)C(=O)CCl,Inactive,70,,,=,14.057,-4.85,0.986917,-0.0621346,102.543,102.605,1994.72,0.986741,30,0.7,0.7,1.7,-0.3,1.1,4.6,9,38.2,54.6,83.1
62,49828469,24819986,C1=CC2=C(N([N+](=C2C=C1)[O-])CCC(=O)N)C(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,68,,,=,15.251,-4.82,1.05285,3.84211,85.4413,81.5992,17.4363,0.996685,30,3,4.1,5.6,2.8,4.2,9.5,15.8,30.4,56.9,74.5
63,847463,649868,C1CC2=C(C1)C=C(C=C2)N(C(C3=CC=CO3)C(=O)NCC4=CC=CO4)C(=O)CN5C6=CC=CC=C6N=N5,Inactive,68,,,=,15.14,-4.82,1.24456,0.33579,82.9866,82.6508,163.255,0.996397,30,-1.3,-0.1,1,-0.3,3.4,3,10.7,28.3,57.2,74
64,24826139,2352096,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)COC(=O)C4=CN=CC=C4,Inactive,66,,,=,16.057,-4.79,0.996757,3.1354,102.049,98.9133,9.3367,0.99834,30,2.8,3.6,3.8,3.1,4.8,6.9,12.9,30.8,54.8,80.7
65,49673799,2384236,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C(=O)CCl,Inactive,65,,,=,16.301,-4.79,1.33515,4.14084,86.3773,82.2365,12.8822,0.997815,30,1.5,4.5,4.1,5.1,5.4,6.3,10.6,25.6,55.9,78.7
66,49669782,741948,CC1=C(C=C(C=C1)C(=O)N2C=NC3=CC=CC=C32)C,Inactive,64,,,=,16.872,-4.77,1.54012,0.288465,66.6889,66.4004,182.639,0.994625,30,-0.3,-2,-0.5,-0.1,1.8,4.5,8.9,25.7,55,62.8
67,4255208,930620,C1CC(=O)N(C1=O)C2=C(C=CC(=C2)Cl)OC(=O)C3=CC=CO3,Inactive,61,,,=,18.393,-4.74,1.28229,0.649929,82.0154,81.3655,77.728,0.997068,30,1.6,0.6,0.3,-1.1,2.9,2.3,7.8,24.6,51.8,72.2
68,47200726,2282752,C1=CC=C(C=C1)CCCN2C3=CC=CC=C3C(=O)C2=O,Inactive,60,,,=,18.522,-4.73,1.03029,-1.03051,95.2677,96.2982,28.7038,0.997733,30,0.1,-0.7,-2,0.3,-1.1,2.2,10.8,25.9,51.7,74.6
69,49818195,24817263,CC1=CC=C(C=C1)C(=O)C2=C3C=CC(=CC3=[N+](N2CCC(=O)N)[O-])C(F)(F)F,Inactive,57,,,=,20.126,-4.7,1.02636,-2.7162,101.615,104.331,-9.68124,0.996643,30,-1.6,-1.3,-3.1,-3.9,-2,0.4,8.2,23.2,49.6,75.2
70,14723875,460749,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,Inactive,57,,,>,19.88,-4.7,,,,,,,30,1.2,-0.4,-0.7,0.7,4.8,-129,-89,21.6,34.4,52.9
71,49648268,17582529,C1C(OC2=CC=CC=C2O1)CN3C4=CC=CC=C4C(=O)C3=O,Inactive,55,,,=,20.788,-4.68,0.928468,-1.08502,112.275,113.36,-16.1318,0.995946,30,-1.4,-0.3,-2.3,-1.1,1.9,3.7,9,23.6,49.3,76.2
72,24816245,2145491,CC1=C2C(=CC=C1)C(=O)C(=O)N2CCOC3=CC=CC=C3,Inactive,54,,,=,21.527,-4.67,0.967809,-2.18373,108.05,110.233,0.291543,0.998423,30,-1.5,-2.8,-1,-2.2,-1.2,0.2,9.5,21.9,48.1,75
73,49668045,24761221,CCN(CC)C(=O)CN1C=C(C2=CC=CC=C21)/C=C/3\C(=O)NC(=O)N(C3=O)C4=CC=CC=C4F,Inactive,53,,,=,21.964,-4.66,0.853124,-4.05163,121.319,125.371,6.31836,0.997923,30,-3.8,-4.1,-3.7,-4.3,-1.8,2.2,8.4,22.2,48.1,75
74,47200678,676085,C1=CC=C(C(=C1)/C=C/C(=O)NC2=CN=CC=C2)Cl,Inactive,48,,,=,24.15,-4.62,1.28994,-0.587355,77.3957,77.983,-40.5662,0.998665,30,-1.5,-0.3,-0.7,-0.1,0,1.2,5.7,19.5,45.6,65.8
75,49645065,3152897,CC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)C3=CC=CC=C3[N+](=O)[O-],Inactive,47,,,=,24.323,-4.61,0.891179,-0.539617,110.543,111.082,148.316,0.995324,30,-1.9,2.1,-1,-0.3,1,3,9.7,22.8,45,71.6
76,14742908,4371580,CC1CCC2=C(N1CC(=O)N3CCC4=C(C3)C5=C(N4)C=CC(=C5)C)C=CC(=C2)F,Inactive,45,,,=,25.347,-4.6,1.30497,-1.75655,112.654,114.41,-17.5344,0.995719,30,-3.5,-1.6,-2.5,-1.1,-1.3,0.3,3.2,11.6,41.7,79.5
77,24827537,9661081,COC1=CC=CC(=C1)/C=N/NC(=S)NC2=CN=CC=C2,Inactive,44,,,=,25.688,-4.59,1.06743,-0.408159,97.3221,97.7303,-225.728,0.995285,30,-0.1,-1.9,0.8,-1.6,0.8,3.3,6.6,18.5,43.8,70.1
78,17412962,799395,C1=CC(=CN=C1)CNC(=O)/C=C/C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Inactive,40,,,=,27.815,-4.56,1.02768,-1.56696,90.1712,91.7381,-30.9372,0.996453,30,0.2,-2.2,-0.8,-1.2,-2.1,0.4,6.7,20.3,41.7,65.8
