RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000914495,0.00155464,0.00263993,0.00459575,0.0064826,0.00912159,0.0137872,0.0269967,0.0413617,0.0569821,0.0820943,0.124085,0.188912,0.246899,0.423153,0.738849,1.11677,1.70021,2.22209,3.66561,6.6433,10,13.3629,20,40,
102,363677370,9819282,CC(C)(C1=CC=C(C=C1)C2=NC3=CC=CC=C3N=C2C4=CC=CC=C4)N,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345823-02/250022951,,Activator,10,94.5077,,42,Partial curve; high efficacy,-5,4.5045,0.994,93.7546,-0.7531,2.1,0 0 0 0 0 0 0 0,89.8032,,,,,,1.0733,,3.542,,,-2.1825,,,-0.3936,,-1.8247,,,-4.7943,,11.9499,,,89.8032,,QC'd by SynKinase
103,363677574,135465539,C1CC1COC2=CC=CC(=C2C3=NC(=C(C(=C3)C4CCNCC4)C#N)N)O,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00347280-04/250023454,,Activator,11.2202,106.886,,42,Partial curve; high efficacy,-4.95,1.9282,0.9838,110.886,4,2.1,0 0 0 0 0 0 0 0,85.1659,,,,,,0.5385,,2.9356,,,7.695,,,2.5882,,11.8986,,,9.9531,,30.172,,,85.1659,,QC'd by MedChem Express
104,363677866,9910619,C1CC2CN(CCN2C1)C3=CC4=C(C=C3)C=CN4S(=O)(=O)C5=CC=CC6=CC=CC=C65,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370815-01/250023392,,Activator,11.2202,88.1014,,42,Partial curve; high efficacy,-4.95,3.5722,0.9868,90.8944,2.793,2.1,0 0 0 0 0 0 0 0,81.14,,,,,,0.9053,,4.7946,,,-0.0335,,,6.5046,,-1.0059,,,8.114,,14.9204,,,81.14,,QC'd by Tocris
105,363678041,448014,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00371125-09/250023132,,Activator,7.9433,75.5453,,42,Partial curve; partial efficacy,-5.1,2.7202,0.9832,74.5329,-1.0124,2.2,0 0 0 0 0 0 0 0,69.1499,,,,,,1.8202,,-1.6701,,,-5.0103,,,5.0854,,0.1314,,,-2.1205,,27.0783,,,69.1499,,QC'd by Glixx
106,363678159,73349008,CN(CCCNC(=O)C1=CC2=C(C=C1)N=C3CCCCC3=C2Cl)CC4=CC=CC=C4,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378705-01/250023506,,Activator,7.0795,71.0712,,42,Partial curve; partial efficacy,-5.15,2.3332,0.9834,71.6871,0.6159,2.2,0 0 0 0 0 0 0 0,66.3599,,,,,,-1.1009,,6.479,,,-1.5701,,,0.776,,2.1115,,,0.018,,33.9469,,,66.3599,,QC'd by MedChem Express
107,363678183,177992,CCC[C@H](C1=CC2=C(C=C1)OCO2)NC(=O)N3[C@H](C(C3=O)(CC)CC)OC4=CC=C(C=C4)C(=O)N5CCN(CC5)C,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378760-01/250023205,,Activator,11.2202,106.212,,42,Partial curve; high efficacy,-4.95,3.6772,0.9962,107.607,1.3947,2.1,0 0 0 0 0 0 0 0,96.4217,,,,,,5.4716,,0.2606,,,1.1638,,,0.3648,,-1.7544,,,2.5882,,15.0599,,,96.4217,,QC'd by MedChem Express
108,363678230,21071390,C1=CC(=CC(=C1)OCC(C(F)F)(F)F)CNCCC2=CNC3=C2C=CC(=C3)F,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378842-04/250023521,,Activator,10,94.7195,,42,Partial curve; high efficacy,-5,4.9549,0.9949,96.1226,1.4031,2.1,0 0 0 0 0 0 0 0,93.142,,,,,,-1.4257,,-2.5808,,,4.6021,,,3.0139,,2.0393,,,1.4979,,12.4707,,,93.142,,QC'd by MedChem Express
109,363678433,46006640,CCC(C)CNCC(=O)N1CCC2=C(C1COC3=CC=CC(=C3)C)C=CS2,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00379228-03/250023395,,Activator,11.2202,88.5821,,42,Partial curve; high efficacy,-4.95,4.045,0.994,90.0531,1.4711,2.1,0 0 0 0 0 0 0 0,82.347,,,,,,2.9841,,-0.4694,,,1.0059,,,5.6664,,0.1341,,,-1.2741,,11.5339,,,82.347,,QC'd by MedChem Express
110,363680363,44517590,CC1=C(C(=C(C2=C1N=C(O2)C)OCCC(C)C3=CC=C(C=C3)F)OCCN4CCCCC4)C(=O)C,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386631-01/250023493,,Activator,10,81.4011,,42,Partial curve; partial efficacy,-5,2.8473,0.9601,80.6438,-0.7574,2.2,0 0 0 0 0 0 0 0,70.239,,,,,,1.0478,,-7.2978,,,10.0919,,,-3.5846,,-3.7684,,,-0.6066,,19.7243,,,70.239,,QC'd by Axon Medchem
111,363680406,25182468,CCN(CC)CCCS(=O)(=O)N[C@H](CCC1=CC=CC=C1)C2=NC(=NO2)CC3=CC=C(C=C3)Br,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386703-01/250022958,,Activator,11.2202,111.73,,42,Partial curve; high efficacy,-4.95,2.3031,0.9992,110.853,-0.8766,2.1,0 0 0 0 0 0 0 0,87.9785,,,,,,-2.3971,,-1.8962,,,-0.6082,,,-1.4311,,0.5009,,,1.7889,,25.6172,,,87.9785,,QC'd by Axon Medchem
112,363680520,46854655,CC#C[C@@H](CC(=O)O)C1=CC=C(C=C1)OCC2=CC(=CC=C2)C3=CC=C(C=C3)C(F)(F)F,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386948-01/250022941,,Activator,11.2202,107.189,,42,Partial curve; high efficacy,-4.95,4.5045,0.9986,108.745,1.5555,2.1,0 0 0 0 0 0 0 0,101.252,,,,,,-0.7871,,0.8945,,,1.4311,,,1.5027,,3.7567,,,2.5045,,11.127,,,101.252,,QC'd by Axon Medchem
113,363680733,71158523,COC1=CC=CC=C1OCCNCC(CCOC2=CC=CC3=C2C4=CC=CC=C4N3)O,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00388561-04/250023438,,Activator,10,89.5518,,42,Partial curve; partial efficacy,-5,2.8473,0.9883,87.2484,-2.3034,2.2,0 0 0 0 0 0 0 0,76.2239,,,,,,-1.404,,-6.5029,,,-2.6972,,,4.1751,,-2.3277,,,-2.6603,,19.0652,,,76.2239,,QC'd by Glixx
114,363680812,78357766,CC1=C2C(=NC(=N1)NC3=CN(N=C3)C4CCNCC4)N(C5=CC6=CC=CC=C6C=C5C(=O)N2C)C,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00389591-02/250023093,,Activator,10,98.7454,,42,Partial curve; partial efficacy,-5,2.2481,0.9967,93.3544,-5.391,2.2,0 0 0 0 0 0 0 0,76.2541,,,,,,-8.6592,,-2.7084,,,-4.6538,,,-4.8827,,-5.9889,,,-2.5939,,22.7732,,,76.2541,,QC'd by MedChem Express
115,384567873,3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015608-22/250023147,,Activator,10,86.3403,,42,Partial curve; high efficacy,-5,3.132,0.9704,89.1234,2.783,2.1,0 0 0 0 0 0 0 0,80.0229,,,,,,-0.4202,,9.3201,,,1.8335,,,-3.5141,,10.275,,,0.8785,,22.0015,,,80.0229,,QC'd by MedChem Express
116,384568294,10474335,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00165875-04/250023269,,Activator,11.2202,97.8218,,42,Partial curve; partial efficacy,-4.95,1.9887,0.9625,98.7878,0.966,2.2,0 0 0 0 0 0 0 0,78.7135,,,,,,-0.4834,,-0.9667,,,-2.5284,,,-0.8924,,-0.1859,,,17.0664,,22.8667,,,78.7135,,QC'd by Axon Medchem
117,384568511,131411,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00246387-08/250023305,,Activator,11.2202,105.212,,42,Partial curve; high efficacy,-4.95,3.6272,0.9818,107.001,1.7891,2.1,0 0 0 0 0 0 0 0,95.3663,,,,,,-5.1757,,-1.2939,,,9.6171,,,-0.1749,,1.3289,,,6.015,,16.3665,,,95.3663,,QC'd by MedChem Express
118,384568718,158797,C[C@H](C1=CC(=CC=C1)OC)NCCCC2=CC=CC=C2Cl,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00344508-02/250023283,,Activator,10,94.2308,,42,Partial curve; high efficacy,-5,3.99,0.9985,90.6182,-3.6127,2.1,0 0 0 0 0 0 0 0,84.8485,,,,,,-2.1565,,-4.2759,,,-2.0822,,,-4.2759,,-2.3053,,,-5.0939,,12.3071,,,84.8485,,QC'd by Tocris
119,384568838,49867929,CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NCCCCCCN,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00346553-10/250022999,,Activator,10,81.903,,42,Partial curve; partial efficacy,-5,4.4495,0.9946,81.0306,-0.8724,2.2,0 0 0 0 0 0 0 0,77.636,,,,,,-0.2627,,-3.0394,,,1.5009,,,2.1764,,-3.227,,,-2.4765,,10.7692,,,77.636,,QC'd by MedChem Express
120,384569172,72716071,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=CC(=N3)C4=CN(C5=C4C=CN=C5)C)OC,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00389251-02/250023696,,Activator,8.9125,82.7938,,42,Partial curve; partial efficacy,-5.05,3.0654,0.9963,81.1665,-1.6272,2.2,0 0 0 0 0 0 0 0,74.1829,,,,,,0.1836,,-1.8729,,,-1.4322,,,-1.3221,,-0.7345,,,-3.856,,24.238,,,74.1829,,QC'd by Tocris
121,384569206,135454904,C1C[C@H](CNC1)C2=CC(=NC3=C2COC(=O)N3)C4=C(C=CC=C4OCC5CC5)O,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00390649-02/250023662,,Activator,11.2202,82.7828,,42,Partial curve; partial efficacy,-4.95,3.6272,0.9948,84.6963,1.9135,2.2,0 0 0 0 0 0 0 0,75.7253,,,,,,1.5791,,0.1469,,,-1.3221,,,2.3871,,4.8109,,,3.599,,13.1473,,,75.7253,,QC'd by MedChem Express
122,384569478,44814409,C[C@H]1C[C@H](C[C@H](C1)N)C2=C(C=NC=C2)NC(=O)C3=NC(=C(C=C3)F)C4=C(C=CC=C4F)F,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510688-01/250023498,,Activator,8.9125,91.3831,,42,Partial curve; partial efficacy,-5.05,2.4729,0.9926,87.8463,-3.5368,2.2,0 0 0 0 0 0 0 0,76.7096,,,,,,1.6728,,-4.3934,,,-4.0625,,,-5.864,,-1.8934,,,-3.2169,,27.1507,,,76.7096,,QC'd by Selleck
123,405559100,72287,C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00179370-05/250023670,,Activator,10,82.2606,,42,Partial curve; partial efficacy,-5,4.5045,0.9915,80.8096,-1.451,2.2,0 0 0 0 0 0 0 0,77.0107,,,,,,-3.7091,,-2.2769,,,4.4804,,,-1.6526,,-2.534,,,-2.8645,,10.7235,,,77.0107,,QC'd by Prestwick
124,406861844,5312122,CN(C/C=C/C1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC,Active,42,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00162399-04/250022952,,Activator,10,75.1052,,42,Partial curve; partial efficacy,-5,3.132,0.9733,77.9182,2.8131,2.2,0 0 0 0 0 0 0 0,70.0179,,,,,,11.2343,,2.254,,,-0.5367,,,3.0769,,-0.0716,,,-0.5725,,20.1789,,,70.0179,,QC'd by MedChem Express
125,384568758,9868928,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,Inconclusive,31,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345815-02/250023594,,Activator,0.0179,73.0046,,31,Complete curve; partial efficacy,-7.7466,3.5117,0.9599,68.2984,-4.7063,1.2,0 0 0 0 0 0 0 1,-7.2529,0.7616,,-9.7552,,,-0.2176,,48.5947,,,72.2031,,77.4977,,,55.4488,,-7.2529,,,,,,,,QC'd by Cayman
126,406861848,159516,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,Inconclusive,30,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00178090-03/250023611,,Activator,0.0801,76.0755,,30,Complete curve; partial efficacy,-7.0966,1.6266,0.9917,73.7886,-2.2869,1.2,0 0 0 0 0 0 0 1,19.1115,-3.3001,,0.7253,,,-3.9891,,9.864,,,30.5712,,63.8259,,,68.3228,,19.1115,,,,,,,,QC'd by SIGMA
127,363678392,46742353,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5,Inconclusive,26,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00379161-04/250023659,,Activator,0.631,68.3692,,26,Complete curve; partial efficacy,-6.2,4.095,0.9208,67.9573,-0.4119,1.2,0 0 0 0 0 0 0 0,47.1789,,,,,,0.8239,,-3.2599,,,-2.5076,,,4.2271,,44.6355,,,73.1148,,82.4288,,,47.1789,,QC'd by Cayman
128,406861860,119081414,COC1=CC2=C(C=C1)SC(=N2)NC(C3=CC=C(C=C3)OC(F)F)C4=C(C5=C(C=CC=N5)C=C4)O,Inconclusive,26,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510794-01/250023634,,Activator,0.7943,77.1961,,26,Complete curve; partial efficacy,-6.1,3.0654,0.991,77.0105,-0.1857,1.2,0 0 0 0 0 0 0 1,1.3255,,,,,,2.7584,,2.0061,,,-3.9047,,,0.0716,,34.2468,,,78.345,,72.7208,,,1.3255,,QC'd by SIGMA
129,363679404,75368810,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CCC6[C@]7(CC[C@@H](C(C7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O)O)O)O)C)(C)C)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O,Inconclusive,25,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00384864-01/250023560,,Activator,0.6025,56.0638,,25,Complete curve; partial efficacy,-6.22,4.9549,0.9066,57.4397,1.3759,1.2,0 0 0 0 0 0 0 0,45.5773,,1.9022,,2.8914,,,-6.3534,,3.6142,,,8.9405,,,1.4076,,67.8714,,,45.5773,,,,,,QC'd by Analyticon
130,363680220,9939609,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,Inconclusive,25,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386337-05/250023420,,Activator,1.7783,79.7607,,25,Partial curve; partial efficacy,-5.75,4.095,0.9953,78.645,-1.1157,2.2,0 0 0 0 0 0 0 1,-10.8298,,,,,,-0.5029,,-5.0964,,,-0.2012,,,-0.6035,,2.1459,,,55.021,,82.1459,,,-10.8298,,QC'd by Glixx
131,363677913,25141190,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCC(CC3)N4CCCCC4)NC5CCCCCC5)OC,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370891-01/250023476,,Activator,3.1623,75.6096,,24,Partial curve; partial efficacy,-5.5,2.4064,0.9826,78.7934,3.1838,2.2,0 0 0 0 0 0 0 1,-15.9007,,,,,,5.386,,8.364,,,1.2684,,,-1.9301,,5.239,,,25.4596,,68.3272,,,-15.9007,,QC'd by Tocris
132,363678732,57509435,CCC(C)C(=O)OC12C(C1(C)C)C3C=C(CC4(C(C3(C(C2OC(=O)C)C)O)C=C(C4=O)C)O)CO,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00380715-01/250023259,,Activator,0.8753,47.7065,,24,Complete curve; partial efficacy,-6.0578,4.9549,0.9843,49.9797,2.2732,1.2,0 0 0 0 0 0 0 0,53.5473,,,,3.0356,,,4.2151,,4.8049,,,2.8274,,,-2.2723,,38.3868,,,47.1292,,53.5473,,,,QC'd by Analyticon
133,363679036,45359804,CCC(C)C(=O)OC1CC(C23C4C1(C(OC2OCC5(C3C(=O)CC6(C57C(O7)CC6C8=COC=C8)C)C(C4)O)O)C)O,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00381227-01/250023596,,Activator,2.7681,74.5312,,24,Partial curve; partial efficacy,-5.5578,1.031,0.9608,67.8898,-6.6414,2.2,0 0 0 0 0 0 0 0,51.7498,,,,-9.4651,,,-10.1179,,-2.5023,,,-2.4297,,,7.1442,,6.4551,,,38.4044,,51.7498,,,,QC'd by Analyticon
134,363679917,75368809,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CCC6[C@]7(CC[C@@H](C(C7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O)O)O)O)C)(C)C)O)O)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385743-01/250023549,,Activator,0.7585,51.9806,,24,Complete curve; partial efficacy,-6.12,3.0654,0.9625,53.3283,1.3477,1.2,0 0 0 0 0 0 0 0,52.4253,,6.7339,,-3.0436,,,-2.9294,,7.7991,,,-2.0924,,,6.9621,,42.4196,,,52.4253,,,,,,QC'd by Analyticon
135,377020486,135122159,CC(=O)O[C@H]1C[C@]2([C@H](CC[C@@H]2O)C3=C1[C@@]4([C@@H](OC(=O)/C(=C\N(C)CCCN(C)C)/C4=C(C3=O)O)COC)C)C,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00387794-01/250023270,,Activator,1,52.8291,,24,Complete curve; partial efficacy,-6,4.9549,0.955,50.0025,-2.8265,1.2,0 0 0 0 0 0 0 0,45.4731,,,,,,-5.6888,,2.2309,,,-1.3014,,,-3.6066,,3.8297,,,60.4202,,44.3205,,,45.4731,,QC'd by Chemdea
136,384567911,5169,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015962-25/250023095,,Activator,2.2387,61.5819,,24,Complete curve; partial efficacy,-5.65,2.2526,0.9524,64.0819,2.5,1.2,0 0 0 0 0 0 0 0,55.617,,,,,,0.7248,,5.1497,,,1.9455,,,1.7547,,11.2531,,,28.1137,,70.6466,,,55.617,,QC'd by MedChem Express
137,384568751,9918559,CC[C@H](CC#N)OC(=O)N[C@@H](C)C1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2)C3=CN=CO3)OC,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345803-02/250023164,,Activator,3.5481,79.4072,,24,Partial curve; partial efficacy,-5.45,0.5,0.922,74.0779,-5.3293,2.2,0 0 0 0 0 0 0 0,58.8999,,,,,,-1.1077,,-0.2292,,,1.2605,,,15.1642,,24.0642,,,25.8212,,31.1306,,,58.8999,,QC'd by ChemieTek
138,384568997,5351307,C/C(=N\NC(=S)N1CCC1)/C2=CC=CC=N2,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00347952-11/250023222,,Activator,1.122,53.9861,,24,Complete curve; partial efficacy,-5.95,0.9,0.9958,49.8855,-4.1006,1.2,0 0 0 0 0 0 0 0,46.5395,,,,,,-3.4172,,-2.7927,,,2.9315,,,5.3599,,17.8491,,,32.4198,,39.7745,,,46.5395,,QC'd by MedChem Express
139,384569464,23642301,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)[C@@H]3CCC4=C(C3)C=CC(=C4)O,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510503-01/250023039,,Activator,3.5481,79.6713,,24,Partial curve; partial efficacy,-5.45,4.095,0.993,80.8187,1.1475,2.2,0 0 0 0 0 0 0 1,-13.0222,,,,,,-1.0352,,1.0352,,,-1.5438,,,0.1998,,5.6847,,,11.6418,,75.3542,,,-13.0222,,QC'd by MedChem Express
140,406861834,275182,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC,Inconclusive,24,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00017375-03/250023308,,Activator,2.8184,75.8515,,24,Complete curve; partial efficacy,-5.55,3.99,0.9449,78.0399,2.1883,1.2,0 0 0 0 0 0 0 0,64.207,,,,,,-2.3431,,-1.2939,,,6.6445,,,2.6928,,6.7844,,,22.4165,,89.701,,,64.207,,QC'd by Prestwick
141,170465856,5265,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00015964-17/250023411,,Activator,3.5481,66.2674,,23,Complete curve; partial efficacy,-5.45,4.9549,0.973,64.2205,-2.0469,1.2,0 0 0 0 0 0 0 0,57.6362,,,,,,-0.6706,,-4.5599,,,0.6706,,,-6.7058,,3.5205,,,0.2682,,68.2313,,,57.6362,,QC'd by Enzo
142,363678086,9705,C1CC(CCC1CNCC2=CC=CC=C2Cl)CNCC3=CC=CC=C3Cl,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378548-01/250023188,,Activator,3.9811,57.5427,,23,Complete curve; partial efficacy,-5.4,2.0479,0.9881,60.5427,3,1.2,0 0 0 0 0 0 0 0,57.8253,,,,,,2.206,,1.9976,,,1.8933,,,1.6154,,10.37,,,14.8862,,47.3337,,,57.8253,,QC'd by Tocris
143,363678713,51136257,C[C@]12CC[C@H]3[C@@]4([C@@]1(CCC5[C@@]2(C6=C7[C@H]5OC([C@H]8C[C@H]9[C@@]8(C1=C7C(=CC(=C1CC9=C)Cl)N6)O)(C)C)C)O)[C@H](O4)[C@@H]1[C@H](O3)C(O1)(C)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00380694-01/250023086,,Activator,2.6646,59.5473,,23,Partial curve; partial efficacy,-5.5744,2.4729,0.9401,57.7443,-1.803,2.2,0 0 0 0 0 0 0 0,53.8623,,,-9.0025,,,-4.5394,,-6.2178,,,4.9971,,,5.4167,,1.4877,,,21.3237,,53.8623,,,,,QC'd by Analyticon
144,363678734,71694442,C/C=C(\C)/C(=O)OC1C(C2(C3C=C(C(=O)C3CC(=CC2C4C1(C4(C)C)OC(=O)C)CO)C)O)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00380717-01/250023458,,Activator,0.5523,38.0742,,23,Complete curve; partial efficacy,-6.2578,2.3332,0.8646,39.6895,1.6154,1.2,0 0 0 0 0 0 0 0,30.7408,,,,-5.3205,,,0.9607,,13.2274,,,1.6257,,,8.3133,,38.2413,,,45.7417,,30.7408,,,,QC'd by Analyticon
145,363679504,12302076,C/C=C(/C)\C(=O)O[C@H]1[C@@H]2[C@@H](C(=O)O[C@@H]2C[C@H]([C@H]3[C@]1(C(=O)C=C3)C)C)C,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385048-01/250023536,,Activator,2.8184,57.9432,,23,Complete curve; partial efficacy,-5.55,4.9549,0.9961,57.2756,-0.6676,1.2,0 0 0 0 0 0 0 0,55.4954,,,,,0.018,,,-0.379,,-1.3896,,,-1.3535,,1.1009,,,-0.8482,,53.7629,,,55.4954,,,QC'd by Analyticon
