PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103621405,16204120,CNC1=CC=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl,Active,,,Potential missing data,Stability,%,Stable
2,103621469,16202857,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC3=CC(=CN=C3)Cl,Active,,,Potential missing data,Stability,%,Stable
3,103621658,16204013,COC1=CC=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl,Active,,,Potential missing data,Stability,%,Stable
4,461563615,155903259,CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)C(F)(F)F)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C#N)C,Active,,,Potential missing data,Stability,%,Stable
5,520005031,177378873,C1=CC=C(C=C1)COC2=CC(=C(C=C2)C(=O)OC3=CC(=CN=C3)Cl)F,Active,,,Potential missing data,Stability,%,Stable
6,520006689,5121681,CCCCCCCOC1=CC=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl,Active,,,Potential missing data,Stability,%,Stable
7,520007210,177378876,COC1=CC(=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl)OC,Active,,,Potential missing data,Stability,%,Stable
8,520007958,177378877,COC1=C(C=C(C=C1)C(=O)OC2=CC(=CN=C2)Cl)Cl,Active,,,Potential missing data,Stability,%,Stable
9,520010864,177378858,C1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC3=CC(=CN=C3)Cl,Active,,,Potential missing data,Stability,%,Stable
10,520011388,177378874,C1=CC(=C(C=C1N)F)C(=O)OC2=CC(=CN=C2)Cl,Active,,,Potential missing data,Stability,%,Stable
11,520011954,177378856,C1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC3=CC(=CN=C3)Cl,Active,,,Potential missing data,Stability,%,Stable
12,520012526,177378893,C1=CC(=C(C=C1I)F)C(=O)OC2=CC(=CN=C2)Br,Active,,,Potential missing data,Stability,%,Stable
13,520012964,177378889,COC1=CC=C(C=C1)C(=O)OC2=CC(=CN=C2)Br,Active,,,Potential missing data,Stability,%,Stable
