PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,504794100,167820262,C1=CC(=CC=C1NC(=O)COC(=O)C2=CC(=NN2)C3=COC=C3)Br,Active,,,Potential missing data,Inhibition,%,Active
2,504796679,166366543,CC1=C(C(=C2N1CCC2)C#N)C(=O)/C=C/C3=CC(=C(C=C3F)O)Br,Active,,,Potential missing data,Inhibition,%,Active
3,504801682,166221107,CN1C2=C(NC1=O)N=CC(=C2)C3=CC(=CC=C3)C(=O)NC4=CC=CC(=C4)C#N,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,504806338,166366538,CN1C2=CC=CC=C2C(=C1C(=O)NCC3=CC(=C(C=C3)O)[N+](=O)[O-])Br,Active,,,Potential missing data,Inhibition,%,Active
5,504808959,166367557,C1=CC=C(C(=C1)C2=C3C=CNC3=NC=N2)O,Active,,,Potential missing data,Inhibition,%,Active
6,504820152,167773502,CN(C)C1=CN=CC(=C1)NC(=O)C2=C(C=C(C=C2)C=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,504822214,166367559,C=C(COC(=O)C1=CN=C2C(=C1)C=CN2)Cl,Active,,,Potential missing data,Inhibition,%,Active
8,504826263,167875399,C1=CC=C2C(=C1)C(=C(N2)C(=O)NCC3=CC(=C(C=C3)O)[N+](=O)[O-])C#N,Active,,,Potential missing data,Inhibition,%,Active
9,504828465,166267033,CC(C)SCN1C=NC2=C(C1=O)N(N=C2)C,Active,,,Potential missing data,Inhibition,%,Active
10,504831826,172465356,CC1=C(C(=C2N1CCC2)C#N)C(=O)/C=C/C3=CC(=C(C=C3)O)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
11,504837440,167873206,CN1C2=C(NC1=O)N=CC(=C2)C3=CC(=CC=C3)C(=O)NC4=CC=CC(=C4)C#C,Inactive,,,Potential missing data,Inhibition,%,Not Active
