RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,9.67719e-05,0.000216759,0.000526338,0.000967407,0.00172511,0.00290222,0.00517534,0.00877704,0.0256278,0.0414791,0.0775266,0.139734,0.235149,0.419203,0.71094,1.38364,2.15358,6.27965,11.3185,19.0527,33.8396,57.1597,114.286,190.476,571.429,
74,384568818,138402873,C[C@H]1C[C@H]([C@@](O[C@@H]1[C@H]2C[C@@H]([C@@]3(O2)[C@@H]([C@H](C[C@@H](O3)[C@@]4(CC[C@@]5(O4)C[C@@H]([C@H]([C@H](O5)[C@@H](C)/C=C(\C)/C(=O)[C@H](C)C[C@H](C)C(=O)[O-])C)O)C)OC6CC[C@@H]([C@H](O6)C)OC)C)C)(CO)O)C,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346524-02/250073182,,Inhibitor,0.6806,95.2647,,88,Complete curve; high efficacy,-6.1671,3.0654,0.9538,-99.2647,-4,-1.1,1 0 0 0 0 0 0 0 0 0 0,-98.7888,,,,-24.0624,,-21.4179,,-15.7509,-20.5956,,0,,0,,-56.2865,,-97.1554,-98.2221,,-99.0666,,-98.7888,,,,QC'd by Selleck
75,384569188,454216,CCCCC(=O)OCC(=O)[C@]1(C[C@@H](C2=C(C1)C(=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4OC)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)NC(=O)C(F)(F)F)O,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00390545-02/250073228,,Inhibitor,0.8568,91.8683,,88,Complete curve; high efficacy,-6.0671,1.8851,0.969,-100.062,-8.1936,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.6443,,,,-13.7952,,-19.3622,,-15.7731,-11.1284,,-3.4946,,-25.207,,-37.0965,,-95.2108,-97.7332,,-98.0999,,-97.6443,,,,QC'd by MedChem Express
76,384569352,91801204,C1CC(CCC1O)OC2=CC=CC3=CN=C(N=C32)NC4=CC5=C(C=C4)N=CN5,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00507888-01/250073466,,Inhibitor,0.4818,92.4605,,88,Complete curve; high efficacy,-6.3171,3.1925,0.9979,-92.4605,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.9188,,,,0,,0,,0,0,,1.4179,,-9.7835,,-73.3272,,-91.3999,-88.8804,,-90.4728,,-96.9188,,,,QC'd by Selleck
77,405558580,6438325,C[C@H](/C=C/C(C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/CC(=C)[C@H](C[C@@H]3O)O)C,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00182058-01/250072959,,Inhibitor,0.5406,95.384,,88,Complete curve; high efficacy,-6.2671,0.5,0.9091,-91.884,3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.1666,,,,0,,0,,-13.8924,-4.4533,,-24.9289,,-41.7015,,-41.4836,,-73.1409,-57.4212,,-64.5731,,-98.1666,,,,QC'd by Axon Medchem
78,405558896,6918092,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OP(=O)(O)O)OC)O)O,Active,88,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00185753-04/250073238,,Inhibitor,0.5406,88.2409,,88,Complete curve; high efficacy,-6.2671,3.5722,0.9889,-87.7409,0.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.8443,,,,0,,-2.6835,,0,0,,0,,0,,-62.9424,,-78.1655,-84.6325,,-91.8662,,-96.8443,,,,QC'd by Glixx
79,137275924,45279469,CC1=C(C=C(C=C1)C(=O)N)NC2=NC=CC(=N2)C3=CN(C4=C3C=CN=C4)C(C)C,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263020-01/250073580,,Inhibitor,1.7096,104.509,,87,Complete curve; high efficacy,-5.7671,1,0.9889,-103.509,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.1466,,,,0,,1.9606,,0.9027,0,,-0.7476,,-21.9621,,-21.4261,,-57.2114,-83.9269,,-95.5921,,-99.1466,,,,QC'd by NCGCChem
80,170465580,5311217,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263529-01/250073444,,Inhibitor,0.9614,90.2908,,87,Complete curve; high efficacy,-6.0171,1.4641,0.9227,-91.2908,-1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.1622,,,,0,,1.1125,,-16.8403,0,,-3.1739,,0.5781,,-31.4228,,-90.2983,-64.7216,,-90.3528,,-98.1622,,,,QC'd by Sequoia
81,225144373,134019,C1=CC(=C2C(=C1NCCN)C(=O)C3=C(C2=O)C=NC=C3)NCCN,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00274280-01/250073177,,Inhibitor,1.5237,95.6087,,87,Complete curve; high efficacy,-5.8171,1.3443,0.9895,-99.1087,-3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.7665,,,,0,,1.7723,,-7.3949,-6.3059,,-13.8285,,-4.8614,,-29.3072,,-60.6756,-86.5993,,-98.3221,,-97.7665,,,,QC'd by GVK
82,363680279,25127713,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=C(C=C3)Cl)Cl)F)OC4CCN(CC4)C(=O)C=C,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00386427-01/250073556,,Inhibitor,1.358,102.22,,87,Complete curve; high efficacy,-5.8671,1,0.9869,-101.72,0.5,-1.1,1 0 0 0 0 0 0 0 0 0 0,-98.5657,,,,-25.7948,,3.3048,,0,0,,-15.0952,,-5.8897,,-38.1196,,-59.8462,-84.9103,,-96.2208,,-98.5657,,,,QC'd by Selleck
83,377020378,766949,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00242227-11/250073090,,Inhibitor,1.0787,89.6926,,87,Complete curve; high efficacy,-5.9671,0.9,0.9457,-96.4463,-6.7537,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.5552,,,,-9.3055,,-18.4244,,-8.0166,-21.8575,,-2.2948,,-24.5197,,-42.3357,,-74.619,-79.329,,-79.7747,,-94.5552,,,,QC'd by MedChem Express
84,384568195,2929,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C(=O)C(=O)NC4=CC=NC=C4,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00160428-03/250073184,,Inhibitor,0.9614,86.2279,,87,Complete curve; high efficacy,-6.0171,1,0.9888,-87.7279,-1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-90.255,,,,-2.2057,,-6.7059,,-4.6503,0,,0,,-19.7511,,-41.1523,,-59.6422,-74.2986,,-81.7545,,-90.255,,,,QC'd by Tocris
85,384568239,73364,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00163432-03/250073272,,Inhibitor,1.0787,95.6943,,87,Complete curve; high efficacy,-5.9671,0.7,0.9572,-99.6943,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.7995,,,,-9.995,,-5.2614,,-22.9957,0,,-16.4176,,-26.9182,,-52.464,,-56.7643,-81.9768,,-88.3105,,-91.7995,,,,QC'd by Tocris
86,384568558,25022668,C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00250410-11/250073496,,Inhibitor,1.358,96.1582,,87,Complete curve; high efficacy,-5.8671,1.6604,0.9951,-99.6582,-3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.5405,,,,-5.4098,,0,,0,-1.2979,,-9.4563,,-12.0739,,-26.4056,,-69.9787,-95.7627,,-97.7041,,-97.5405,,,,QC'd by MedChem Express
87,384568635,25102847,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263164-07/250073420,,Inhibitor,2.1523,116.347,,87,Complete curve; high efficacy,-5.6671,0.5,0.9389,-112.347,4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-94.5686,,,,0,,0,,0,-13.6596,,2.6954,,-40.4173,,-46.3086,,-42.5074,-68.5887,,-84.4229,,-94.5686,,,,QC'd by ChemieTek
88,384568789,131842426,CO[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)N2C3=C(C=CC=C3Cl)C4=C5C(=C6C7=C(C(=CC=C7)Cl)NC6=C42)C(=O)NC5=O)CO,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346471-03/250073085,,Inhibitor,0.9614,92.2048,,87,Complete curve; high efficacy,-6.0171,4.9549,0.9513,-96.2048,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.2057,,,,0,,0,,-20.3036,-19.0026,,0,,-23.1103,,-19.7615,,-96.0128,-95.7116,,-95.1214,,-95.2057,,,,QC'd by Cayman
89,384569428,50898338,COC1=CC=C(C=C1)S(=O)(=O)N2CCC3=C2C(=CC=C3)C4=CC=NC=C4,Active,87,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00510350-01/250073255,,Inhibitor,0.9614,93.3443,,87,Complete curve; high efficacy,-6.0171,0.8,0.9742,-93.8443,-0.5,-1.1,1 0 0 0 0 0 0 0 0 0 0,-91.4662,,,,-26.107,,2.0834,,-9.3505,0.8612,,-19.8178,,-16.5954,,-37.6854,,-67.1982,-78.7988,,-79.5433,,-91.4662,,,,QC'd by Axon Medchem
90,170465515,2406,C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00018163-10/250073514,,Inhibitor,2.7096,110.644,,86,Complete curve; high efficacy,-5.5671,0.7,0.9698,-114.644,-4,-1.1,0 0 0 0 0 0 0 1 0 0 0,-99.7655,,,,-12.2266,,0,,-5.8897,-9.2163,,-21.7047,,-9.9471,,-39.6793,,-3.9483,-69.9787,,-100.038,,-99.7655,,,,QC'd by Specs
91,363677427,3035714,COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346494-06/250073015,,Inhibitor,1.2103,86.5381,,86,Complete curve; high efficacy,-5.9171,1.1,0.9074,-90.5381,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.5043,,,,-22.5933,,-10.3467,,1.428,-3.5941,,-5.4214,,0,,-52.266,,-60.507,-63.956,,-89.1753,,-95.5043,,,,QC'd by MedChem Express
92,363680201,71481097,C1=CN=C(C=N1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00386310-03/250073495,,Inhibitor,3.0402,108.614,,86,Complete curve; high efficacy,-5.5171,0.7,0.9593,-112.614,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.7839,,,,-2.3668,,4.0137,,-11.7249,-11.7576,,-20.6904,,-27.6381,,-23.1445,,-41.9153,-78.028,,-96.9406,,-98.7839,,,,QC'd by Selleck
93,363680531,49839561,C1CC1C(=O)NC2=NC=CC(=C2)NC(=O)C3=C(C=CC=C3Cl)Cl,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00387038-01/250073007,,Inhibitor,1.9182,85.7528,,86,Complete curve; high efficacy,-5.7171,1.9673,0.9699,-98.3787,-12.6259,-1.1,0 0 0 0 0 0 0 0 0 0 0,-95.8069,,,,-17.7649,,-26.3811,,-7.1882,-19.7253,,-7.6965,,-21.7825,,-22.315,,-58.2078,-95.2623,,-97.5979,,-95.8069,,,,QC'd by SynKinase
94,363681386,11242315,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H](C(=C2F)CO)O)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00485875-01/250073499,,Inhibitor,1.5237,93.8289,,86,Complete curve; high efficacy,-5.8171,2.2481,0.999,-93.3289,0.5,-1.1,1 0 0 0 0 0 0 0 0 0 0,-94.8465,,,,-20.6795,,0,,0,0,,0,,1.6688,,-13.7536,,-60.1843,-89.7966,,-92.4361,,-94.8465,,,,QC'd by MedChem Express
95,384568301,5311497,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00165966-05/250073263,,Inhibitor,1.4848,92.5375,,86,Complete curve; high efficacy,-5.8283,1.4641,0.9165,-96.5375,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.2772,,,-4.6614,,-16.5176,,-10.1839,-31.5184,,1.1278,,-3.1946,,-6.8615,-39.6633,,-78.8877,,-93.5441,,-89.2772,,,,,QC'd by MedChem Express
96,384568550,5459219,CN1CC[C@H]([C@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00250401-11/250073610,,Inhibitor,1.2103,92.5008,,86,Complete curve; high efficacy,-5.9171,4.9549,0.9968,-91.5008,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-91.163,,,,0,,0,,0,0,,0,,0,,0,,-91.3181,-90.0487,,-89.0754,,-91.163,,,,QC'd by MedChem Express
97,384568656,24748573,C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263192-04/250073186,,Inhibitor,2.1523,95.6575,,86,Complete curve; high efficacy,-5.6671,1.3723,0.9793,-99.6575,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.8666,,,,-9.8505,,-16.2842,,0.6389,-5.5836,,3.2502,,-9.2283,,-25.5736,,-46.6415,-83.4657,,-95.3997,,-98.8666,,,,QC'd by Axon Medchem
98,384568753,50909779,C1=CC=C(C=C1)C[C@@H](C(=O)NCC2=CC=CC=C2)NC(=O)[C@@H]3[C@H](O3)C(=O)NCCC4=CC=C(C=C4)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00345807-02/250073422,,Inhibitor,1.358,98.5361,,86,Complete curve; high efficacy,-5.8671,0.7,0.9888,-94.5361,4,-1.1,1 0 0 0 0 0 0 0 0 0 0,-89.5228,,,,-29.8725,,0,,0,0,,0,,-23.129,,-38.7872,,-50.908,-67.6891,,-80.2361,,-89.5228,,,,QC'd by EMD Chemicals
99,384568899,16718576,CC1(CC2=CN=C(N=C2C3=C1C(=NN3C)C(=O)NC)NC4=CC=C(C=C4)N5CCN(CC5)C)C,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346673-02/250073681,,Inhibitor,3.0402,105.168,,86,Complete curve; high efficacy,-5.5171,1,0.9235,-109.168,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-97.8207,,,,0,,0.5219,,4.7394,0,,-20.5092,,-31.864,,-19.0422,,-31.328,-89.1741,,-96.5794,,-97.8207,,,,QC'd by Selleck
100,384568915,135402864,CCCCOC1=C(C=NC2=NNC=C12)C(=O)C3=C(C=C(C=C3F)C)F,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00346693-02/250073534,,Inhibitor,1.5237,96.5203,,86,Complete curve; high efficacy,-5.8171,2.7868,0.9995,-96.5203,0,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.9079,,,,-2.2468,,0,,0,0,,1.5161,,0,,-9.5654,,-68.7026,-95.8172,,-96.1662,,-96.9079,,,,QC'd by Selleck
101,384569101,5327686,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=C4C=CC(=C5)[N+](=O)[O-])C,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00381605-01/250073678,,Inhibitor,1.7096,93.5659,,86,Complete curve; high efficacy,-5.7671,1.6924,0.9795,-97.0659,-3.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-96.9885,,,,-16.2353,,-6.6436,,-5.1767,4.7253,,0.1411,,0,,-21.4543,,-61.9649,-82.728,,-98.0464,,-96.9885,,,,QC'd by Angene
102,384569249,11488110,C[C@@H](C(F)(F)F)NC1=C(C(=NC2=NC=NN12)Cl)C3=C(C=C(C=C3F)OCCCNC)F,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00480898-01/250073424,,Inhibitor,1.2103,90.1644,,86,Complete curve; high efficacy,-5.9171,1,0.9965,-89.1644,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-87.9333,,,,0,,0,,0,0,,0,,-18.2455,,-31.2456,,-55.9336,-73.2084,,-84.2538,,-87.9333,,,,QC'd by Glixx
103,384569302,81689696,C[C@@]1(C2=C(C=C(C=C2)C3=CNN=C3)C(=O)N1)C4=NC=NC=C4F,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00498439-01/250073489,,Inhibitor,3.0402,115.517,,86,Complete curve; high efficacy,-5.5171,0.5,0.9573,-118.517,-3,-1.1,1 0 0 0 0 0 0 0 0 0 0,-94.0612,,,,-23.3626,,0,,-10.1652,-14.6698,,-30.3648,,-29.8086,,-30.3648,,-47.336,-78.4425,,-91.6726,,-94.0612,,,,QC'd by ChemieTek
104,384569359,59548201,CC1=NC(=NC(=N1)N)C2=C(N=CC(=C2)C(C)N3CCN(CC3)S(=O)(=O)C)NC4=CC(=C(N=C4)OC)F,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00507966-01/250072943,,Inhibitor,1.5237,91.8536,,86,Complete curve; high efficacy,-5.8171,0.8,0.9492,-95.8536,-4,-1.1,1 0 0 0 0 0 0 0 0 0 0,-95.0929,,,,-48.6235,,-21.7341,,1.077,-9.6085,,0,,-20.4393,,-42.1371,,-56.7072,-70.9869,,-81.2852,,-95.0929,,,,QC'd by ChemieTek
105,405558736,146170505,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C(C3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00389554-01/250072991,,Inhibitor,2.7096,117.81,,86,Complete curve; high efficacy,-5.5671,0.6,0.9505,-119.31,-1.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.4252,,,,0,,0,,2.6623,-14.2434,,-27.1556,,-29.5637,,-23.2589,,-48.1031,-85.7022,,-96.3756,,-99.4252,,,,QC'd by Microsource
106,405558835,16130966,CCNC(=NCCCC[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCCC1C(=O)N[C@H](C)C(=O)N)NC(=O)[C@@H](CC2=CC=C(C=C2)O)NC(=O)[C@@H](CO)NC(=O)[C@H](CC3=CN=CC=C3)NC(=O)[C@H](CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C)NCC,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00482546-01/250073468,,Inhibitor,1.2103,83.0384,,86,Complete curve; high efficacy,-5.9171,1,0.9824,-87.0384,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-89.5457,,,,-11.0269,,0,,-13.1428,-5.2571,,-9.1073,,-14.2662,,-37.1489,,-58.0029,-72.2801,,-78.0717,,-89.5457,,,,QC'd by DC Chemicals
107,405558902,6917864,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C,Active,86,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00164600-10/250073248,,Inhibitor,1.358,91.05,,86,Complete curve; high efficacy,-5.8671,4.9549,0.9981,-90.05,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.644,,,,0,,0,,2.9446,0,,0,,0,,0,,-80.9323,-86.2326,,-91.2217,,-92.644,,,,QC'd by Microsource
108,124878446,3246519,CN1CC[C@@H](C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00014482-03/250073028,,Inhibitor,3.4111,108.137,,85,Complete curve; high efficacy,-5.4671,0.8,0.9658,-108.637,-0.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.9411,,,,-12.3434,,0,,0,-0.5567,,-0.2904,,0,,-36.9093,,-44.9083,-63.6171,,-88.3161,,-98.9411,,,,QC'd by NCGC
109,124894552,60810,C1CN(CCN1CCCC(=O)NC2C3=CC=CC=C3CSC4=CC=CC=C24)C5=CC=C(C=C5)F,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00183837-01/250073664,,Inhibitor,1.9182,84.7733,,85,Complete curve; high efficacy,-5.7171,2.3031,0.984,-82.7733,2,-1.1,0 0 0 0 0 0 0 0 0 0 0,-92.5876,,,,0,,4.8099,,0,2.8493,,0,,0,,0,,-48.1134,-70.2306,,-77.9322,,-92.5876,,,,QC'd by Pharmaron
110,170465090,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00090774-05/250073604,,Inhibitor,3.8274,103.021,,85,Complete curve; high efficacy,-5.4171,1.5579,0.9955,-102.021,1,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.2862,,,,0,,0,,0,0,,0,,0,,0,,-32.2308,-67.3249,,-97.1719,,-98.2862,,,,QC'd by Vitas
111,170465292,2444,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00249891-01/250073586,,Inhibitor,2.4149,100.347,,85,Complete curve; high efficacy,-5.6171,0.6,0.932,-97.8475,2.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-82.4318,,,,0,,0,,0,0,,0,,-29.7341,,-39.6784,,-27.6888,-62.8112,,-85.8312,,-82.4318,,,,QC'd by GVK
112,170465523,2817,C1=CC2=C(C=CC(=C2N=C1)O)Cl,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00095303-04/250073659,,Inhibitor,2.7096,95.8798,,85,Complete curve; high efficacy,-5.5671,4.9549,0.998,-95.3798,0.5,-1.1,0 0 0 0 0 0 0 0 0 0 0,-99.9788,,,,0,,0,,0,1.3118,,0,,0,,0,,-19.4936,-93.8007,,-91.7977,,-99.9788,,,,QC'd by Vitas
113,363677255,9902100,C[C@@H](C1=CC=C(C=C1)NC(=O)C)C(=O)NC2=NC=C(S2)C(C)C,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00263191-02/250072970,,Inhibitor,4.8184,107.027,,85,Complete curve; high efficacy,-5.3171,0.7,0.916,-111.027,-4,-1.1,1 0 0 0 0 0 0 0 0 0 0,-90.5912,,,,-39.8378,,-22.436,,-6.2685,3.2069,,0,,-25.4372,,-27.446,,-42.9358,-51.9393,,-93.9311,,-90.5912,,,,QC'd by SynKinase
114,363680714,11591420,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00387872-01/250073638,,Inhibitor,3.8274,94.3567,,85,Complete curve; high efficacy,-5.4171,4.095,0.9885,-98.3567,-4,-1.1,0 0 0 0 0 0 0 0 0 0 0,-98.1592,,,,0,,-3.2866,,0.6065,0,,-5.6139,,-16.0378,,-4.1893,,-13.7527,-88.0598,,-98.7517,,-98.1592,,,,QC'd by ChemieTek
115,377020265,5494425,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,Active,85,http://assay.nih.gov/htsws/rest/display/TRND-SARS2-PP-HEK293ACE2-f4-mipe-npc/NCGC00345828-07/250073229,,Inhibitor,1.7096,72.2535,,85,Complete curve; high efficacy,-5.7671,0.8,0.898,-80.2737,-8.0202,-1.1,0 0 0 0 0 0 0 0 0 0 0,-66.8982,,,,-22.429,,-17.4399,,-3.3502,-5.2058,,-20.9956,,-23.518,,-29.5183,,-42.3524,-61.1645,,-84.6769,,-66.8982,,,,QC'd by MedChem Express
