PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,,STRING
RESULT_UNIT,,,,,,,,NONE
405,49819261,24817814,CC1=C(OCCO1)C(=O)N2CCCC(C2)N3CCN(CC3)C4=CC=C(C=C4)OC,Inactive,10,,,
406,22401183,135469942,COC1=CC=C(C=C1)CN2C(=C(C(=O)NC2=O)/C=N/NC(=O)C3=CC=CC=C3O)O,Inactive,10,,,
407,17511549,1962220,CCOC(=O)C1=C(N(C(=S)S1)C)NC(=O)C2=CC=CC=C2Cl,Inactive,10,,,
408,7977569,1238236,COC1=C(C=C2C(=C1)C(=O)OC(=N2)CN3C(=O)C4=CC=CC=C4C3=O)OC,Inactive,10,,,
409,7971924,135449175,C1=CC=C(C=C1)COC(=O)CSC2=NC(=C(C(=O)N2)NC(=O)C3=CC=CO3)N,Inactive,10,,,
410,49825695,6467008,C1CCC2=C(C1)C(=CS2)C(=O)NC3=CC=CC(=C3)C4=NNN=N4,Inactive,10,,,
411,14734945,962497,CCN(C1=CC=CC(=C1)C)S(=O)(=O)C2=CC=CC(=C2)C(=O)O,Inactive,10,,,
412,24824556,5817112,C1=CC=C(C(=C1)/C=C\2/C(=O)N=C(S2)N=C(N)N)N3C=CC=N3,Inactive,10,,,
413,17505042,135444136,COC1=C(C=CC(=C1)/C=N/NC(=O)C2=NC=CN=C2)O,Inactive,10,,,
414,17433323,748047,C1=CC=C(C=C1)C2=C(C(=O)NC3=C2C=C(C=C3)Cl)SCC(=O)O,Inactive,10,,,
415,22413196,15945687,CN(C)CC1=C(C=C(C=C1)F)SC2=C(C=CC(=C2)Cl)Cl.Cl,Inactive,10,,,
416,49644997,2872206,CC(=O)NC(C1=CC(=CC=C1)[N+](=O)[O-])C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,10,,,
417,22401588,2517431,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CN=CC=C3)/C=C/C(=O)OCC(=O)NC4=CC=C(C=C4)C(=O)N,Inactive,10,,,
418,89854501,561070,CC(CC(=O)NOCC1=CC=CC=C1)O,Inactive,10,,,
419,49816810,8103,CCCCCCO,Inactive,10,,,
420,17413971,976459,CCOC1=CC=CC=C1NC(=S)NC2=CC=CC=C2F,Inactive,10,,,
421,17514909,12005916,CCOC1=CC=C(C=C1)C2=NN=C3N2N=C(C=C3)SCC(=O)NC4=NC5=CC=CC=C5S4,Inactive,10,,,
422,87349521,44602185,CCN1C(=O)[C@H]2[C@H]3CN=C(N3[C@@]([C@H]2C1=O)(C)C(=O)OC)SCC(=O)C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,10,,,
423,17505093,135497974,CC1=CC(=NN1)C(=O)N/N=C/C2=C(C=CC(=C2)N=NC3=CC=CC=C3)O,Inactive,10,,,
424,57263347,7998858,C1CCN(CC1)S(=O)(=O)C2=C(C=CC(=C2)NC(=O)C3=CC=NC=C3)Cl,Inactive,10,,,
425,17507573,2876499,CC1=NC(=C(N1CC2=CC=CC=C2)SC3=NC4=C(N3)C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-],Inactive,10,,,
426,4249700,3243617,CC1CCC2(CC1)C(=C(C(=O)O2)C)C(=O)N3CCC4=CC=CC=C43,Inactive,10,,,
427,17511199,9616086,CC(C)/C=N/NC(=O)C1=C(C=CC(=C1)Br)O,Inactive,10,,,
428,856320,555630,C1=CC=C(C=C1)N=C(C2=NON=C2N)NO,Inactive,10,,,
429,845129,135431429,C1CCC(CC1)NC(=O)/C(=N\O)/C2=CC=CC=N2,Inactive,10,,,
430,22415717,1581717,CC(C)CNC(=S)NC(=O)C1=CC=CC=C1Cl,Inactive,10,,,
431,22406359,15945137,C1CCN(CC1)CC(=O)C2=CC=C(C=C2)OC(F)F.Br,Inactive,10,,,
432,7966215,1088156,CCOC(=O)C1=C(C2=CC=CC=C2O1)CN3CCN(CC3)C(=O)C4=CC=CC=C4,Inactive,10,,,
433,24824082,3611,CC(C)C1=CC(=O)C(=CC=C1)O,Inactive,10,,,
434,49718516,24790240,CC1=CC=C(O1)CN(C)C(=O)C2CCC(=O)N(C2)CCC3=CC=CC=C3,Inactive,10,,,
435,14719075,9549130,CC1=C(C(=NN1C)C)/C=C\2/CC3C4CC=C5CC(CCC5(C4CCC3(C2=O)C)C)O,Inactive,10,,,
436,17508311,578058,C1CCCN(CC1)N=NC2=CC=C(C=C2)C(=O)O,Inactive,10,,,
437,56324849,24983143,CCOC1=CC=C(C=C1)S(=O)(=O)NCCC(=O)NCCOC2=CC=CC=C2,Inactive,10,,,
438,17507426,6185375,C/C(=N\NC(=O)CC1=CSC(=N1)N)/CC(=O)NC2=CC=C(C=C2)N(C)C,Inactive,10,,,
439,56462796,12748,CC1=CSC=N1,Inactive,10,,,
440,22411292,135401302,CCN(CC)C1=CC(=C(C=C1)/C=N/NC2=NC(=CC(=N2)C)C)O,Inactive,10,,,
441,17432084,2959898,C1CCC(C1)NC(=S)N2CCN(CC2)CC(=O)NC3=CC=C(C=C3)OC4=CC=CC=C4,Inactive,10,,,
442,89856116,44825981,CC[C@@]1([C@@H]2[C@H]([C@@H]3N1C(=NC)N(C3)CC)C(=O)N(C2=O)C)C(=O)OC.C(=O)(C(F)(F)F)O,Inactive,10,,,
443,842944,645215,COC1=CC(=CC(=C1OC)OC)C(=O)NC2CCN(CC2)CC3=NN=NN3CC4=CC=CS4,Inactive,10,,,
444,22405683,4840954,CC1=C(SC(=S)N1)CC2=CC=C(C=C2)F,Inactive,10,,,
445,4248377,1523405,CCN1C2=C3C(=C(C=C2)S(=O)(=O)NC4=CC=CC=C4OC)C=CC=C3C1=O,Inactive,10,,,
446,7968298,5309332,C1CCN(C1)C(=O)CSC2=NN=C(N2C3=CC=CC=C3)CN4C5=CC=CC=C5SC4=O,Inactive,10,,,
447,17507617,3144953,COCC(CNC1=CC=CC=C1)O,Inactive,10,,,
448,22409515,5207024,CCCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CSC3=NN=C(N3CC)C4=CC=C(C=C4)OC,Inactive,10,,,
449,14746929,6216004,CC1=NN(C(=C1/C=C/C(=O)OCC(=O)NC2=C(C=CC(=C2)Cl)OC)Cl)C3CCS(=O)(=O)C3,Inactive,10,,,
450,49820241,24687355,CCN(CC(=O)NC1=CC=C(C=C1)NC(=O)C)C(=O)/C=C/C2=C(N(N=C2C)C3=CC=C(C=C3)F)C,Inactive,10,,,
451,22416931,3813856,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC2=CC(=C(C=C2)NC(=O)C3=CC=CO3)OC,Inactive,10,,,
452,17432669,2921187,CCCC(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-],Inactive,10,,,
453,851285,653848,COC1=C(C=C(C=C1)C2=NN=CO2)OC,Inactive,10,,,
454,17432261,2963841,CN1C(=O)C2=C(C1=O)C=C(C=C2)NC(=O)C3=CC(=C(C=C3)N4CCCCC4)[N+](=O)[O-],Inactive,10,,,
455,85201546,44202630,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3CC3)O[C@@H]1CN(C)C(=O)NC4=CC=C(C=C4)OC)[C@H](C)CO,Inactive,10,,,
456,22404294,1229795,CC1=C(C(=NN1C)C(=O)NNC(=S)NC2=CC=CC=C2OC)Br,Inactive,10,,,
457,17503873,3108106,CC1(C2CCC1(C(=O)N(C2=O)NC(=O)C3=CC=CC=C3O)C)C,Inactive,10,,,
458,17514500,135517165,CC(C)(C)C1=NN=C(N(C1=O)N)N/N=C/C2=CC=CC=C2O,Inactive,10,,,
459,56316984,24687072,CC1=C(OC2=C1C=C(C=C2)OC)C(=O)OCC(=O)N(C)CC(=O)NC3=CC=C(C=C3)F,Inactive,10,,,
460,14746705,3361499,CC1=CC(=NO1)NC(C2=CC=C(C=C2)Cl)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,10,,,
461,4245266,3239757,COC1=CC=C(C=C1)OC(=O)C2=CC=NC=C2,Inactive,10,,,
462,14733036,9550364,CC1CCN(CC1)C2=[N+](N(N=C2[N+](=O)[O-])C3=CC4=C(C=C3)OCCO4)[O-],Inactive,10,,,
463,17505776,3813131,CC1=CC=C(C=C1)NC2=NC(=NC(=C2[N+](=O)[O-])N)NCCCN3CCOCC3,Inactive,10,,,
464,14724410,777819,C1CCC2(CC1)CC3=CC=CC=C3C4=NN=NN24,Inactive,10,,,
465,56319139,24980639,CN(C)S(=O)(=O)C1=CC(=C(C=C1)N2CCCC2)C(=O)N(C)CC(=O)NC3=C(C=CC=C3Cl)Cl,Inactive,10,,,
466,22406181,2344311,C1CCC2=NC3=C(C=CC(=C3)C(=O)NC4=NC(=CS4)C5=CC=CC=C5)C(=O)N2CC1,Inactive,10,,,
467,14726435,3155763,CCCN1C(=O)C(SC1=O)CC(=O)NC2=CC=CC=C2C,Inactive,10,,,
468,14720790,747902,CC1=CC=C(C=C1)OC2=NS(=O)(=O)C3=CC=CC=C32,Inactive,10,,,
469,17504175,9685271,C1=CC=C2C(=C1)C=CC(=N2)/C=N/NC3=C(C(=NC=N3)Cl)N,Inactive,10,,,
470,17506248,760036,CCN1C2=CC=CC=C2C(=C1OCC)/C=C(\C#N)/C(=O)OCC,Inactive,10,,,
471,4249211,3243195,CC1=CC(=C(C=C1)C)N2CCN(CC2)C(=O)C3CCCN(C3)S(=O)(=O)C4=C(NC(=O)NC4=O)C,Inactive,10,,,
472,14746622,9552020,CC(C)NC(=O)CN1C(=O)C(NC1=O)CCC2=CC=CC=C2,Inactive,10,,,
473,7970606,4132226,CCC1=NN=C(S1)NC(=O)CSC2=NC=CN2C3=CC=CC(=C3)C,Inactive,10,,,
474,17432509,135425029,CC1=C(C(=O)N(N1)C2=CC=CC=C2)/C=N\NC(=O)C3COC4=CC=CC=C4O3,Inactive,10,,,
475,17509466,3546772,CC(C)OCCCNC(=O)C1=CC(=NC2=CC=CC=C21)SC3=CC=C(C=C3)F,Inactive,10,,,
476,14723021,1090308,C1CN(CCN1CC2=C3C=CC=NC3=C(C=C2)O)C4=CC=CC=C4,Inactive,10,,,
477,14739256,135453527,CC1=CC2=C(N=C(N=C2C=C1)NC3=NC(=CC(=O)N3)CSC4=NN=NN4C5=CC=CC=C5)C,Inactive,10,,,
478,49642534,3136121,CC(=O)NC(C1=C(C=C(C=C1)Cl)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,10,,,
479,85146988,44142824,CCCCN1CC(=O)N2[C@@H]3[C@H](COC4=C3C=CC(=C4)OC)[C@@H]([C@@]2(C1=O)C)C5=CC=CC=C5,Inactive,10,,,
480,22406686,9625660,CC1=CC=C(S1)/C=N/NC2=NC3=CC=CC=C3N2,Inactive,10,,,
481,56317103,24687251,CCOC1=CC=C(C=C1)OCCC(=O)N(CCCOC)C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)N,Inactive,10,,,
482,22414732,54688245,C/C(=N\NC(=S)N)/CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,Inactive,10,,,
483,22412261,9617814,CN(C)C1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)/N=C/C4=CC=C(C=C4)Br,Inactive,10,,,
484,14727863,9549699,CC(C)N(CC1=CC=CC=C1)CC(COC2=CC=CC3=C2C(=CN3)CC(=O)OC)O.C1=CC=C(C(=C1)C(=O)O)O,Inactive,10,,,
485,16952550,3873263,CC(C(=O)NC(=O)NC1CCCCC1)OC(=O)CNC(=O)C2=CC=CC=C2OC,Inactive,10,,,
486,17504502,6889494,CCOC1=CC=C(C=C1)C2=C(N=NN2C3=NON=C3N)C(=O)N/N=C/C4=CC=C(C=C4)OC,Inactive,10,,,
487,49827931,18266728,C1CCC2(C1)C(=O)N(C(=O)N2)CC(=O)N3CCN(CC3)S(=O)(=O)C4=CC=CC(=C4)F,Inactive,10,,,
488,56315313,24978938,C1CCN(CC1)C2=NC(=O)C(S2)CC(=O)NC3=CC=CC(=C3)C(=O)NC4=C(C=CC=N4)O,Inactive,10,,,
489,14745024,4000895,C1=CC=C(C=C1)C(C(=O)NC2=CC(=CC(=C2)Cl)Cl)NCCO,Inactive,10,,,
490,14746748,4347626,CC1=CC(=CC(=C1)C(=O)N(C2=CC=CC=N2)C(C)C3=CC=CO3)C,Inactive,10,,,
491,22406756,135466207,C1=CC=C2C(=C1)C(=C(N(C2=O)C3=NC=C(C=C3)Cl)O)/C=N/NC(=O)C4=CC=NC=C4,Inactive,10,,,
492,22404538,6872805,CC1=CC(=C(N1C2=CC(=C(C=C2)Cl)Cl)C)/C=N/NC(=S)N,Inactive,10,,,
493,14731351,242889,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)F,Inactive,10,,,
494,49826371,24819318,CCC1=NC=CN1CCC(=O)N2CCCC(C2)NC3=CC=C(C=C3)C(C)C,Inactive,10,,,
495,57267930,16282544,CN(C)C(CNC(=O)C1CCN(CC1)C(=O)NC2=CC=CC=C2)C3=CC(=CC=C3)OC,Inactive,10,,,
496,3712307,2997975,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)OC(=O)CNC(=O)C3=CC=CO3,Inactive,10,,,
497,17507183,135458767,C1=CC=C(C(=C1)/C=N/NC2=NC=C(C=N2)Br)O,Inactive,10,,,
498,3713379,2998389,C1CN(CCN1CC(COC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)O)C4=CC=CC=C4,Inactive,10,,,
499,22408045,2122189,CCCNC(=S)NCC1=CC=C(C=C1)Cl,Inactive,10,,,
500,14725916,972496,CC(=O)NC1=CC=C(C=C1)C2=CSC(=N2)NCC3=CC=CO3,Inactive,10,,,
501,22401382,135521467,C/C(=N\NC(=O)C1=CC(=NC2=CC=CC=C21)C3=CN=CC=C3)/C4=C(C=C(C=C4)O)O,Inactive,10,,,
502,14732615,805519,C1=CC=C(C=C1)N2C=C(C=N2)CC(=O)C3=C(C(=C(C=C3)O)O)O,Inactive,10,,,
503,46501113,23641023,CN1C(CC2C1C3=NC4=CC(=C(C=C4N3C2)Cl)Cl)C(=O)NCC=C,Inactive,10,,,
504,22413793,9710824,C/C(=N\NC(=O)C1=NC=CN=C1)/CC(=O)NC2CCCCCC2,Inactive,10,,,
505,49644946,2876744,CCC(=O)NC(C1=CC=C(C=C1)C)C2=C(C3=C(C=CC=N3)C=C2)O,Inactive,10,,,
506,17509095,2893685,C1=CC=C(C=C1)C(CC(=O)NC2=CC=CC3=CC=CC=C32)NC(=O)C4=CC=CC=C4,Inactive,10,,,
507,17504085,781246,C1=CC(=CC=C1NN2C(=O)C=CC2=O)Br,Inactive,10,,,
508,845649,648004,C1=CC=C2C(=C1)C3=C(C(C(=C(O3)N)C#N)C4=CN=CC=C4)C(=O)O2,Inactive,10,,,
509,14724366,843181,CC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)NC(=O)C4=CC=CO4,Inactive,10,,,
510,17504648,999758,CCN1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)NC3=CC(=C(C=C3)Cl)Cl,Inactive,10,,,
511,17509184,844036,C1=CC=NC(=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Inactive,10,,,
512,57260036,9441134,CCN(CC)C(=O)C1=CC(=CC=C1)NC(=O)C2=COCCO2,Inactive,10,,,
513,4257826,786355,CCC1=NN=C(S1)NC(=O)C2=NC=CN=C2,Inactive,10,,,
514,17517206,2378329,CC1=CC=C(C=C1)NC(=O)CNC2=CC(=C(C=C2C(=O)OC)OC)OC,Inactive,10,,,
515,22403142,5346075,CC1=CC(=C(N1C2=CC=C(C=C2)Cl)C)/C=N/NC(=S)N,Inactive,10,,,
516,49720932,20885691,CCC1=CC=C(C=C1)CNC(=O)CCCN2C(=O)C3=NC=CN3C(=N2)C,Inactive,10,,,
517,49818738,24817661,CC(=O)C1=CC=CC(=C1)CN2CCC(CC2)C(=O)NC3=CC=C(C=C3)OC4=CN=CC=C4,Inactive,10,,,
518,22403754,2900185,CCCCNC(=O)N1CCC2=CC=CC=C2C1,Inactive,10,,,
519,17506269,1561718,CCCCOC(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)OC3=CC(=CC(=C3)C)C,Inactive,10,,,
520,3713620,2128947,CCOC(=O)C1=C(NC(=C1C)C(=O)OCC)CSC2=NN=C(O2)C3=CC=C(C=C3)OC,Inactive,10,,,
521,17513186,135517113,CC1=C(C(=NN1C(C)C(=O)N/N=C(\C)/C2=CC=CC=C2O)C)[N+](=O)[O-],Inactive,10,,,
522,17512848,135484398,C1CC2=CC=CC=C2N(C1)CC(=O)N/N=C/C3=C(C=CC4=CC=CC=C43)O,Inactive,10,,,
523,17409212,624107,CC1=C(SC=C1)C2C3=C(CC(CC3=O)(C)C)C4=C(N2)C=CC5=C4C=CC=N5,Inactive,10,,,
524,17407555,135436050,CC1(CC(=C(C(=O)C1)C=NCCN2CCN(CC2)C(=S)NC3=CC=CC=C3)O)C,Inactive,10,,,
525,22414991,9654636,CCCCCC(=O)N/N=C(\C)/C1=CC=C(C=C1)N2CCCCC2,Inactive,10,,,
526,17508499,3159585,CC1=CC2=C(C=C1)NC=C2C(=O)CCl,Inactive,10,,,
527,17513360,6893934,CC1=CC(=C(C=C1)CN2CCN(CC2)/N=C/C3=CC=C(C=C3)C(F)(F)F)C,Inactive,10,,,
528,24823068,135439710,C1=CC=C2C(=C1)C=CC(=C2/C=N/NC(=O)C3=C[N+](=CC=C3)CCO)O.[Cl-],Inactive,10,,,
529,17414785,887037,CN(C)CCNC(=S)NC1=CC(=CC=C1)Cl,Inactive,10,,,
530,14744711,3958112,C1=CC=C2C(=C1)N=C(N2CC(=O)NCCC3=CC=C(C=C3)F)NCCO,Inactive,10,,,
531,16952933,1089132,CC(=O)CSC1=NN=C(N1C)C2=CC=NC=C2,Inactive,10,,,
532,14721179,3138330,CCCCC(=O)NNC(=S)NC(=O)CCC,Inactive,10,,,
533,3712441,2107696,CC1=C(C=C(C=C1)S(=O)(=O)NCCC(=O)NCC2=CC3=C(C=C2)OCO3)C,Inactive,10,,,
534,17432694,5717122,CC[N+]1=C(SC2=CC=CC=C21)/C=C(/C)\SC.COS(=O)(=O)[O-],Inactive,10,,,
535,49732756,135488395,CCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N/C(=N\N=C3CCCCCC3)/S2,Inactive,10,,,
536,17388162,1450447,COC1=CC2=CC(=C(N=C2C=C1)SCC(=O)N3CC(=O)NC4=CC=CC=C43)C#N,Inactive,10,,,
537,22410010,2504528,CC1=CC(=CC=C1)C2=NN=C(N2CC=C)SCC3=CC(=O)N4C=C(C=CC4=N3)C,Inactive,10,,,
538,4263316,971995,CCSC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=CC=C3F,Inactive,10,,,
539,17513558,1880649,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC(=S)NNC(=O)C3=CC=CC=C3O,Inactive,10,,,
540,17515904,2125655,CCCN(CC(=O)NC1=C(C=C(C=C1)C)Br)CC(=O)NC2=C(C(=C(C=C2)F)F)F,Inactive,10,,,
541,22404364,12414022,CC(COC(=O)C1=CC=CC=C1)(COC(=O)C2=CC=CC=C2)/[N+](=C/C3=CC=CC=C3)/[O-],Inactive,10,,,
542,22412138,6875051,CN(C)C1=CC=CC(=C1)C(=O)N/N=C/C2=CSC=C2,Inactive,10,,,
543,14736623,934904,CCN(CC(=O)N1CCCC1)S(=O)(=O)C2=CC=C(C=C2)Cl,Inactive,10,,,
544,24840714,2341783,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CSC3=CC=CC=[N+]3[O-],Inactive,10,,,
545,14728409,830665,CCC1=CC=C(C=C1)OC2=NC(=NC(=C2)C)N,Inactive,10,,,
546,17505284,1213400,COC1=CC(=C(C=C1NC(=S)NCC2=CC=C(C=C2)S(=O)(=O)N)OC)Cl,Inactive,10,,,
547,49735115,6622549,C1CCC2=NC3=C(C=CC(=C3)C(=O)NC4=CC=CC(=C4)C(F)(F)F)C(=C2C1)SCC(=O)O,Inactive,10,,,
548,22410863,2546373,COC1=CC=CC(=C1)NC(=O)COC(=O)CNS(=O)(=O)C2=C(C=CC=C2F)F,Inactive,10,,,
549,22403629,2338293,COC1=CC=C(C=C1)/C=C(\C#N)/C(=O)OCC(=O)NCC2=CC=C(C=C2)Cl,Inactive,10,,,
550,22403740,2916324,CC(CC(=O)NC1=CC(=C(C=C1)F)[N+](=O)[O-])C2=CC=CC=C2,Inactive,10,,,
551,14728861,9547787,CC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)F,Inactive,10,,,
552,859076,5389246,CC1=CC=C(C=C1)/C(=C/2\C(N(C(=O)C2=O)CC3=CC=CO3)C4=C(C=CC(=C4)OC)OC)/O,Inactive,10,,,
553,49732508,24793194,COCCC1CCCCN1C(=O)C2=NOC(=C2)COC3=CC=C(C=C3)N4C=NC=N4,Inactive,10,,,
554,14739267,1894066,C1=CC=C(C=C1)NN2C(=N/C(=C\C3=CC=CS3)/C2=O)C4=CC=CS4,Inactive,10,,,
555,22401151,2089376,C1=CC2=C(C=C1C(=O)OCC(=O)NC3=C(C=C(C=N3)Cl)Cl)SC=N2,Inactive,10,,,
556,17511341,135420208,C1=CC=C(C(=C1)NC(=O)C(=O)N/N=C/C2=C(C=CC(=C2)Cl)O)OC(C(F)F)(F)F,Inactive,10,,,
557,17415547,2896669,COC1=C(C=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)C4=CN=CC=C4)OC,Inactive,10,,,
558,861120,662385,CC(=O)C(C(=O)NC1=CC=CC=C1)SC2=NN(C(=S)S2)C,Inactive,10,,,
559,22402611,135432786,C1CC1N2C(=C(C(=O)NC2=S)/C=N/NC(=O)C3=CC=CC=C3O)O,Inactive,10,,,
560,22411124,2081462,CC1=CC=C(C=C1)C2=C(SC(=N2)C)CC(=O)NC3=CC=C(C=C3)NC(=O)C,Inactive,10,,,
561,22414272,4126024,C1=CC=C(C=C1)C2=C(C=NN2)C3NC4=CC=CC=C4C(=O)N3O,Inactive,10,,,
562,22406884,5398550,C/C(=N\NC(=S)NC)/C1=CC(=CC=C1)[N+](=O)[O-],Inactive,10,,,
563,17508598,3185139,CC(=O)C1=CC=C(C=C1)N(C(C2=CC=CC=N2)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4,Inactive,10,,,
564,85268447,3665533,CCC(=NNC(=O)C1=CC2=C(C=C1)N(C(=N2)C)CC)C3=C(C=CC(=C3)F)O,Inactive,10,,,
565,22411988,21157818,CC1=C(C=CC(=C1)Cl)OCC(=O)N/N=C/2\CC3C2CC=C3,Inactive,10,,,
566,57268423,4850151,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCOCC2)OC(=O)CNC(=O)C3=CC=CC=C3,Inactive,10,,,
567,22403510,883858,CC1=C(C=CC(=C1)OCC(=O)NC(C)(C)C)Cl,Inactive,10,,,
568,24785328,4108280,COC1=CC=CC(=C1)C(C2=C(C(=O)C=C(O2)CO)O)NC3=CC=CC=N3,Inactive,10,,,
569,14735579,5190879,C1C2C=CC1C3C2C(=O)N(C3=O)CC(=O)NCC4=CC=CC=C4,Inactive,10,,,
570,17510589,3520902,CC1=C(C=C(C=C1)NC(=O)CSC2=C(C=CC=N2)C(=O)OC3=CC=CC(=C3)[N+](=O)[O-])Cl,Inactive,10,,,
571,17508541,6370872,C/C(=N/NC(=O)CNC(=O)C1=CC(=C(C(=C1)OC)OC)OC)/C2=CC=CS2,Inactive,10,,,
572,22414380,1219551,CCC1=CC=C(C=C1)NC(=O)C2=CC(=C(C=C2)OC)[N+](=O)[O-],Inactive,10,,,
573,4263779,1258440,CC(C)C1=C(C=CC(=C1)S(=O)(=O)N2CCCCC2)OC,Inactive,10,,,
574,22416843,970760,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)C2CCN(CC2)S(=O)(=O)C,Inactive,10,,,
575,85146084,44142057,CC1=CC(=CC=C1)C2=CC3=C(C=C2)N=CN=C3NCC4=CN=CC=C4,Inactive,10,,,
576,852124,654733,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)CC3=CC(=C(C(=C3)OC)O)OC)OC.C(=O)(C(=O)O)O,Inactive,10,,,
577,11533017,6852401,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6CC(=O)OC6)O)CO)O)O)O)O,Inactive,10,,,
578,87334063,16060013,CC1=CC(=CC=C1)C2=NN([C@H]([C@@H]2C3=CC=CC=C3OC)C(=O)N4CCOC4=O)C5=CC=C(C=C5)Br,Inactive,10,,,
579,22413081,519663,CC(C(=O)C1=CC=CC=C1)N2C(=O)C3=CC=CC=C3C2=O,Inactive,10,,,
580,17433747,2929633,CC(C)C(=O)NC(C1=CC=CS1)C2=CC(=C3C=CC=NC3=C2O)[N+](=O)[O-],Inactive,10,,,
581,17505934,1847491,CCCCN1CNC(=S)N(C1)CC2=CC=CC=C2,Inactive,10,,,
582,17432256,5390233,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2/C=N\NC(=S)N,Inactive,10,,,
583,17512051,135398919,C1CCC(=CC1)CCN2C(=C(C(=O)NC2=O)/C=N/NC(=O)C3=CC=CC=C3)O,Inactive,10,,,
584,17506970,135498020,C1=CC(=CC=C1C(=O)N/N=C/C2=C(C=CC(=C2)Cl)O)Br,Inactive,10,,,
585,17413218,1864673,C1CCC2=NC3=NC(=NC(=C3C=C2C1)N)SCC4=CC=CC=C4Cl,Inactive,10,,,
586,843711,646013,C1=CC2=C(C3=C(C=C2)C(C(=C(O3)N)C#N)C4=CN=CC=C4)N=C1,Inactive,10,,,
587,17385711,5689963,COC1=CC(=CC(=C1OC)OC)C2=NN=C(O2)SCC3=CC(=O)OC4=CC(=C(C=C34)O)O,Inactive,10,,,
588,17511045,4644806,CC1=C(SC2=C1C(=O)N(C=N2)CC3=CC(=CC=C3)F)C(=O)OC4=CC=C(C=C4)F,Inactive,10,,,
589,22406592,3431872,C1CN(CCN1C(C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)F)S(=O)(=O)C4=CC=CC=C4,Inactive,10,,,
590,57258602,25162609,CC(=O)NC(CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NCCCCC2)C3=CC=CC=C3,Inactive,10,,,
591,56315552,4857235,CC1CC1C(=O)N(C)CC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F,Inactive,10,,,
592,17511619,745362,CCC(=O)NC1=C(NN=C1C)C,Inactive,10,,,
593,22415069,54711863,CC1=C(C2=C(NC1=O)N=CC=C2)O,Inactive,10,,,
594,17513131,135432769,CCN1C(=C(C(=O)N(C1=S)CC)/C=N/NC(=O)C2=CC=NC=C2)O,Inactive,10,,,
595,22409525,2405293,CC1=CC(=CC(=C1NC(=O)CCl)C)SC#N,Inactive,10,,,
596,4245219,3239714,C1CC(OC1)CNC(=O)CSC2=C(N=C(O2)C3=CC=C(C=C3)F)S(=O)(=O)C4=CC=C(C=C4)F,Inactive,10,,,
597,51087105,24892192,COC1=CC(=CC(=C1OC)OC)C(=O)NC2=NN=C(S2)SCC(=O)NCC3CCCO3,Inactive,10,,,
