PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Inconclusive,,,Potential missing data,IC50,Not Determined
2,123086722,45375808,C[C@@H](C(=O)OC(C)C)N[P@](=O)(OC[C@@H]1[C@H]([C@@]([C@@H](O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,Inconclusive,,,Potential missing data,IC50,Not Determined
3,469798571,164608889,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC(=CC=C4)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
4,469800317,164610127,CNC1=NC2=C(C(=N1)NC3=CC=CC(=C3)C(=O)OC)NC=N2,Inconclusive,,,Potential missing data,IC50,Not Determined
5,469801205,164610771,CNC1=NC2=C(C(=N1)NC3=CC=CC(=C3)C(=O)O)NC=N2,Inconclusive,,,Potential missing data,IC50,Not Determined
6,469801577,164611040,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC=CC(=C4)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
7,469801731,164611157,C1=CC=C(C=C1)OCCNC2=NC(=NC3=C2NC=N3)NC4=CC=CC(=C4)C(F)(F)F,Inconclusive,,,Potential missing data,IC50,Not Determined
8,469802103,114783471,CNC1=NC2=C(C(=N1)NC3=CC(=CC=C3)F)NC=N2,Inconclusive,,,Potential missing data,IC50,Not Determined
9,469802871,164611986,CNC1=NC2=C(C(=N1)NC3=CC=CC(=C3)C(F)(F)F)NC=N2,Inconclusive,,,Potential missing data,IC50,Not Determined
10,469803925,164612761,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)N=NC4=CC=C(C=C4)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
11,469805345,164613768,C1=CC(=CC(=C1)NC2=NC(=NC3=C2NC=N3)NCCO)C(F)(F)F,Inconclusive,,,Potential missing data,IC50,Not Determined
12,469807187,164615083,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC(=C(C=C4)O)O)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
13,469808129,164615762,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NNC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
14,469808373,164615933,COC(=O)C1=CC(=CC=C1)NC2=NC(=NC3=C2NC=N3)NCCO,Inconclusive,,,Potential missing data,IC50,Not Determined
15,469812053,164618613,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NNC4=CC(=CC(=C4)F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
16,469814928,164620675,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NC4=CC=CC(=C4)C(=O)O)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
17,469815537,164621141,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)N=NC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
18,469817294,164622407,COC(=O)C1=CC(=CC=C1)NC2=NC(=NC3=C2NC=N3)NCCOC4=CC=CC=C4,Inconclusive,,,Potential missing data,IC50,Not Determined
19,469818107,164623003,C1=CC(=CC(=C1)F)NC2=NC(=NC3=C2NC=N3)NCCO,Inconclusive,,,Potential missing data,IC50,Not Determined
20,469818779,164623477,COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC3=C2NC=N3)NCCOC4=CC=CC=C4,Inconclusive,,,Potential missing data,IC50,Not Determined
21,469818815,164623502,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NNC4=CC=CC(=C4)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
22,469820371,164624623,C1=CC=C(C=C1)OCCNC2=NC(=NC3=C2NC=N3)NC4=CC(=CC=C4)F,Inconclusive,,,Potential missing data,IC50,Not Determined
23,469821031,164625098,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)N=NC4=CC(=CC(=C4)F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
24,469828939,164629173,C1=CC=C(C=C1)OCCNC2=NC3=C(C(=N2)NNC4=CC=C(C=C4)C(F)(F)F)NC=N3,Inconclusive,,,Potential missing data,IC50,Not Determined
