PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,475977885,166625306,CC(C)C[C@@H](C(=O)N[C@H]1CSCC2=CC(=CC=C2)C[S+](CC[C@@H](NC(=O)CNC(=O)CNC1=O)C(=O)O)C)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,475981826,166627190,CC(C)C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC[S+](CC2=CC=CC(=C2)CSC[C@@H](C(=O)N1)N)C)C(=O)O)CCCN=C(N)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,475989353,166630972,C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CSCC2=CC(=CC=C2)C[S+](CC[C@@H](C(=O)N[C@H](C(=O)N1)C)NC(=O)CNC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)N)C)C(=O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,475991345,166631961,C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CC[S+](CC2=CC=CC(=C2)CSC[C@@H](C(=O)N[C@H](C(=O)N1)C)NC(=O)CNC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)N)C)C(=O)O)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,475993606,166633053,CC(C)C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CSCC2=CC(=CC=C2)C[S+](CC[C@@H](C(=O)N1)N)C)C(=O)O)CCCN=C(N)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,475994727,166633607,C[S+]1CC[C@H](NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CSCC2=CC(=CC=C2)C1)N)CCCN=C(N)N)C(=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
7,475996117,166634325,C[S+]1CC[C@@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CSCC2=CC(=CC=C2)C1)C(=O)O)CCCN=C(N)N)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
8,476000413,166636457,CC(C)C[C@@H](C(=O)N[C@H]1CC[S+](CC2=CC=CC(=C2)CSC[C@H](NC(=O)CNC(=O)CNC1=O)C(=O)O)C)N,Inactive,,,Potential missing data,Inhibition,%,Not Active
