PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103163840,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Unspecified,,,Potential missing data,Activity,INACTIVE
2,103164548,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,Unspecified,,,Potential missing data,Activity,INACTIVE
3,103167216,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Unspecified,,,Potential missing data,Activity,INACTIVE
4,103170416,4413,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,Unspecified,,,Potential missing data,Activity,INACTIVE
5,103175608,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Unspecified,,,Potential missing data,Activity,INACTIVE
6,103177883,3121,CCCC(CCC)C(=O)O,Unspecified,,,Potential missing data,Activity,"INACTIVE, TEST AT HIGHER DOSE"
7,103186198,126388,CN(CCC1=CC(=C(C=C1)Cl)Cl)CCN2CCCC2,Unspecified,,,Potential missing data,Activity,INACTIVE
8,103189004,5959,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Unspecified,,,Potential missing data,Activity,INACTIVE
9,103202903,446727,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,Unspecified,,,Potential missing data,Activity,INACTIVE
10,103210632,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,Unspecified,,,Potential missing data,Activity,INACTIVE
11,103212386,92305,CC(C)[C@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,Unspecified,,,Potential missing data,Activity,INACTIVE
12,103216741,6436223,C[C@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C,Unspecified,,,Potential missing data,Activity,ACTIVE
13,103226686,446541,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,Unspecified,,,Potential missing data,Activity,ACTIVE
14,103234890,5360696,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,Unspecified,,,Potential missing data,Activity,INACTIVE
15,103237360,10474335,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,Unspecified,,,Potential missing data,Activity,INACTIVE
