PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 100 uM,Standard Deviation,Inhibition at 100 uM [1],Inhibition at 100 uM [2],Inhibition at 100 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average value of % inhibition at 100 uM compound concentration.,Value of standard deviation of average % Inhibiton at 100 uM compound concentration.,Value of % Inhibiton at 100 uM compound concentration; replicate one.,Value of % Inhibiton at 100 uM compound concentration; replicate two.,Value of % Inhibiton at 100 uM compound concentration; replicate three.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,100,,100,100,100
1,87915544,44634772,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,100,,,101.84,7.68,92.98,105.98,106.57
2,93373783,45382032,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,94,,,96.66,1.24,97.43,95.23,97.33
3,93373773,45382022,CC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,93,,,94.77,0.88,95.65,94.77,93.89
4,93373782,45382031,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,92,,,94.15,0.93,96.08,92.22,94.16
5,93373781,45382030,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NS(=O)(=O)C)C(=O)CN3C4=CC=CC=C4N=N3,Active,87,,,89.45,2.71,92.01,89.74,86.61
6,93373784,45382033,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)N)C(=O)CN3C4=CC=CC=C4N=N3,Active,73,,,74.77,2.79,77.63,72.05,74.63
7,87915542,44634770,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Active,64,,,65.59,8.82,75.07,64.05,57.64
8,93373786,45382035,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43,Active,59,,,61.1,3.53,63.07,57.02,63.21
9,93373787,45382036,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43,Active,58,,,59.78,4.08,56.22,64.23,58.88
10,87915593,44634821,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CN=CC=C3,Active,55,,,56.09,5.47,49.78,59.35,59.16
11,87915595,44634823,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)CC3=CNC4=CC=CC=C43,Inactive,47,,,48.39,1.09,47.69,49.64,47.83
12,87915543,44634771,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OC(F)F)C(=O)C3=CC=CO3,Inactive,44,,,45.46,4.4,44.85,50.13,41.41
13,93373785,45382034,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NS(=O)(=O)C)C(=O)CN3C=NC4=CC=CC=C43,Inactive,37,,,38,2.96,35.23,41.12,37.64
14,87915594,44634822,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CN=CC=C3,Inactive,36,,,37.39,3.82,41.78,34.83,35.55
15,87915598,44634826,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CNC4=CC=CC=C43,Inactive,35,,,35.65,18.22,56.68,24.55,25.72
16,87915610,44634838,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)C3=CC=CC4=C3CCCC4,Inactive,33,,,34.56,14.45,50.4,31.16,22.1
17,87915559,44634787,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CNC4=CC=CC=C43,Inactive,29,,,30.55,22.81,56.61,20.83,14.21
18,87915599,44634827,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CNC4=CC=CC=C43,Inactive,25,,,26.26,6.42,33.57,23.68,21.54
19,87915590,44634818,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)CC3=CN=CC=C3,Inactive,25,,,25.9,8.98,36.23,21.48,19.97
20,87915583,44634811,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OC(F)F)C(=O)C3=CC=CO3,Inactive,25,,,25.86,6.15,32.11,25.64,19.83
21,87915578,44634806,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OC(F)F)C(=O)C3=NNC4=CC=CC=C43,Inactive,24,,,24.62,3.74,27.4,26.1,20.37
22,87915589,44634817,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=C(C=C3)C#N,Inactive,22,,,22.72,7.43,31.29,18.91,17.97
23,87915609,44634837,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,21,,,22.31,1.35,23.17,23.01,20.76
24,87915603,44634831,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,20,,,21.26,3.67,24.62,21.8,17.35
25,87915579,44634807,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=NNC4=CC=CC=C43,Inactive,20,,,20.61,14.96,37.34,15.96,8.53
26,87915554,44634782,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CN=CC=C3,Inactive,19,,,20.24,12.09,33.56,17.19,9.97
27,87915604,44634832,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=C(C=C3)C(F)(F)F,Inactive,19,,,19.7,4.99,25.45,16.49,17.15
28,87915569,44634797,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,19,,,19.6,13.49,34.56,15.84,8.39
29,87915584,44634812,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3,Inactive,19,,,19.53,6.7,26.19,19.62,12.8
30,87915606,44634834,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,18,,,19.24,5.63,25.49,17.69,14.55
31,87915591,44634819,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CN=CC=C3,Inactive,18,,,19.02,12.04,32.89,11.2,12.97
32,87915553,44634781,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CN=CC=C3,Inactive,18,,,18.7,10.42,29.98,16.72,9.42
33,87915608,44634836,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,17,,,18.22,1.8,20.29,17.29,17.08
34,87915619,44634847,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)C3=NNC4=CC=CC=C43,Inactive,17,,,17.94,8.07,26.44,16.98,10.39
35,87915588,44634816,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CC=C(C=C3)C#N,Inactive,17,,,17.83,3.07,21.29,16.75,15.45
36,87915596,44634824,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)CC3=CNC4=CC=CC=C43,Inactive,17,,,17.68,4.06,20.89,19.03,13.11
37,87915586,44634814,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)F)C(=O)C3=CC=C(C=C3)C#N,Inactive,17,,,17.39,3.49,18.49,20.21,13.49
38,87915605,44634833,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2CC2)C(=O)CC3=CC=CC4=CC=CC=C43,Inactive,16,,,16.47,3.56,18.67,18.38,12.36
39,87915573,44634801,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCF)C(=O)C3=CC=CC4=C3CCCC4,Inactive,15,,,16.04,10.6,27.44,14.2,6.48
