reactants,products,reactionString,ruleName
CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O,CC(C)[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.C[C@@H]1C(=O)OC(=C[C@@H](C)C(N)O)C1=O,CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O >> CC(C)[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.C[C@@H]1C(=O)OC(=C[C@@H](C)C(N)O)C1=O,rule0126_2
C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)=O)C1=O.OO,C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)O)C1=O.O=O,C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)=O)C1=O.OO >> C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)O)C1=O.O=O,rule0078_14
N.NC(=O)O,NC(N)=O.O,N.NC(=O)O >> NC(N)=O.O,rule0055_2
CC[C@@H]1C(=O)OC(=C[C@@H](CC)C(N)=O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CC[C@H](CC1OC(=O)[C@@H](CC)C1=O)C(N)=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,CC[C@@H]1C(=O)OC(=C[C@@H](CC)C(N)=O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> CC[C@H](CC1OC(=O)[C@@H](CC)C1=O)C(N)=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,rule0027_62
CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.O=O,CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.OO,CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)O.O=O >> CC[C@H](C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.OO,rule0074_15
CC[C@H](CC1OC(=O)[C@@H](C)C1=O)C(N)=O,CCCCC1OC(=O)[C@@](C)(C(N)=O)C1=O,CC[C@H](CC1OC(=O)[C@@H](C)C1=O)C(N)=O >> CCCCC1OC(=O)[C@@](C)(C(N)=O)C1=O,rule0028_51
C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,C[C@@H]1C(=O)OC(=C[C@@H](CC=O)C(N)O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C[C@@H]1C(=O)OC(=C[C@@H](CCO)C(N)O)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1 >> C[C@@H]1C(=O)OC(=C[C@@H](CC=O)C(N)O)C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,rule0002_140
CC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.CC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O,CCC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.C[C@@H]1C(=O)OC(=C[C@@](C)(O)C(N)=O)C1=O,CC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.CC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O >> CCC[C@@](O)(C=C1OC(=O)[C@@H](C)C1=O)C(N)=O.C[C@@H]1C(=O)OC(=C[C@@](C)(O)C(N)=O)C1=O,rule0126_2
C[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O.C[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O,CC1(C)C(=O)OC(=CCC(N)=O)C1=O.CC[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O,C[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O.C[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O >> CC1(C)C(=O)OC(=CCC(N)=O)C1=O.CC[C@H](C=C1OC(=O)C(C)(C)C1=O)C(N)=O,rule0126_2
CCC(CC(N)=O)=C1OC(=O)[C@@H](C)C1=O.N.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CCC(CC(N)N)=C1OC(=O)[C@@H](C)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,CCC(CC(N)=O)=C1OC(=O)[C@@H](C)C1=O.N.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1 >> CCC(CC(N)N)=C1OC(=O)[C@@H](C)C1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0166_2
