"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL652701";"F";"In Vitro growth inhibitory effect of compounds against Gram-Positive Bacteria Bacillus cereus ATCC 14579";"Bacillus cereus";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1131383";"9572888";"10.1021/jm970843+";"1998";"J Med Chem";"41";"1631";"1640";"";"";"";"";"";""
"CHEMBL651225";"F";"Compound was tested for antibacterial activity against Bacillus cereus WSU-60";"Bacillus cereus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1123433";"3018245";"10.1021/jm00159a024";"1986";"J Med Chem";"29";"1709";"1714";"";"";"";"";"";""
"CHEMBL1064805";"F";"Antibacterial activity against Bacillus cereus clinical isolate after 72 hrs by serial sub-cultivation method";"Bacillus cereus";"13";"13";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1157665";"19914077";"10.1016/j.bmc.2009.10.041";"2010";"Bioorg Med Chem";"18";"426";"432";"";"";"";"";"";""
"CHEMBL831729";"F";"Minimal inhibitory concentration against Bacillus cereus";"Bacillus cereus";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1138653";"15501050";"10.1016/j.bmcl.2004.09.038";"2004";"Bioorg Med Chem Lett";"14";"5831";"5833";"";"";"";"";"";""
"CHEMBL2378351";"F";"Antibacterial activity against Bacillus cereus ATCC 14579 assessed as growth inhibition at 1000 ug/mL after 24 hrs by disk diffusion method";"Bacillus cereus";"30";"30";"BAO_0000019";"assay format";"1";"1 - Target assigned is non-molecular";"ATCC 14579";"Scientific Literature";"1396";"";"";"";"";"CHEMBL2375320";"23489634";"10.1016/j.bmcl.2013.02.033";"2013";"Bioorg Med Chem Lett";"23";"2399";"2403";"";"";"";"";"";""
"CHEMBL1012534";"F";"Antibacterial activity against Bacillus cereus ATCC 7064 at 30 ug after 24 hrs by disk diffusion method";"Bacillus cereus";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1152842";"18417256";"10.1016/j.ejmech.2008.02.038";"2009";"Eur J Med Chem";"44";"365";"372";"";"";"";"";"";""
"CHEMBL3369624";"F";"Antimicrobial activity against Bacillus cereus ATCC 14579 by broth dilution assay";"Bacillus cereus";"24";"26";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 14579";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3352307";"25136754";"10.1021/np500340y";"2014";"J Nat Prod";"77";"2021";"2028";"";"";"";"";"";""
"CHEMBL2421301";"F";"Antibacterial activity against Bacillus cereus ATCC 11778 by double-dilution technique";"Bacillus cereus";"15";"15";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 11778";"Scientific Literature";"1396";"";"";"";"";"CHEMBL2417431";"23786357";"10.1021/jm400707f";"2013";"J Med Chem";"56";"5613";"5625";"";"";"";"";"";""
"CHEMBL3047378";"F";"Antimicrobial activity against Bacillus cereus RSKK 863 after 24 hr by broth microdilution assay";"Bacillus cereus";"34";"34";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"RSKK 863";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3045628";"None";"10.1007/s00044-010-9304-7";"2011";"Med Chem Res";"20";"175";"183";"";"";"";"";"";""
"CHEMBL3061304";"F";"Antimicrobial activity against Bacillus cereus ATCC 11778 after 24 hr by agar streak dilution method";"Bacillus cereus";"9";"9";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"ATCC 11778";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3045173";"None";"10.1007/s00044-012-9971-7";"2012";"Med Chem Res";"21";"4335";"4340";"";"";"";"";"";""
"CHEMBL3051700";"F";"Antibacterial activity against Bacillus cereus using 50 uL of compound solution from 500 ug/mL stock solution after 24 hr by agar disk diffusion method";"Bacillus cereus";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL3046179";"19650641";"10.1021/jf901405c";"2009";"J Agric Food Chem";"57";"7288";"7292";"";"";"";"";"";""
"CHEMBL1014138";"F";"Antimicrobial activity against Bacillus cereus ATCC 10722 by doubling dilution method";"Bacillus cereus";"7";"7";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1151163";"15104480";"10.1021/np030438n";"2004";"J Nat Prod";"67";"537";"541";"";"";"";"";"";""
"CHEMBL892229";"F";"Antibacterial activity against Bacillus cereus ATCC 7064 after 24 hrs by disk diffusion method";"Bacillus cereus";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"1396";"";"";"";"";"CHEMBL1147899";"17350734";"10.1016/j.ejmech.2007.01.011";"2007";"Eur J Med Chem";"42";"1069";"1075";"";"";"";"";"";""
"CHEMBL4191318";"F";"Antimicrobial activity against Bacillus cereus DSM 4384 assessed as growth inhibition at 40 ug per disc after 24 to 48 hrs (Rvb = 0 millimeter)";"Bacillus cereus";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 4384";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4190191";"28520428";"10.1021/acs.jnatprod.6b00703";"2017";"J Nat Prod";"80";"1703";"1713";"";"";"";"";"";""
"CHEMBL4191320";"F";"Antimicrobial activity against Bacillus cereus DSM 4313 assessed as growth inhibition at 40 ug per disc after 24 to 48 hrs (Rvb = 0 millimeter)";"Bacillus cereus";"11";"11";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"DSM 4313";"Scientific Literature";"1396";"";"";"";"";"CHEMBL4190191";"28520428";"10.1021/acs.jnatprod.6b00703";"2017";"J Nat Prod";"80";"1703";"1713";"";"";"";"";"";""
